epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.063874309635504,2.0701,16.01,0.639,0.034,2.072,19.47,0.573,0.041
1,1.4014304434099505,1.6011,46.19,0.899,0.417,1.4146,54.35,0.92,0.466
2,0.7875401076984234,1.4332,57.67,0.918,0.567,1.279,61.82,0.935,0.526
3,0.5857866062485616,0.729,74.6,0.968,0.737,0.8376,71.26,0.956,0.65
4,0.4827818526055223,0.8694,71.77,0.958,0.728,0.9206,69.16,0.937,0.635
5,0.42092373999216226,0.4103,85.09,0.989,0.855,0.4822,81.7,0.978,0.765
6,0.38852239149125245,0.3527,88.21,0.991,0.876,0.5791,82.87,0.968,0.763
7,0.36273366300969995,0.4245,85.51,0.985,0.849,0.6632,79.17,0.964,0.745
8,0.34943887759600917,0.5162,83.44,0.983,0.828,1.1393,71.92,0.948,0.672
9,0.3295857844119858,0.2206,92.8,0.996,0.927,0.2817,89.18,0.989,0.861
10,0.32045562391746857,0.2625,90.85,0.994,0.906,0.4934,82.57,0.979,0.77
11,0.3090094262767436,0.2989,89.83,0.991,0.897,0.5144,82.14,0.97,0.778
12,0.3030630591655931,0.4011,85.78,0.992,0.851,0.6146,78.95,0.972,0.723
13,0.2869711188886542,0.2139,92.77,0.996,0.928,0.415,85.3,0.984,0.819
14,0.2800427126868438,0.3229,88.28,0.993,0.884,0.4615,82.95,0.982,0.776
15,0.27483418287448985,0.1789,94.05,0.997,0.941,0.4159,86.44,0.978,0.829
16,0.26262725101897366,0.2692,90.77,0.995,0.908,0.6237,79.41,0.965,0.762
17,0.2597606558232538,0.1782,94.42,0.997,0.943,0.3947,86.48,0.983,0.825
18,0.2505999574818278,0.2211,92.83,0.997,0.928,0.3841,86.45,0.986,0.813
19,0.24993624480768345,0.2379,91.58,0.995,0.915,0.4475,82.99,0.979,0.795
20,0.2399303951771349,0.2086,92.95,0.996,0.927,0.5201,81.56,0.975,0.787
21,0.23541338410642412,0.1474,95.21,0.998,0.951,0.4398,86.36,0.978,0.825
22,0.2280921971819307,0.1465,95.19,0.998,0.951,0.3591,87.73,0.983,0.845
23,0.2242701204099749,0.1773,94.34,0.997,0.944,0.4748,83.14,0.981,0.793
24,0.21780576718483774,0.1548,94.65,0.998,0.946,0.3985,85.47,0.981,0.818
25,0.2103395613184112,0.22,92.42,0.997,0.924,0.3946,86.37,0.985,0.808
26,0.20657883014356362,0.182,93.76,0.997,0.938,0.5685,81.32,0.972,0.778
27,0.20166827424506134,0.1515,95.09,0.998,0.95,0.2993,89.78,0.989,0.86
28,0.19708498955894543,0.1448,95.49,0.998,0.954,0.4844,83.88,0.979,0.804
29,0.1916064923649193,0.1186,96.23,0.998,0.962,0.2819,89.99,0.988,0.862
30,0.18635195302760302,0.1242,96.05,0.998,0.96,0.326,88.92,0.986,0.853
31,0.18273434577022402,0.1681,94.06,0.998,0.941,0.397,85.98,0.985,0.811
32,0.17933546625558408,0.1116,96.55,0.998,0.965,0.3354,87.94,0.985,0.851
33,0.17135984261643716,0.1122,96.33,0.999,0.963,0.425,87.43,0.979,0.842
34,0.16779826960683297,0.0934,96.98,0.999,0.97,0.3376,88.73,0.986,0.853
35,0.16372694827509396,0.0949,96.91,0.999,0.969,0.305,89.58,0.987,0.863
36,0.1561191080398457,0.1,96.85,0.999,0.968,0.3735,88.06,0.984,0.844
37,0.15523696613354496,0.0877,97.25,0.999,0.972,0.282,89.89,0.99,0.872
38,0.14972902327695842,0.0774,97.55,0.999,0.976,0.3037,90.59,0.988,0.873
39,0.143266942375423,0.0803,97.42,0.999,0.974,0.3746,88.62,0.984,0.862
40,0.1413958237362912,0.0749,97.78,0.999,0.978,0.34,90.54,0.986,0.873
41,0.13670139035416973,0.074,97.71,0.999,0.977,0.3117,89.89,0.988,0.869
42,0.13177425125914236,0.0685,97.87,0.999,0.979,0.3202,90.04,0.987,0.873
43,0.1288216574097513,0.0704,97.77,0.999,0.978,0.3433,89.2,0.985,0.865
44,0.1276197773020541,0.0657,98.07,0.999,0.981,0.3163,90.3,0.988,0.87
45,0.12124619795189749,0.067,97.93,0.999,0.979,0.3114,89.64,0.988,0.865
46,0.12145128647219323,0.0656,97.98,0.999,0.979,0.3233,90.08,0.987,0.873
47,0.12293170707627436,0.0641,98.04,0.999,0.98,0.3006,90.29,0.988,0.875
48,0.12239680285682387,0.0631,98.04,0.999,0.98,0.3101,90.45,0.988,0.877
49,0.11944019526750597,0.0633,98.05,0.999,0.98,0.3048,90.49,0.988,0.878
