epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9960302358032556,2.007,26.13,0.738,0.16,2.0107,27.08,0.676,0.144
1,1.0678559043928715,0.921,68.64,0.952,0.679,0.9734,67.47,0.94,0.591
2,0.521665311067976,0.4718,83.37,0.987,0.828,0.6215,77.78,0.978,0.723
3,0.3960225214667645,0.3974,86.42,0.989,0.867,0.8867,71.4,0.956,0.671
4,0.307557430372016,0.4777,82.73,0.989,0.829,0.6566,75.49,0.974,0.699
5,0.27164921378149354,0.6864,77.7,0.987,0.782,0.7518,72.51,0.968,0.664
6,0.24323121298064468,0.3046,89.87,0.993,0.899,0.4814,82.47,0.981,0.774
7,0.224608135853617,0.2271,91.9,0.996,0.92,0.4326,83.1,0.984,0.775
8,0.2185743217453307,0.1804,93.79,0.997,0.938,0.3896,85.57,0.987,0.83
9,0.20304303114906647,0.174,94.08,0.997,0.942,0.3613,88.47,0.987,0.847
10,0.1975020158995864,0.1747,94.22,0.997,0.943,0.387,85.47,0.988,0.815
11,0.1891604473807692,0.1399,95.49,0.998,0.955,0.3478,87.73,0.987,0.83
12,0.18132725555623305,0.1568,95.2,0.998,0.952,0.313,89.99,0.99,0.869
13,0.17491342481826583,0.1649,94.38,0.997,0.944,0.2703,89.91,0.992,0.873
14,0.16662503292243327,0.3107,89.72,0.995,0.892,1.0155,70.63,0.961,0.635
15,0.16583409131668161,0.1254,95.9,0.998,0.959,0.2938,89.42,0.989,0.871
16,0.15783307751420364,0.1748,94.26,0.997,0.942,0.3252,89.58,0.99,0.866
17,0.15495053601975295,0.1344,95.52,0.998,0.956,0.3064,90.37,0.991,0.863
18,0.14813621075803873,0.1483,95.2,0.998,0.952,0.2715,90.51,0.991,0.871
19,0.15078068853065532,0.2145,92.37,0.998,0.919,0.4873,81.65,0.992,0.785
20,0.14404301902806674,0.1192,96.17,0.999,0.961,0.4508,84.45,0.98,0.805
21,0.14209189159148056,0.1423,96.06,0.998,0.961,0.2874,90.35,0.989,0.87
22,0.13674594967969858,0.1177,96.19,0.999,0.962,0.3003,89.36,0.991,0.862
23,0.1312186200752534,0.1174,96.19,0.999,0.963,0.2284,92.1,0.995,0.894
24,0.12872554331777558,0.0953,97.1,0.999,0.971,0.2565,90.94,0.992,0.88
25,0.12484129730571983,0.0937,97.09,0.999,0.97,0.2495,90.92,0.991,0.872
26,0.12334229090788458,0.0892,97.19,0.999,0.971,0.3421,89.06,0.989,0.868
27,0.1192614549844389,0.0966,96.75,0.999,0.968,0.2152,92.86,0.993,0.897
28,0.11476297635504956,0.1001,96.85,0.999,0.968,0.3161,88.38,0.988,0.859
29,0.10975416970696288,0.1025,96.76,0.999,0.967,0.338,87.32,0.988,0.836
30,0.10592302198999137,0.0704,97.88,0.999,0.978,0.2057,93.32,0.993,0.902
31,0.1052350413194427,0.0834,97.37,0.999,0.973,0.2211,92.66,0.992,0.896
32,0.09999623438042979,0.0901,97.13,0.999,0.971,0.3013,89.77,0.992,0.871
33,0.09729908435775708,0.0669,97.81,0.999,0.978,0.2344,91.49,0.992,0.889
34,0.09289893717755393,0.0646,97.96,0.999,0.98,0.2393,91.41,0.994,0.881
35,0.09104845114886814,0.0556,98.28,1.0,0.983,0.2052,93.26,0.994,0.904
36,0.08631377205533046,0.0841,97.36,0.999,0.973,0.22,92.06,0.995,0.899
37,0.08460807234489469,0.0582,98.22,1.0,0.982,0.1744,94.06,0.995,0.92
38,0.0800825004235551,0.0598,98.13,1.0,0.981,0.1949,93.34,0.995,0.918
39,0.07542567509543618,0.0593,98.18,1.0,0.982,0.1974,93.05,0.994,0.906
40,0.07444522903871632,0.0474,98.53,1.0,0.985,0.1664,94.39,0.996,0.922
41,0.07195542784287565,0.0454,98.71,1.0,0.987,0.1876,93.23,0.996,0.908
42,0.06744436830395706,0.045,98.63,1.0,0.986,0.181,94.03,0.995,0.919
43,0.06622302213910713,0.043,98.7,1.0,0.987,0.1651,94.35,0.996,0.922
44,0.06384516578321228,0.0423,98.74,1.0,0.987,0.1585,94.73,0.996,0.928
45,0.062495316881152355,0.0424,98.75,1.0,0.987,0.1629,94.33,0.996,0.924
46,0.06084077503185011,0.0411,98.79,1.0,0.988,0.1616,94.87,0.996,0.93
47,0.05937586339544438,0.04,98.84,1.0,0.988,0.1754,94.19,0.995,0.921
48,0.060518740973432,0.0398,98.85,1.0,0.988,0.1719,94.28,0.996,0.922
49,0.05992162378678452,0.0398,98.85,1.0,0.988,0.1662,94.63,0.996,0.927
