epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0700755785870295,2.0691,16.01,0.627,0.034,2.0784,19.47,0.621,0.041
1,1.4789603240387414,1.5829,49.54,0.87,0.451,1.7615,51.03,0.85,0.434
2,0.9211932747594772,0.8411,72.23,0.952,0.725,0.7517,72.32,0.955,0.68
3,0.7248511770506486,0.554,79.51,0.976,0.794,0.8086,68.07,0.954,0.652
4,0.609126419363056,0.5774,80.37,0.98,0.809,0.6051,76.31,0.969,0.711
5,0.5482883319846191,0.5174,82.73,0.98,0.827,0.7089,76.49,0.963,0.715
6,0.5090836585636207,0.4303,84.61,0.986,0.849,0.4596,81.76,0.98,0.768
7,0.4867267545085654,0.5714,79.01,0.988,0.779,0.6922,76.17,0.974,0.655
8,0.4611239106424393,0.3605,87.49,0.989,0.871,0.4901,82.25,0.976,0.778
9,0.4385978111656763,0.2792,90.96,0.993,0.911,0.3557,86.59,0.986,0.825
10,0.42669789314163203,0.2649,91.25,0.993,0.911,0.3183,88.0,0.988,0.852
11,0.40891854566485225,0.3215,88.87,0.993,0.892,0.5312,79.43,0.982,0.751
12,0.39579734788359705,0.3503,87.74,0.99,0.877,0.5256,81.3,0.976,0.778
13,0.3831987156929936,0.2846,89.84,0.993,0.9,0.4623,82.96,0.981,0.797
14,0.37459148765678474,0.2676,90.71,0.994,0.907,0.5356,80.01,0.969,0.744
15,0.3689959917391073,0.2278,92.49,0.995,0.924,0.3466,86.7,0.986,0.836
16,0.35804783042827387,0.2699,91.0,0.994,0.912,0.5175,83.03,0.978,0.787
17,0.34836864447401417,0.3509,88.43,0.993,0.888,0.5458,80.77,0.977,0.772
18,0.3407848304050798,0.2818,90.44,0.993,0.904,0.3423,87.7,0.984,0.84
19,0.33853519283315187,0.2102,93.22,0.996,0.931,0.4698,83.96,0.98,0.818
20,0.3263380480229214,0.2432,91.94,0.995,0.919,0.3023,88.66,0.987,0.851
21,0.32101949830422694,0.2354,92.03,0.995,0.92,0.4419,85.2,0.98,0.812
22,0.31290787853647734,0.1811,94.22,0.997,0.942,0.3827,87.9,0.986,0.846
23,0.30646411254734973,0.1967,93.32,0.996,0.934,0.4065,85.92,0.983,0.814
24,0.30096688279114314,0.2652,90.74,0.996,0.906,0.4462,84.73,0.985,0.82
25,0.2947317054728881,0.2253,92.55,0.995,0.922,0.5183,82.58,0.979,0.784
26,0.2880876138806343,0.1951,93.61,0.997,0.936,0.389,85.79,0.984,0.823
27,0.27860779643699685,0.1652,94.62,0.997,0.946,0.3308,89.17,0.986,0.86
28,0.2767143130943339,0.2334,92.01,0.996,0.916,0.4109,86.12,0.987,0.831
29,0.2684904922560979,0.1704,94.47,0.997,0.944,0.3678,86.77,0.987,0.834
30,0.2641108340740631,0.2601,91.01,0.996,0.904,0.6524,78.24,0.983,0.763
31,0.2576288919642194,0.2513,91.15,0.995,0.907,0.3993,84.98,0.987,0.813
32,0.25247592716661404,0.1491,95.37,0.998,0.953,0.3096,88.82,0.989,0.859
33,0.2476842659241837,0.1723,94.44,0.997,0.945,0.391,86.63,0.986,0.823
34,0.2415133026899189,0.1457,95.25,0.998,0.952,0.3858,89.1,0.986,0.865
35,0.23048585868277002,0.1386,95.53,0.998,0.955,0.2763,90.26,0.99,0.872
36,0.2272149452866192,0.1364,95.58,0.998,0.956,0.3123,88.85,0.988,0.854
37,0.22315839678049088,0.1229,96.22,0.998,0.962,0.3188,89.47,0.989,0.86
38,0.21600947435611464,0.1268,95.91,0.998,0.959,0.3592,88.06,0.985,0.846
39,0.20846070683023835,0.1338,95.57,0.998,0.956,0.3456,88.11,0.987,0.838
40,0.20793910065538995,0.1088,96.61,0.998,0.966,0.3119,89.85,0.989,0.87
41,0.20431360966896497,0.1039,96.82,0.999,0.968,0.3036,89.78,0.989,0.864
42,0.19378176244730164,0.1066,96.73,0.999,0.967,0.3535,88.38,0.987,0.847
43,0.18962428900396525,0.1062,96.7,0.999,0.967,0.3641,88.85,0.986,0.858
44,0.18917072767318363,0.093,97.17,0.999,0.972,0.3196,90.19,0.988,0.872
45,0.18562178353789033,0.0941,97.04,0.999,0.97,0.3143,90.08,0.988,0.872
46,0.18159979191945871,0.0967,97.05,0.999,0.97,0.2985,89.74,0.99,0.866
47,0.1819337689281044,0.0939,97.06,0.999,0.971,0.3148,89.8,0.989,0.868
48,0.18312099539945204,0.0918,97.18,0.999,0.972,0.3098,90.15,0.989,0.873
49,0.18115175484703006,0.092,97.16,0.999,0.972,0.311,90.0,0.989,0.871
