epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.070704839562857,2.0691,16.01,0.619,0.034,2.0789,19.47,0.6,0.041
1,1.5044309971153096,1.8789,46.49,0.847,0.415,1.7618,49.85,0.859,0.425
2,1.0113919689236577,0.7095,72.07,0.967,0.705,0.5991,77.12,0.966,0.728
3,0.7707048511419672,0.6536,75.42,0.967,0.749,0.7111,72.82,0.962,0.698
4,0.6316333234737423,0.5693,80.43,0.974,0.803,0.9169,71.28,0.939,0.654
5,0.5580784188696988,0.3977,86.26,0.988,0.868,0.5477,79.52,0.971,0.748
6,0.5112263739215858,0.4599,83.63,0.985,0.834,0.6396,77.51,0.965,0.728
7,0.48120288273125994,0.3504,88.34,0.989,0.884,0.4859,81.05,0.982,0.752
8,0.4584473775813229,0.3436,88.44,0.991,0.885,0.5612,77.55,0.968,0.727
9,0.43193652018851275,0.4451,85.25,0.988,0.84,0.6128,77.69,0.976,0.753
10,0.41976908396755924,0.3323,89.05,0.992,0.886,0.6613,77.31,0.971,0.742
11,0.40733531761019887,0.2735,90.77,0.993,0.908,0.4757,82.87,0.979,0.802
12,0.39366159660200917,0.3099,88.96,0.993,0.886,0.6675,78.05,0.972,0.725
13,0.3779924808597479,0.3355,88.42,0.99,0.886,0.4884,82.03,0.975,0.77
14,0.37281970968169553,0.4057,85.64,0.99,0.864,0.7342,74.44,0.957,0.685
15,0.37414815055213096,0.2469,91.82,0.995,0.918,0.4716,83.17,0.978,0.789
16,0.3546423453263484,0.2143,92.88,0.995,0.929,0.3575,87.38,0.985,0.828
17,0.3468251715958332,0.3368,88.53,0.994,0.88,0.5764,79.41,0.975,0.743
18,0.33684927251817504,0.2618,91.36,0.994,0.913,0.5632,79.66,0.974,0.746
19,0.3307261472320899,0.221,92.78,0.996,0.926,0.511,82.0,0.979,0.793
20,0.327278972980583,0.3243,88.12,0.993,0.878,0.664,77.78,0.972,0.733
21,0.32055877701890084,0.212,92.94,0.996,0.929,0.3211,88.28,0.986,0.84
22,0.3151904219047143,0.2476,91.94,0.996,0.919,0.5271,83.07,0.976,0.775
23,0.3108774429474253,0.1845,93.8,0.997,0.939,0.3595,86.83,0.983,0.819
24,0.29702348459685574,0.2132,92.7,0.996,0.926,0.504,80.97,0.976,0.777
25,0.29481898250866106,0.2525,91.75,0.995,0.917,0.4062,85.3,0.984,0.815
26,0.2896895478329351,0.2944,90.15,0.993,0.906,0.7408,77.12,0.948,0.687
27,0.278360808929128,0.2356,91.94,0.996,0.917,0.414,84.56,0.985,0.81
28,0.27603974735437753,0.203,93.72,0.996,0.937,0.4618,84.26,0.982,0.816
29,0.2682992311121101,0.1868,94.01,0.997,0.94,0.5332,81.84,0.981,0.778
30,0.2628906083470177,0.1798,94.21,0.997,0.941,0.4228,85.71,0.984,0.822
31,0.25721611241446174,0.1889,93.32,0.997,0.933,0.3264,87.18,0.989,0.821
32,0.24868051113567471,0.1357,95.71,0.998,0.957,0.3638,87.27,0.986,0.832
33,0.24221564203126883,0.1549,94.79,0.998,0.948,0.4202,85.3,0.981,0.813
34,0.23763865799940187,0.1235,96.11,0.998,0.961,0.2916,88.96,0.99,0.857
35,0.23222200406922233,0.1283,95.88,0.998,0.958,0.3705,87.21,0.986,0.843
36,0.22947817674994897,0.1456,95.21,0.998,0.952,0.3708,86.67,0.987,0.831
37,0.2210164403402677,0.1346,95.62,0.998,0.956,0.3811,85.95,0.987,0.827
38,0.21534784038060456,0.1404,95.51,0.998,0.955,0.4684,84.07,0.982,0.793
39,0.20699246317201617,0.116,96.35,0.998,0.963,0.3506,87.54,0.985,0.836
40,0.20577283907267782,0.1132,96.51,0.999,0.965,0.3475,87.72,0.985,0.834
41,0.2016508880481925,0.0997,96.96,0.999,0.97,0.3346,88.32,0.987,0.85
42,0.19229830507736478,0.0991,96.95,0.999,0.969,0.3596,87.67,0.986,0.843
43,0.18892381739498895,0.0985,96.87,0.999,0.969,0.3533,86.96,0.986,0.831
44,0.18505616651641,0.0924,97.03,0.999,0.97,0.3572,87.78,0.985,0.841
45,0.1825565776544019,0.0955,96.99,0.999,0.97,0.3512,87.78,0.986,0.844
46,0.18401587512811451,0.0938,97.1,0.999,0.971,0.3361,88.2,0.986,0.844
47,0.1817345875298678,0.0926,97.1,0.999,0.971,0.3462,87.92,0.986,0.844
48,0.18283885453016527,0.0905,97.18,0.999,0.972,0.3354,88.24,0.986,0.847
49,0.1799538641580544,0.0901,97.23,0.999,0.972,0.3372,88.06,0.986,0.845
