epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0698234120577466,2.069,16.01,0.64,0.034,2.0777,19.47,0.608,0.041
1,1.3560705444505137,3.261,40.23,0.773,0.344,3.2447,38.65,0.759,0.294
2,0.8203068299746428,0.5595,79.29,0.973,0.785,0.5591,78.86,0.973,0.748
3,0.6090726227529587,0.6925,74.93,0.973,0.731,0.75,73.71,0.968,0.638
4,0.47492269530732145,0.526,82.17,0.98,0.819,0.9441,69.79,0.946,0.658
5,0.41910229345589983,0.4283,84.63,0.984,0.847,0.4769,80.78,0.977,0.767
6,0.38338566550110403,0.4036,85.74,0.987,0.856,0.5179,79.06,0.977,0.747
7,0.35355947047845865,0.3727,86.8,0.989,0.863,0.4213,83.72,0.981,0.785
8,0.3359849628688614,0.2991,89.66,0.991,0.899,0.4878,81.16,0.975,0.76
9,0.31396849920779574,0.4828,82.93,0.988,0.824,0.7283,75.4,0.967,0.705
10,0.3017478812499286,0.2656,91.24,0.994,0.912,0.4986,82.16,0.978,0.756
11,0.28979357756594176,0.254,91.3,0.994,0.913,0.3565,86.77,0.984,0.813
12,0.2858623638215031,0.2906,89.67,0.994,0.896,0.3908,84.97,0.982,0.808
13,0.2702555612370532,0.2142,92.73,0.996,0.929,0.3758,85.47,0.987,0.813
14,0.263385375674587,0.4337,85.17,0.992,0.842,0.6479,80.59,0.973,0.706
15,0.2570751515420748,0.26,90.55,0.995,0.906,0.5803,80.93,0.972,0.78
16,0.2479056455461996,0.2616,90.65,0.995,0.906,0.432,84.38,0.981,0.804
17,0.24210822897359036,0.2518,91.43,0.995,0.914,0.5395,82.85,0.979,0.781
18,0.23956339221487763,0.1762,94.2,0.997,0.942,0.3534,86.33,0.984,0.819
19,0.2345482262258675,0.2769,90.55,0.995,0.908,0.6415,78.27,0.98,0.733
20,0.22671903546993022,0.2683,90.83,0.995,0.908,0.4692,83.44,0.978,0.797
21,0.2238235767249779,0.1856,94.04,0.997,0.94,0.463,84.56,0.979,0.797
22,0.21829901444709002,0.2167,92.79,0.996,0.926,0.4327,85.58,0.978,0.801
23,0.21093354830818792,0.1372,95.62,0.998,0.956,0.3495,87.62,0.986,0.843
24,0.20484989083048263,0.2435,91.95,0.995,0.915,0.5289,80.48,0.977,0.787
25,0.2015212092107983,0.1956,93.57,0.997,0.935,0.3177,88.2,0.989,0.845
26,0.192394104188702,0.1674,94.72,0.997,0.946,0.6653,80.15,0.965,0.748
27,0.19195265918436016,0.1317,95.72,0.998,0.957,0.2478,90.79,0.992,0.876
28,0.18301452658936967,0.1373,95.66,0.998,0.956,0.3411,88.13,0.988,0.849
29,0.17888452417774653,0.1191,96.2,0.998,0.962,0.3138,88.54,0.987,0.846
30,0.17383644022181044,0.1588,94.84,0.998,0.948,0.3877,85.77,0.988,0.816
31,0.16849908159918897,0.2344,91.72,0.997,0.915,0.4424,83.51,0.982,0.772
32,0.1651074509052927,0.1186,96.25,0.998,0.962,0.4589,84.87,0.978,0.808
33,0.16137903586937963,0.1296,95.83,0.998,0.959,0.4034,85.82,0.984,0.807
34,0.15469080486792178,0.1031,96.72,0.999,0.967,0.3418,88.88,0.986,0.849
35,0.15178326127456507,0.1201,96.15,0.998,0.961,0.3816,87.29,0.983,0.834
36,0.14239067682415568,0.1077,96.46,0.999,0.965,0.3831,87.76,0.983,0.836
37,0.14120450175924754,0.112,96.42,0.999,0.964,0.3979,86.31,0.985,0.823
38,0.13530252140188945,0.118,96.26,0.999,0.962,0.4831,84.49,0.983,0.808
39,0.1315053826111192,0.1099,96.38,0.999,0.964,0.3573,88.68,0.984,0.848
40,0.1264813231991931,0.088,97.2,0.999,0.972,0.3577,88.13,0.986,0.848
41,0.12329321683094066,0.0842,97.36,0.999,0.974,0.3554,87.89,0.987,0.837
42,0.12008603480661215,0.083,97.39,0.999,0.974,0.326,88.6,0.989,0.849
43,0.11653460697087335,0.0761,97.63,0.999,0.976,0.3166,89.59,0.987,0.86
44,0.11341618552910812,0.0778,97.53,0.999,0.975,0.3083,89.91,0.988,0.865
45,0.11262766710118688,0.0766,97.57,0.999,0.976,0.3232,89.53,0.988,0.86
46,0.11140179281259843,0.0742,97.69,0.999,0.977,0.3257,89.26,0.987,0.854
47,0.109697938686417,0.0745,97.71,0.999,0.977,0.321,89.26,0.988,0.856
48,0.1085105198785983,0.0735,97.67,0.999,0.977,0.3112,89.78,0.988,0.862
49,0.10872467382607387,0.0735,97.69,0.999,0.977,0.3081,89.86,0.988,0.863
