epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.070554945203993,2.069,16.01,0.636,0.034,2.0785,19.47,0.604,0.041
1,1.3757535928466413,1.2844,56.51,0.918,0.538,1.2776,58.06,0.922,0.503
2,0.8344090047916631,0.6461,76.06,0.969,0.744,0.7996,72.82,0.957,0.669
3,0.6330031756325007,0.5951,78.97,0.976,0.788,0.9572,68.74,0.951,0.645
4,0.5142418986259822,1.0351,69.37,0.96,0.649,1.1224,69.24,0.953,0.586
5,0.4518457296234305,0.341,87.65,0.99,0.878,0.3781,85.33,0.985,0.805
6,0.41039820803215854,0.3097,89.54,0.992,0.896,0.4996,81.78,0.977,0.782
7,0.38179115115207585,0.4048,85.33,0.987,0.856,0.6904,74.7,0.967,0.672
8,0.36973395348129307,0.4919,83.15,0.984,0.836,0.9892,70.49,0.956,0.665
9,0.3449127484233149,0.3372,87.79,0.992,0.877,0.4983,82.61,0.976,0.784
10,0.3279390313185244,0.2342,92.13,0.995,0.922,0.4578,81.98,0.977,0.772
11,0.3177601056553984,0.3119,89.11,0.992,0.893,0.4365,83.48,0.983,0.78
12,0.30997746881084204,0.2657,91.37,0.994,0.912,0.4902,81.86,0.975,0.798
13,0.2976770135557352,0.3192,89.48,0.991,0.898,0.5293,80.99,0.978,0.765
14,0.28910257669973544,0.1946,93.65,0.996,0.937,0.3589,86.86,0.985,0.833
15,0.2818946435139598,0.2249,92.64,0.995,0.925,0.533,81.15,0.976,0.782
16,0.27367758908472606,0.4571,85.34,0.988,0.854,0.6783,79.13,0.964,0.695
17,0.2680147332556572,0.2308,92.47,0.995,0.922,0.4513,83.74,0.979,0.795
18,0.2638880862824379,0.3156,89.1,0.993,0.893,0.5587,80.97,0.972,0.763
19,0.2602497609232062,0.1533,95.33,0.997,0.954,0.3451,87.0,0.987,0.826
20,0.25335447532942645,0.2348,92.47,0.995,0.923,0.546,81.79,0.977,0.776
21,0.24369215520639573,0.2098,93.18,0.996,0.931,0.3792,86.04,0.983,0.813
22,0.23927081767536407,0.1828,93.83,0.997,0.939,0.3111,89.06,0.987,0.856
23,0.2347933431039147,0.1461,95.42,0.998,0.954,0.381,87.38,0.983,0.833
24,0.22706700235231375,0.2752,90.59,0.996,0.904,0.4936,83.28,0.98,0.793
25,0.22051078230676685,0.1664,94.37,0.997,0.943,0.3533,86.75,0.987,0.84
26,0.2143173610197387,0.1541,94.87,0.997,0.949,0.4993,84.26,0.976,0.797
27,0.21177501784216973,0.1654,94.53,0.997,0.945,0.3399,87.95,0.987,0.845
28,0.20319580973049217,0.1868,93.94,0.997,0.94,0.4765,83.4,0.98,0.791
29,0.20066233697651106,0.1355,95.66,0.998,0.957,0.2642,91.03,0.99,0.878
30,0.19676385558206974,0.157,95.08,0.997,0.952,0.3902,86.82,0.981,0.833
31,0.1890973612986585,0.1979,93.27,0.997,0.932,0.3937,86.56,0.989,0.809
32,0.18618318322365002,0.1337,95.68,0.998,0.957,0.3332,88.98,0.988,0.851
33,0.17918844618517438,0.1369,95.44,0.998,0.954,0.3513,88.11,0.987,0.85
34,0.17230750807964887,0.1099,96.57,0.999,0.965,0.3626,87.68,0.986,0.846
35,0.17002011921029792,0.1132,96.32,0.999,0.963,0.2926,89.39,0.989,0.861
36,0.16203764378089844,0.1113,96.43,0.999,0.964,0.3619,87.92,0.986,0.849
37,0.15638151965154115,0.1032,96.67,0.999,0.966,0.3592,87.13,0.987,0.839
38,0.15623654184135272,0.1086,96.53,0.999,0.966,0.3364,88.76,0.986,0.849
39,0.14923323740962371,0.1292,95.61,0.998,0.956,0.2898,89.86,0.99,0.855
40,0.14429713199482597,0.0922,97.24,0.999,0.972,0.3273,89.1,0.988,0.861
41,0.14328276033523263,0.0928,96.99,0.999,0.97,0.2955,89.67,0.988,0.861
42,0.1370848330124999,0.0906,97.15,0.999,0.971,0.3557,88.19,0.986,0.854
43,0.13513290548303222,0.083,97.46,0.999,0.974,0.2957,90.49,0.988,0.875
44,0.1293165485798565,0.081,97.48,0.999,0.975,0.3084,90.08,0.988,0.869
45,0.13007900480675014,0.0828,97.45,0.999,0.974,0.3066,89.94,0.989,0.87
46,0.1265984517505466,0.0804,97.42,0.999,0.974,0.3025,90.05,0.989,0.871
47,0.1252418750676737,0.0776,97.55,0.999,0.975,0.3038,89.96,0.989,0.869
48,0.12175959944190945,0.0776,97.54,0.999,0.975,0.3037,90.15,0.989,0.872
49,0.12157872287843603,0.0773,97.58,0.999,0.976,0.2997,90.24,0.989,0.873
