epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0696610208053317,2.0692,16.01,0.627,0.034,2.0776,19.47,0.597,0.041
1,1.524921567102487,3.515,20.32,0.711,0.137,3.79,18.22,0.688,0.115
2,1.0007628939485038,0.9511,67.06,0.932,0.637,0.8302,70.5,0.955,0.626
3,0.7674996399430818,0.709,74.49,0.971,0.747,0.9714,64.42,0.948,0.607
4,0.647693922549593,0.6628,75.53,0.973,0.753,0.9956,65.48,0.947,0.575
5,0.573711988746479,0.7507,72.02,0.96,0.717,0.7151,72.89,0.957,0.635
6,0.5384349740213819,0.4852,83.91,0.985,0.841,0.586,78.73,0.968,0.729
7,0.5058059454711962,0.3966,85.93,0.991,0.86,0.6225,76.41,0.976,0.697
8,0.4865692883836753,0.4104,85.91,0.988,0.859,0.5439,79.66,0.971,0.752
9,0.4577422473699816,0.4104,85.88,0.988,0.863,0.6149,77.21,0.975,0.735
10,0.447954740628974,0.3579,87.18,0.991,0.859,0.6237,74.96,0.974,0.687
11,0.43356877041973946,0.4305,85.07,0.987,0.849,0.4269,83.64,0.98,0.797
12,0.41622350949753995,0.3837,87.24,0.99,0.869,0.7372,76.68,0.968,0.721
13,0.40585921565905264,0.3724,87.65,0.992,0.882,0.817,72.68,0.97,0.667
14,0.39652047442492616,0.322,88.96,0.993,0.89,0.4869,82.13,0.982,0.762
15,0.38605025608266125,0.2705,90.72,0.994,0.907,0.4653,84.04,0.98,0.797
16,0.3772352031001481,0.2257,92.72,0.995,0.926,0.3796,86.29,0.984,0.825
17,0.36673231126480205,0.2511,91.25,0.995,0.911,0.4998,80.63,0.981,0.76
18,0.35624392485533135,0.1985,93.54,0.996,0.936,0.2979,88.46,0.99,0.847
19,0.35098126191498985,0.232,92.52,0.995,0.924,0.4116,84.87,0.986,0.831
20,0.34651916936093335,0.2692,90.68,0.994,0.904,0.5291,80.66,0.975,0.773
21,0.3382654795990623,0.2238,92.7,0.995,0.927,0.4038,86.28,0.982,0.809
22,0.33464128558780987,0.1668,94.67,0.997,0.947,0.3455,88.3,0.983,0.842
23,0.3249915788036948,0.1779,94.32,0.997,0.943,0.3484,86.89,0.985,0.826
24,0.31773591001508056,0.2628,90.66,0.995,0.9,0.5247,80.74,0.978,0.795
25,0.3134935176180255,0.2637,91.05,0.994,0.909,0.4252,83.33,0.981,0.791
26,0.2995254969137544,0.2032,93.41,0.996,0.934,0.5528,80.12,0.979,0.76
27,0.29777330830426196,0.208,92.95,0.996,0.926,0.4303,83.36,0.986,0.79
28,0.2906346468782339,0.2109,93.08,0.996,0.926,0.4445,83.4,0.984,0.809
29,0.2849420310402002,0.1461,95.34,0.997,0.953,0.3191,88.55,0.987,0.849
30,0.2802714668080798,0.1338,95.69,0.998,0.957,0.3088,88.19,0.99,0.842
31,0.2727055616116011,0.1651,94.49,0.998,0.944,0.3358,86.72,0.987,0.823
32,0.26579300255437904,0.1311,95.82,0.998,0.958,0.2842,89.97,0.99,0.87
33,0.2588709308548854,0.1271,96.18,0.998,0.962,0.3099,88.65,0.989,0.853
34,0.2531743874526366,0.1162,96.32,0.998,0.963,0.2643,90.4,0.99,0.87
35,0.2475608288974745,0.1439,95.41,0.998,0.954,0.3281,87.89,0.988,0.835
36,0.24284311871321398,0.1199,96.01,0.998,0.96,0.3822,86.99,0.988,0.832
37,0.23880173042950664,0.1167,96.3,0.998,0.963,0.3364,88.43,0.986,0.853
38,0.2310594663985314,0.13,95.88,0.998,0.959,0.3509,87.83,0.985,0.841
39,0.2230685190381115,0.1142,96.37,0.998,0.964,0.3103,88.99,0.987,0.849
40,0.22216403927640677,0.1127,96.24,0.999,0.962,0.2717,90.4,0.989,0.872
41,0.21575835949364103,0.1073,96.52,0.999,0.965,0.3238,88.63,0.987,0.849
42,0.20799645085862462,0.1076,96.62,0.999,0.966,0.3277,88.96,0.988,0.858
43,0.20373548539255254,0.1001,96.63,0.999,0.966,0.3245,89.09,0.987,0.86
44,0.19905873091631038,0.0918,97.01,0.999,0.97,0.2957,90.16,0.988,0.87
45,0.19540843852264908,0.0918,97.05,0.999,0.971,0.3019,90.1,0.989,0.871
46,0.19782425591381647,0.0922,97.02,0.999,0.97,0.298,89.83,0.989,0.865
47,0.19503364013674865,0.0909,97.06,0.999,0.971,0.3026,89.59,0.989,0.863
48,0.19642268385617964,0.089,97.16,0.999,0.972,0.287,90.29,0.989,0.872
49,0.19421465470585772,0.0887,97.17,0.999,0.972,0.2882,90.29,0.989,0.872
