epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0203459358984426,2.0287,26.17,0.743,0.16,2.036,24.11,0.684,0.128
1,1.281288010031519,1.2919,57.35,0.91,0.521,1.1067,60.68,0.924,0.51
2,0.7200461546473178,0.7387,74.22,0.959,0.734,0.9044,68.77,0.956,0.628
3,0.5417333324322992,0.6613,77.86,0.982,0.768,0.7398,72.34,0.963,0.676
4,0.42941293817374016,0.5102,81.76,0.984,0.819,0.6613,76.2,0.972,0.716
5,0.37236146348458465,0.3305,88.73,0.993,0.885,0.5707,78.27,0.98,0.74
6,0.34419715407180956,0.321,89.09,0.992,0.887,0.5267,83.12,0.973,0.768
7,0.3241654425378769,0.2192,93.15,0.995,0.931,0.4347,85.02,0.981,0.822
8,0.3138928942141994,0.2137,93.1,0.995,0.931,0.377,84.13,0.986,0.798
9,0.29094732251004934,0.3354,88.24,0.994,0.881,0.3695,87.59,0.986,0.829
10,0.2773909031223225,0.4117,85.87,0.994,0.857,1.1402,69.15,0.958,0.589
11,0.2687597589360343,0.3038,89.57,0.993,0.896,0.5341,81.13,0.97,0.774
12,0.26617874510880013,0.2509,91.67,0.996,0.913,0.5227,80.47,0.981,0.783
13,0.24792161796201942,0.144,95.42,0.998,0.954,0.3302,89.1,0.989,0.846
14,0.24500332624521307,0.433,85.47,0.987,0.853,1.118,63.82,0.944,0.621
15,0.23814154935726983,0.1424,95.53,0.998,0.955,0.3005,88.3,0.988,0.835
16,0.2289923373142451,0.1701,94.44,0.997,0.945,0.2821,89.69,0.988,0.862
17,0.22530094373931167,0.1727,94.19,0.997,0.942,0.3678,87.57,0.984,0.839
18,0.22085929069147314,0.1584,95.09,0.997,0.949,0.3288,87.37,0.986,0.844
19,0.21818256764055152,0.1469,95.08,0.998,0.952,0.3694,88.58,0.985,0.844
20,0.2085504343993561,0.2284,92.61,0.997,0.926,0.6143,79.68,0.974,0.76
21,0.20457901579985482,0.142,95.51,0.998,0.955,0.3444,87.04,0.984,0.825
22,0.19894610119709832,0.1086,96.58,0.999,0.965,0.3023,90.0,0.989,0.87
23,0.19723601500406915,0.1006,96.91,0.999,0.969,0.2694,90.45,0.991,0.872
24,0.1930819808381967,0.1422,95.59,0.998,0.956,0.3532,86.8,0.985,0.823
25,0.18562419250554082,0.1093,96.56,0.999,0.965,0.3264,89.07,0.989,0.858
26,0.18120435196038429,0.1374,95.54,0.998,0.954,0.4674,84.45,0.982,0.804
27,0.1769390811402631,0.1368,95.69,0.998,0.957,0.386,85.93,0.988,0.801
28,0.17334737312916573,0.1189,96.14,0.999,0.961,0.3207,87.7,0.987,0.853
29,0.1673162653374629,0.1008,96.77,0.999,0.968,0.3241,88.46,0.986,0.837
30,0.16487976168966637,0.0903,97.18,0.999,0.971,0.3603,87.6,0.988,0.844
31,0.15824790642092731,0.0915,97.13,0.999,0.971,0.2248,91.85,0.992,0.892
32,0.15627724599880985,0.0793,97.56,0.999,0.975,0.305,89.17,0.99,0.86
33,0.15205035683795756,0.0805,97.36,0.999,0.973,0.2905,89.91,0.99,0.856
34,0.14371975926568858,0.0834,97.32,0.999,0.973,0.2657,90.98,0.991,0.874
35,0.14355282227785784,0.0776,97.52,0.999,0.975,0.2557,91.35,0.991,0.886
36,0.13621985846229137,0.0686,97.87,0.999,0.979,0.2356,91.3,0.992,0.884
37,0.131164583554458,0.089,97.17,0.999,0.971,0.3953,85.79,0.984,0.83
38,0.12556326170335105,0.085,97.23,0.999,0.972,0.3581,88.5,0.988,0.854
39,0.12377163702388391,0.0671,97.78,0.999,0.978,0.2632,90.49,0.99,0.873
40,0.11912413856421854,0.0601,98.08,1.0,0.981,0.2576,91.71,0.99,0.891
41,0.11691302632559157,0.0551,98.29,1.0,0.983,0.2299,91.74,0.993,0.893
42,0.11439490261884894,0.0586,98.24,1.0,0.982,0.241,91.71,0.992,0.897
43,0.11032642906124447,0.0543,98.26,1.0,0.982,0.2411,91.63,0.992,0.891
44,0.10500439723092382,0.0511,98.43,1.0,0.984,0.253,91.66,0.992,0.892
45,0.10500924185412439,0.0518,98.39,1.0,0.984,0.2398,92.17,0.992,0.897
46,0.10177392777602946,0.0506,98.37,1.0,0.983,0.2312,91.96,0.993,0.894
47,0.10045270020756403,0.0486,98.42,1.0,0.984,0.2371,92.23,0.992,0.898
48,0.10291870157351203,0.0483,98.45,1.0,0.984,0.2328,92.2,0.993,0.897
49,0.10230958202059337,0.0485,98.46,1.0,0.984,0.2332,92.28,0.992,0.898
