epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.069048638839448,2.0692,16.01,0.632,0.034,2.0767,19.47,0.605,0.041
1,1.4732341485425136,2.6919,38.49,0.791,0.328,2.5925,36.27,0.775,0.306
2,0.9403913255019855,1.213,66.35,0.936,0.648,0.996,66.9,0.945,0.603
3,0.7010321171693904,0.6461,76.7,0.969,0.749,0.9308,68.74,0.946,0.644
4,0.5762601792812347,0.8173,69.37,0.957,0.71,0.9828,63.35,0.939,0.582
5,0.5195899760103567,0.418,85.22,0.986,0.853,0.6706,73.98,0.968,0.685
6,0.48237728725411133,0.4278,84.7,0.986,0.845,0.7087,74.58,0.963,0.699
7,0.448786574933264,0.3635,87.24,0.99,0.874,0.4611,81.26,0.982,0.75
8,0.4296071101046805,0.4508,84.43,0.986,0.844,0.5483,79.09,0.971,0.74
9,0.40999614644969234,0.3998,85.75,0.988,0.861,0.4037,84.79,0.981,0.816
10,0.39313918186558616,0.3161,89.09,0.991,0.89,0.5181,79.31,0.976,0.741
11,0.3837273963676986,0.2999,89.87,0.991,0.899,0.4469,84.23,0.977,0.802
12,0.371918837870321,0.4058,85.95,0.987,0.857,0.4588,83.78,0.981,0.785
13,0.35488472849557906,0.2841,90.66,0.992,0.908,0.3136,88.88,0.988,0.857
14,0.34631581556412483,0.3034,89.68,0.992,0.889,0.4414,82.09,0.98,0.772
15,0.3394674026544163,0.4601,83.93,0.985,0.827,0.8167,69.13,0.961,0.635
16,0.3289203165252576,0.2752,90.6,0.995,0.91,0.5972,78.81,0.982,0.747
17,0.316403468022637,0.2368,92.11,0.995,0.922,0.454,83.64,0.981,0.801
18,0.3165835123175361,0.2984,89.99,0.992,0.901,0.3509,87.15,0.983,0.824
19,0.30828284923534666,0.2175,93.09,0.995,0.931,0.3755,85.52,0.986,0.814
20,0.2981707428091316,0.4534,85.59,0.99,0.85,0.7041,76.93,0.973,0.706
21,0.29118296359815904,0.1549,94.88,0.997,0.949,0.3231,88.52,0.985,0.848
22,0.28631359572425535,0.2211,92.86,0.996,0.929,0.3454,87.7,0.986,0.83
23,0.27905803820031516,0.2035,93.27,0.996,0.932,0.4202,84.56,0.983,0.796
24,0.2757707227248445,0.315,89.22,0.992,0.89,0.5166,79.88,0.978,0.77
25,0.2671918576870341,0.1782,94.4,0.996,0.944,0.3473,87.97,0.986,0.851
26,0.25864728056829034,0.2017,93.27,0.996,0.934,0.4648,84.38,0.973,0.8
27,0.2569556969041038,0.1582,94.89,0.997,0.948,0.3137,88.71,0.988,0.846
28,0.25004665692433664,0.3199,89.56,0.993,0.895,0.4907,81.6,0.979,0.768
29,0.24399465741756568,0.1531,95.09,0.997,0.95,0.3396,87.62,0.987,0.842
30,0.23677899998255528,0.1587,94.46,0.997,0.944,0.2634,90.81,0.992,0.883
31,0.22954058381445092,0.1828,93.81,0.997,0.937,0.269,90.23,0.991,0.865
32,0.22717538131501086,0.138,95.21,0.998,0.953,0.3533,89.52,0.986,0.857
33,0.22169465723858084,0.1386,95.5,0.998,0.955,0.3979,86.59,0.985,0.829
34,0.2145807128332849,0.1387,95.53,0.998,0.956,0.3533,87.78,0.988,0.838
35,0.20757949937094924,0.1582,94.69,0.998,0.946,0.2493,90.79,0.992,0.88
36,0.20284920906828297,0.1247,95.92,0.998,0.959,0.3388,88.22,0.987,0.855
37,0.1988199718803915,0.1092,96.58,0.999,0.965,0.3598,87.57,0.988,0.837
38,0.19048242801032614,0.113,96.51,0.998,0.965,0.3359,89.22,0.988,0.859
39,0.1884336178140935,0.114,96.15,0.999,0.962,0.3081,88.36,0.988,0.838
40,0.18194706329414922,0.1016,96.78,0.999,0.967,0.2971,89.66,0.988,0.868
41,0.1773577157047487,0.0934,97.06,0.999,0.971,0.2998,89.48,0.989,0.858
42,0.17201238372580124,0.0895,97.21,0.999,0.972,0.2637,91.19,0.991,0.888
43,0.16944156242634661,0.0875,97.23,0.999,0.972,0.2843,90.43,0.988,0.879
44,0.16751387792115358,0.0871,97.28,0.999,0.972,0.2746,90.43,0.99,0.874
45,0.16370162454610657,0.0857,97.37,0.999,0.973,0.2735,90.46,0.99,0.874
46,0.16390282208747547,0.0827,97.43,0.999,0.974,0.2714,90.64,0.99,0.877
47,0.16042879970884452,0.0833,97.48,0.999,0.975,0.2598,90.72,0.991,0.877
48,0.15734916590955308,0.0813,97.58,0.999,0.976,0.2688,90.45,0.99,0.875
49,0.1549642855922381,0.0818,97.53,0.999,0.975,0.2697,90.46,0.99,0.874
