epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0654038460023942,2.0699,16.01,0.621,0.034,2.074,19.47,0.589,0.041
1,1.503691192489371,1.4574,54.29,0.884,0.528,1.361,56.8,0.884,0.528
2,0.9508625776323366,0.8397,70.9,0.951,0.713,0.8598,72.26,0.948,0.662
3,0.7194793488176066,0.3919,86.13,0.986,0.863,0.548,76.98,0.97,0.739
4,0.5989817444996167,0.8134,70.57,0.965,0.709,1.1731,63.22,0.941,0.545
5,0.538437003516809,0.2965,90.02,0.992,0.901,0.43,83.42,0.982,0.783
6,0.5072229692051488,0.3637,87.78,0.991,0.879,0.5022,81.27,0.976,0.777
7,0.4693801602795987,0.2859,90.68,0.993,0.908,0.5227,78.65,0.981,0.74
8,0.4568764801574437,0.4797,83.1,0.988,0.83,0.7894,73.69,0.97,0.641
9,0.43340447673233606,0.3168,88.87,0.992,0.891,0.4313,83.58,0.984,0.789
10,0.42026579137023634,0.4272,84.83,0.987,0.85,0.6311,76.9,0.97,0.72
11,0.4105631712303367,0.3097,89.53,0.993,0.89,0.5191,81.65,0.983,0.781
12,0.40001850754129414,0.3092,88.9,0.993,0.885,0.5185,81.79,0.979,0.764
13,0.38802946783522124,0.3279,88.64,0.992,0.887,0.5502,79.33,0.975,0.752
14,0.3784454894856313,0.3114,89.13,0.993,0.891,0.5078,80.8,0.98,0.759
15,0.3696112473325063,0.3067,89.21,0.991,0.897,0.6217,77.42,0.966,0.724
16,0.3636256599511724,0.2695,90.77,0.994,0.91,0.5669,79.43,0.981,0.753
17,0.35497052852718636,0.2243,92.75,0.995,0.927,0.3986,85.43,0.983,0.814
18,0.34523167471838684,0.244,91.4,0.995,0.914,0.4214,86.09,0.985,0.835
19,0.34074307564232087,0.2878,90.3,0.994,0.9,0.6819,77.09,0.971,0.755
20,0.3317083151323394,0.282,90.06,0.995,0.9,0.5207,82.08,0.982,0.795
21,0.3324861450648222,0.1836,94.05,0.997,0.941,0.2962,88.87,0.989,0.836
22,0.324449980237578,0.2434,91.98,0.995,0.919,0.454,84.05,0.982,0.812
23,0.32200390786787086,0.2126,93.1,0.996,0.932,0.5078,79.71,0.979,0.765
24,0.3068885844080679,0.1941,93.41,0.996,0.935,0.5132,80.44,0.981,0.756
25,0.3029180819362295,0.1964,93.39,0.996,0.934,0.3175,87.75,0.988,0.835
26,0.2989421527178484,0.1663,94.39,0.997,0.945,0.3445,87.57,0.986,0.824
27,0.2885764810827471,0.2065,92.75,0.996,0.928,0.3536,86.59,0.984,0.823
28,0.2866407783708692,0.1864,93.76,0.997,0.938,0.4302,84.0,0.984,0.804
29,0.28006779871159987,0.168,94.69,0.997,0.947,0.4604,84.78,0.982,0.819
30,0.271964632241743,0.1411,95.41,0.998,0.954,0.3883,86.59,0.985,0.83
31,0.2656954580310425,0.1623,94.61,0.997,0.946,0.3358,87.9,0.988,0.845
32,0.2625983618466871,0.1379,95.55,0.998,0.956,0.3779,87.0,0.984,0.837
33,0.25036914872279303,0.127,95.92,0.998,0.959,0.342,87.62,0.986,0.831
34,0.24480716108367861,0.1265,95.8,0.998,0.958,0.2242,91.38,0.992,0.881
35,0.23803047843838251,0.1155,96.31,0.998,0.963,0.2591,90.57,0.991,0.882
36,0.23641683616571957,0.1225,96.1,0.998,0.961,0.3888,86.7,0.985,0.834
37,0.22972046027100215,0.1119,96.54,0.998,0.966,0.4197,86.42,0.983,0.828
38,0.22256438523584368,0.1147,96.5,0.998,0.965,0.3808,86.77,0.986,0.842
39,0.21573952232958168,0.1132,96.28,0.998,0.963,0.3009,89.47,0.989,0.864
40,0.2134522535307433,0.0968,96.96,0.999,0.97,0.3081,90.3,0.988,0.876
41,0.20692888481749427,0.0944,97.06,0.999,0.97,0.283,89.89,0.99,0.861
42,0.20177326121744715,0.0886,97.39,0.999,0.974,0.3175,89.82,0.99,0.871
43,0.20108861878087017,0.0917,97.11,0.999,0.971,0.2644,90.78,0.991,0.88
44,0.19598255281112956,0.0838,97.42,0.999,0.974,0.2958,89.96,0.99,0.869
45,0.19209248688752933,0.0855,97.34,0.999,0.973,0.284,90.53,0.991,0.878
46,0.19169532929590527,0.0832,97.39,0.999,0.974,0.2904,90.13,0.99,0.871
47,0.18734586711532325,0.0848,97.32,0.999,0.973,0.2919,89.93,0.99,0.871
48,0.1887452502644831,0.0829,97.41,0.999,0.974,0.2926,90.07,0.99,0.872
49,0.18667792459435786,0.0825,97.46,0.999,0.975,0.2894,90.21,0.991,0.874
