epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.065363094370852,2.0698,16.01,0.626,0.034,2.0731,19.47,0.595,0.041
1,1.411876029224806,1.7905,45.97,0.862,0.408,1.6676,52.3,0.866,0.453
2,0.8463326451171683,0.8409,69.16,0.948,0.677,0.9237,67.54,0.95,0.614
3,0.6503698485619706,0.8193,69.31,0.969,0.683,0.8965,67.47,0.957,0.633
4,0.536516659148705,0.714,75.44,0.97,0.735,1.0234,68.53,0.945,0.619
5,0.475926202685175,0.5657,79.42,0.98,0.791,0.783,69.54,0.969,0.637
6,0.44523342322277765,0.5985,79.48,0.978,0.792,0.7181,73.93,0.971,0.715
7,0.4173870509403581,0.3063,89.3,0.991,0.896,0.4401,83.26,0.977,0.784
8,0.3933700117746562,0.2721,90.88,0.993,0.91,0.3732,85.68,0.982,0.806
9,0.3743704803368097,0.2613,91.42,0.994,0.914,0.3204,87.16,0.985,0.828
10,0.36407526699979675,0.3124,89.64,0.992,0.892,0.4937,81.24,0.98,0.772
11,0.35195097880017373,0.3319,88.4,0.992,0.886,0.59,80.91,0.975,0.783
12,0.3431297838153805,0.2975,89.89,0.993,0.897,0.4397,83.48,0.984,0.791
13,0.33088774145931327,0.2293,92.37,0.995,0.924,0.3284,87.81,0.985,0.836
14,0.3218544286051531,0.3406,88.02,0.992,0.87,0.5489,80.56,0.984,0.77
15,0.3128969175574173,0.2336,92.34,0.995,0.925,0.3787,87.23,0.986,0.843
16,0.30342175854256503,0.249,91.57,0.995,0.917,0.5438,78.83,0.984,0.746
17,0.3016164370922632,0.2749,90.54,0.994,0.902,0.4515,82.69,0.982,0.801
18,0.2951485967550654,0.209,92.56,0.996,0.925,0.3712,86.17,0.986,0.811
19,0.28838472706549484,0.2211,92.3,0.996,0.925,0.406,86.14,0.988,0.827
20,0.28577264425041,0.1916,93.58,0.997,0.935,0.3461,87.89,0.987,0.852
21,0.2762669260917385,0.1934,93.64,0.997,0.936,0.2968,89.39,0.988,0.857
22,0.2718823580839087,0.2025,93.27,0.996,0.933,0.3088,88.52,0.987,0.838
23,0.26474487283484055,0.1741,94.46,0.997,0.944,0.2737,90.16,0.99,0.869
24,0.25850133748731735,0.1761,94.34,0.997,0.942,0.3279,87.7,0.987,0.854
25,0.2502786379614611,0.1715,94.24,0.997,0.943,0.3433,87.51,0.988,0.84
26,0.24929175306926063,0.1543,95.01,0.998,0.95,0.4232,86.4,0.986,0.827
27,0.24172247900864557,0.1764,93.93,0.997,0.938,0.2619,90.67,0.993,0.881
28,0.23727083114045922,0.187,93.27,0.997,0.932,0.3068,89.1,0.99,0.853
29,0.23082185631424296,0.123,95.96,0.998,0.96,0.3838,87.21,0.984,0.841
30,0.2229394550338441,0.1685,94.33,0.998,0.941,0.4074,86.64,0.99,0.838
31,0.22202669963988353,0.1292,95.95,0.998,0.959,0.3595,86.86,0.988,0.848
32,0.21555230259147595,0.1154,96.26,0.998,0.963,0.351,87.65,0.984,0.829
33,0.2100202770616632,0.0989,96.72,0.999,0.967,0.3325,89.23,0.989,0.865
34,0.20259206783440378,0.1048,96.66,0.999,0.966,0.3055,89.63,0.99,0.872
35,0.19795979359137114,0.1147,96.3,0.998,0.963,0.354,87.9,0.988,0.86
36,0.19494861592688867,0.0882,97.24,0.999,0.972,0.2672,90.81,0.991,0.883
37,0.18775838023338695,0.1135,96.5,0.999,0.965,0.2857,89.7,0.99,0.868
38,0.18083183596905414,0.0906,97.12,0.999,0.971,0.2822,90.56,0.991,0.881
39,0.17563883432831387,0.0992,96.73,0.999,0.967,0.3016,89.66,0.99,0.875
40,0.17244788852777318,0.0813,97.43,0.999,0.974,0.2786,90.89,0.99,0.888
41,0.16719694355482695,0.0766,97.51,0.999,0.975,0.2622,91.17,0.991,0.887
42,0.16413773824611017,0.0781,97.49,0.999,0.975,0.2804,90.43,0.99,0.878
43,0.159421655466266,0.0836,97.28,0.999,0.973,0.2549,91.14,0.991,0.89
44,0.1559339986386372,0.0705,97.77,0.999,0.978,0.2251,92.37,0.993,0.898
45,0.15701590272794916,0.072,97.74,0.999,0.977,0.2607,91.77,0.991,0.894
46,0.15184314559651105,0.0719,97.62,0.999,0.976,0.2705,91.06,0.991,0.888
47,0.15309955080216717,0.0701,97.75,0.999,0.978,0.2483,91.68,0.992,0.894
48,0.14929766774738348,0.0694,97.76,0.999,0.978,0.2432,91.99,0.992,0.897
49,0.14857189085561529,0.0693,97.83,0.999,0.978,0.2422,91.96,0.992,0.897
