epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.0016214719382666,0.5655,80.09,0.972,0.795,4.1429,22.41,0.705,0.221
1,0.9150192626488252,0.8506,66.4,0.955,0.641,3.2067,20.81,0.67,0.204
2,0.48514465637852217,1.3142,69.61,0.969,0.64,32.6664,13.67,0.65,0.104
3,0.31375949924618113,0.2696,91.01,0.993,0.909,195.8393,41.12,0.752,0.378
4,0.36306670310783556,0.6534,80.44,0.977,0.78,146.5748,23.37,0.65,0.197
5,0.2116408661461859,0.3409,89.92,0.992,0.898,191.3878,46.91,0.798,0.406
6,0.17713288112299844,0.1699,94.38,0.998,0.94,55.7175,46.01,0.772,0.382
7,0.14034999737442608,0.1389,95.64,0.998,0.955,121.9427,39.3,0.726,0.365
8,0.11593689023113166,0.2408,91.03,0.997,0.905,164.2653,31.77,0.738,0.311
9,0.103415038426637,0.1318,95.92,0.998,0.96,307.2079,27.22,0.704,0.261
10,0.09138254671754803,0.1405,95.35,0.999,0.953,189.4619,35.39,0.736,0.301
11,0.08569083073239867,0.307,89.65,0.996,0.889,286.1854,27.13,0.737,0.246
12,0.07644356292669117,0.2134,93.24,0.997,0.931,196.0918,31.53,0.717,0.284
13,0.07262587000859574,0.0978,97.14,0.999,0.971,169.2628,51.65,0.76,0.451
14,0.07067424358005592,0.1679,95.7,0.997,0.955,94.0852,71.23,0.81,0.607
15,0.06407940080456143,0.137,95.49,0.998,0.955,104.1048,42.41,0.76,0.358
16,0.058880407683631425,0.2391,92.56,0.997,0.924,133.5444,47.13,0.726,0.399
17,0.05664227848144842,0.0759,97.57,1.0,0.975,97.5229,42.84,0.766,0.37
18,0.05584457424372488,0.1807,93.63,0.999,0.934,86.4906,28.74,0.697,0.267
19,0.05350496028433137,0.414,86.5,0.997,0.827,85.9919,36.48,0.788,0.334
20,0.04851078250241803,0.0732,97.6,0.999,0.975,46.7206,28.69,0.722,0.261
21,0.05018844739717555,0.4303,94.05,0.991,0.94,105.0158,62.31,0.776,0.539
22,0.04468414900610791,0.1883,96.49,0.997,0.965,115.3644,52.16,0.767,0.467
23,0.04174106912754182,0.0481,98.33,1.0,0.983,99.9413,25.25,0.683,0.222
24,0.040027232358305576,0.2545,96.23,0.995,0.963,95.8554,63.03,0.811,0.548
25,0.03811827508772733,0.0676,97.88,0.999,0.978,107.4071,46.94,0.802,0.409
26,0.0340952239897249,0.0503,98.45,1.0,0.984,129.1591,48.67,0.783,0.436
27,0.032078697266037105,0.1632,93.44,0.999,0.925,123.2226,39.54,0.768,0.359
28,0.029503058073007397,0.064,97.96,1.0,0.979,104.7671,42.55,0.765,0.349
29,0.028046019986191745,0.2248,97.09,0.997,0.971,102.0273,58.28,0.782,0.51
30,0.02461823949082938,0.0375,98.73,1.0,0.987,135.644,32.15,0.747,0.298
31,0.02108459714065743,0.0491,98.7,1.0,0.987,237.1399,51.24,0.78,0.461
32,0.02096447412351874,0.1586,97.6,0.998,0.976,174.4891,33.3,0.73,0.327
33,0.019285700637780425,0.0282,99.13,1.0,0.991,149.2762,46.6,0.775,0.388
34,0.01512587384077116,0.2114,93.11,0.999,0.92,165.8687,29.46,0.725,0.283
35,0.013379541295830922,0.0234,99.28,1.0,0.993,135.5123,39.78,0.749,0.358
36,0.013082223013043404,0.0211,99.3,1.0,0.993,157.9216,40.98,0.745,0.378
37,0.01065615198564946,0.0219,99.4,1.0,0.994,139.5007,41.2,0.747,0.373
38,0.009204687390436408,0.0226,99.32,1.0,0.993,205.5872,38.48,0.74,0.357
39,0.008452873077831068,0.0251,99.16,1.0,0.991,194.5772,40.85,0.753,0.369
40,0.007246669500358537,0.0682,97.83,1.0,0.977,254.3684,33.03,0.72,0.305
41,0.0058448845553996315,0.0184,99.45,1.0,0.994,210.0415,39.33,0.751,0.36
42,0.004965872487126713,0.016,99.49,1.0,0.995,235.7496,36.82,0.74,0.348
43,0.004420452959848882,0.0156,99.54,1.0,0.995,211.4413,38.62,0.735,0.355
44,0.0038726101278938273,0.0157,99.54,1.0,0.995,199.7459,35.12,0.724,0.329
45,0.003666602886251865,0.0152,99.6,1.0,0.996,222.7723,38.78,0.739,0.356
46,0.003372086629298212,0.0152,99.58,1.0,0.996,246.0035,36.79,0.737,0.343
47,0.002850311604665599,0.0149,99.59,1.0,0.996,218.7265,35.97,0.733,0.337
48,0.0028489575868198736,0.0149,99.61,1.0,0.996,199.0216,36.22,0.735,0.34
49,0.0026883847183651393,0.0151,99.6,1.0,0.996,230.8861,37.04,0.736,0.343
