epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.081159082364865,1.8455,27.09,0.701,0.193,2.0611,22.03,0.624,0.099
1,2.5538876283126064,1.9493,28.42,0.617,0.179,1.9423,37.91,0.572,0.2
2,1.973891248412457,1.7453,33.08,0.769,0.223,1.7472,31.2,0.693,0.183
3,1.7389051343805046,1.5659,40.53,0.785,0.319,1.7067,39.82,0.743,0.254
4,1.632168196649107,1.5676,41.73,0.785,0.358,1.6445,41.5,0.751,0.269
5,1.5445247706973853,1.435,43.94,0.825,0.405,1.7382,45.46,0.775,0.349
6,1.4394035753810706,1.3309,50.06,0.852,0.486,1.4369,50.09,0.823,0.41
7,1.3042656366970378,1.1787,53.79,0.888,0.534,1.4779,50.69,0.837,0.436
8,1.1822837897739957,0.934,64.59,0.929,0.638,1.1656,57.79,0.886,0.514
9,1.0351274242110577,0.9049,65.29,0.941,0.643,1.0559,63.52,0.922,0.552
10,0.9092765352204709,0.6303,77.1,0.97,0.776,0.8298,70.19,0.943,0.68
11,0.8092774564006423,0.5109,81.35,0.978,0.813,0.7344,72.97,0.962,0.7
12,0.7304999254189939,0.501,81.73,0.979,0.821,0.6955,75.45,0.968,0.723
13,0.6617434396538683,0.5049,80.67,0.982,0.801,0.7741,74.09,0.968,0.69
14,0.6114023955385317,0.4397,83.91,0.984,0.842,0.5062,79.91,0.975,0.76
15,0.5670471765020842,0.3576,87.21,0.989,0.874,0.4999,81.4,0.979,0.777
16,0.5287316220956036,0.347,87.96,0.989,0.883,0.6124,77.63,0.973,0.758
17,0.4960896218976667,0.3135,89.11,0.991,0.893,0.453,83.26,0.982,0.799
18,0.4671471980150028,0.3428,88.36,0.992,0.884,0.5698,79.05,0.977,0.761
19,0.44277454832548735,0.2888,89.72,0.992,0.899,0.5032,80.63,0.979,0.764
20,0.42142042320048084,0.2886,90.19,0.993,0.9,0.5334,81.43,0.976,0.78
21,0.40074719069358694,0.2654,90.74,0.993,0.907,0.4009,83.75,0.983,0.803
22,0.37995605395045334,0.2661,90.9,0.993,0.911,0.5571,80.31,0.972,0.752
23,0.359000186739643,0.2354,91.79,0.995,0.919,0.4322,84.95,0.983,0.792
24,0.3455032233589439,0.2181,92.8,0.995,0.929,0.3743,85.84,0.984,0.81
25,0.33067558299896965,0.2253,92.42,0.995,0.923,0.3945,85.54,0.987,0.821
26,0.3169900231517344,0.196,93.57,0.996,0.936,0.3282,87.83,0.988,0.844
27,0.3055777893832294,0.1943,93.49,0.996,0.936,0.3789,85.85,0.987,0.816
28,0.29284793341458915,0.1753,94.25,0.997,0.944,0.3657,88.39,0.984,0.847
29,0.27967349079347426,0.17,94.46,0.997,0.946,0.4738,84.64,0.983,0.807
30,0.26682464456633,0.165,94.27,0.997,0.943,0.4147,85.39,0.981,0.819
31,0.2541478628753334,0.1758,94.13,0.997,0.942,0.4992,84.32,0.976,0.801
32,0.24382635559819932,0.1453,95.11,0.998,0.951,0.3283,88.58,0.985,0.846
33,0.23340457014232127,0.1334,95.59,0.998,0.956,0.4243,85.68,0.981,0.817
34,0.2159021808281808,0.1378,95.48,0.998,0.955,0.3901,86.97,0.985,0.837
35,0.2080996349774381,0.1195,96.25,0.998,0.963,0.3784,87.62,0.985,0.84
36,0.20159572296138306,0.125,95.96,0.998,0.959,0.3738,87.18,0.984,0.839
37,0.19221168247762546,0.1191,96.11,0.998,0.961,0.3422,87.94,0.987,0.856
38,0.18145621943831658,0.1109,96.33,0.999,0.963,0.3573,87.75,0.987,0.84
39,0.17654618738372693,0.0975,96.82,0.999,0.968,0.3476,88.57,0.986,0.849
40,0.1636391259182418,0.0978,96.81,0.999,0.968,0.352,88.14,0.985,0.851
41,0.15730180031883673,0.1019,96.68,0.999,0.966,0.4192,86.31,0.984,0.836
42,0.15149199684888232,0.0921,97.18,0.999,0.972,0.3428,89.53,0.987,0.867
43,0.14296365945222772,0.0909,97.05,0.999,0.97,0.3389,88.95,0.987,0.861
44,0.13689947157670948,0.0819,97.33,0.999,0.973,0.3308,89.61,0.987,0.865
45,0.13275429682545764,0.0815,97.38,0.999,0.974,0.3111,90.54,0.989,0.877
46,0.13180278427898884,0.0801,97.37,0.999,0.974,0.3247,90.02,0.988,0.87
47,0.12749171387871533,0.0812,97.37,0.999,0.974,0.3311,89.89,0.988,0.871
48,0.1243968092132106,0.0791,97.44,0.999,0.974,0.33,89.83,0.988,0.868
49,0.12412213172937166,0.0792,97.46,0.999,0.975,0.3319,90.02,0.988,0.87
