epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7636854657135557,1.7422,37.9,0.79,0.336,2.3061,17.43,0.695,0.118
1,2.1474460384751732,1.2808,48.24,0.881,0.42,1.8314,35.48,0.695,0.25
2,1.3272631950275873,0.918,66.64,0.936,0.656,1.0393,60.82,0.916,0.533
3,1.0069629047933872,0.7014,73.36,0.961,0.711,1.1274,58.98,0.902,0.558
4,0.670714171556589,0.335,88.23,0.99,0.88,0.3731,85.93,0.985,0.812
5,0.4450361695287475,0.6131,76.77,0.985,0.768,0.8992,68.28,0.965,0.652
6,0.34197963635340384,0.5101,83.23,0.991,0.793,0.8173,72.05,0.962,0.721
7,0.3043851566010265,3.5783,86.49,0.939,0.863,1.19,85.13,0.974,0.828
8,0.25769249186934534,0.2167,93.21,0.997,0.929,0.4791,84.41,0.979,0.782
9,0.23313057813860183,0.8032,91.02,0.977,0.907,0.4802,88.33,0.986,0.859
10,0.21561938681803297,12.5767,83.11,0.881,0.806,5.6258,77.47,0.926,0.77
11,0.22463451682399677,0.159,94.82,0.997,0.948,0.2885,88.68,0.99,0.838
12,0.20093919177903496,0.2011,95.15,0.996,0.948,0.6554,81.02,0.983,0.791
13,0.18519846144996877,0.1225,96.01,0.999,0.959,0.2944,89.03,0.991,0.86
14,0.20964587396377946,0.1283,95.96,0.998,0.958,0.4538,83.69,0.983,0.801
15,0.18002261814918355,0.1631,94.21,0.998,0.94,0.3353,87.87,0.989,0.834
16,0.16250000884723065,0.1383,95.76,0.998,0.957,0.4331,85.5,0.987,0.829
17,0.1533784129152802,0.1151,96.44,0.999,0.963,0.2587,91.62,0.991,0.891
18,0.14370429714120203,0.131,95.85,0.999,0.957,0.3762,87.94,0.993,0.862
19,0.13906392805932563,0.0975,96.91,0.999,0.968,0.3881,87.3,0.984,0.834
20,0.1314869566376598,0.0976,96.79,0.999,0.967,0.3631,88.41,0.989,0.843
21,0.12917289886570213,0.0958,96.8,0.999,0.968,0.2967,90.27,0.99,0.866
22,0.12151907577336261,0.0908,96.91,0.999,0.969,0.2757,90.89,0.991,0.875
23,0.11754873280136388,0.0847,97.2,0.999,0.972,0.3634,88.17,0.991,0.858
24,0.11473169800321367,0.0871,97.36,0.999,0.973,0.248,91.87,0.993,0.892
25,0.10544273883144381,0.0799,97.48,0.999,0.974,0.2665,90.7,0.993,0.878
26,0.10350095321120541,0.0659,97.81,0.999,0.978,0.1997,93.04,0.996,0.912
27,0.09776954038909846,0.0624,97.98,1.0,0.979,0.5067,86.2,0.987,0.829
28,0.09341626144999031,0.0623,98.02,1.0,0.98,0.2789,91.43,0.994,0.879
29,0.09098499158303851,0.0535,98.24,1.0,0.982,0.1784,94.03,0.996,0.918
30,0.08425472955149348,0.0726,97.65,0.999,0.976,0.3018,89.78,0.993,0.855
31,0.0806715960737892,0.0523,98.23,1.0,0.982,0.2711,90.83,0.994,0.882
32,0.07659279443924466,0.0602,98.17,1.0,0.981,0.3464,90.3,0.989,0.859
33,0.07261552125729594,0.0507,98.3,1.0,0.982,0.2792,91.05,0.992,0.874
34,0.06725132489563583,0.0513,98.38,1.0,0.983,0.2952,90.08,0.993,0.868
35,0.06463046949089749,0.0575,98.11,1.0,0.98,0.2461,91.58,0.995,0.888
36,0.06275295361702908,0.0445,98.47,1.0,0.985,0.31,90.95,0.992,0.876
37,0.05552652979930563,0.0421,98.58,1.0,0.986,0.2759,91.58,0.993,0.886
38,0.05479579052710939,0.0423,98.64,1.0,0.986,0.318,90.68,0.991,0.861
39,0.05049727125574024,0.038,98.8,1.0,0.988,0.3724,89.23,0.991,0.857
40,0.047730029146704406,0.0371,98.78,1.0,0.987,0.3086,91.44,0.992,0.889
41,0.04530723330541431,0.0346,98.86,1.0,0.988,0.3019,91.0,0.992,0.874
42,0.04269135984722325,0.0315,98.93,1.0,0.989,0.2805,91.44,0.993,0.877
43,0.04127386762463491,0.0314,98.93,1.0,0.989,0.2565,92.22,0.994,0.894
44,0.03923211413298777,0.0304,98.99,1.0,0.99,0.2889,91.69,0.993,0.88
45,0.03542634781189664,0.0285,99.04,1.0,0.99,0.2854,91.68,0.993,0.878
46,0.03399745868452187,0.029,99.06,1.0,0.99,0.3619,90.0,0.99,0.851
47,0.03264010822614087,0.0287,99.06,1.0,0.99,0.3652,89.93,0.991,0.852
48,0.03193624402766907,0.028,99.04,1.0,0.99,0.3502,90.24,0.991,0.858
49,0.03265718467313276,0.0282,99.08,1.0,0.99,0.3431,90.43,0.991,0.859
