epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4240537551782464,1.0439,58.36,0.902,0.556,2.5989,12.36,0.684,0.113
1,2.4168388623490555,1.1054,58.09,0.895,0.537,2.7162,14.23,0.627,0.126
2,1.2493941796723234,0.8672,67.26,0.936,0.66,3.4257,15.66,0.641,0.183
3,1.1026636602417115,0.8415,70.02,0.951,0.684,2.0158,32.54,0.776,0.349
4,0.9811646615198436,0.6911,78.27,0.969,0.77,2.6194,41.58,0.73,0.393
5,0.9061306261567659,1.2521,55.49,0.926,0.506,1.997,30.18,0.786,0.314
6,0.8213427058524556,0.4991,82.63,0.984,0.811,1.0408,64.05,0.891,0.596
7,0.7416323259419437,1.007,65.5,0.957,0.604,1.2792,49.31,0.915,0.477
8,0.6504637542377664,0.3889,86.3,0.988,0.863,0.6953,75.3,0.965,0.675
9,0.6342706844130511,0.4508,83.01,0.987,0.817,0.7054,73.98,0.962,0.666
10,0.5668642174145441,0.4018,85.66,0.987,0.856,0.6222,78.51,0.969,0.694
11,0.534628711106743,0.4023,86.23,0.987,0.859,0.7645,72.94,0.964,0.685
12,0.5299984731688081,0.3354,88.61,0.99,0.886,0.5793,78.3,0.974,0.74
13,0.4502468367497767,0.3107,89.22,0.991,0.89,0.4356,84.08,0.98,0.777
14,0.425555424477678,0.3037,89.88,0.992,0.896,0.4931,83.56,0.98,0.793
15,0.40071673501670146,0.2384,91.66,0.995,0.917,0.406,85.76,0.985,0.814
16,0.3942058648126313,0.2407,91.89,0.995,0.917,0.3638,86.66,0.987,0.824
17,0.37530771588178946,0.2458,91.7,0.994,0.915,0.3667,85.96,0.986,0.819
18,0.36401590838440856,0.411,85.65,0.989,0.85,0.7228,74.1,0.971,0.694
19,0.35293111854022546,0.2232,92.6,0.995,0.924,0.3758,86.31,0.988,0.817
20,0.33294190053818046,0.1973,93.34,0.996,0.931,0.3096,88.3,0.991,0.852
21,0.324220793515337,0.1862,93.86,0.996,0.938,0.293,89.18,0.991,0.859
22,0.3116824817192811,0.2604,91.48,0.994,0.91,0.3309,87.43,0.988,0.841
23,0.30064395929963783,0.1701,94.42,0.997,0.943,0.2676,90.05,0.991,0.87
24,0.2849217244293741,0.2837,90.51,0.995,0.906,0.4937,85.14,0.985,0.797
25,0.27493868518527265,0.167,94.41,0.997,0.943,0.2651,90.18,0.993,0.874
26,0.2658182645890875,0.1522,95.17,0.998,0.952,0.3188,88.62,0.99,0.848
27,0.2517598625205751,0.1373,95.72,0.998,0.956,0.245,91.14,0.994,0.88
28,0.2418456413786471,0.1464,95.32,0.998,0.952,0.3361,88.35,0.989,0.852
29,0.22828730043544565,0.1554,94.84,0.998,0.948,0.2781,90.72,0.993,0.878
30,0.2222661229124206,0.1463,95.36,0.998,0.953,0.3245,89.04,0.991,0.856
31,0.21295654972661354,0.1226,95.96,0.998,0.959,0.2846,89.67,0.994,0.866
32,0.19685855533220006,0.1313,95.72,0.998,0.956,0.2365,92.01,0.994,0.89
33,0.1864363914956489,0.1307,95.64,0.998,0.955,0.3381,89.33,0.991,0.863
34,0.17422836273908615,0.0976,96.9,0.999,0.969,0.308,91.36,0.992,0.882
35,0.16246838221079454,0.1003,96.85,0.999,0.968,0.2508,92.2,0.993,0.901
36,0.15435629324673752,0.0973,96.86,0.999,0.968,0.2908,91.13,0.993,0.891
37,0.1398173237226129,0.0899,97.05,0.999,0.97,0.325,89.77,0.992,0.871
38,0.12714507997429872,0.0921,96.89,0.999,0.969,0.2716,91.62,0.993,0.886
39,0.12369933689353607,0.0812,97.34,0.999,0.973,0.3148,90.04,0.991,0.879
40,0.10962251743542091,0.0792,97.37,0.999,0.974,0.2692,93.13,0.993,0.904
41,0.09745015490025709,0.069,97.69,0.999,0.977,0.3199,92.23,0.991,0.896
42,0.09129979443906616,0.0639,97.91,1.0,0.979,0.316,92.75,0.991,0.9
43,0.08104582297979557,0.0687,97.7,1.0,0.977,0.3171,92.29,0.991,0.896
44,0.07432429895045296,0.0514,98.26,1.0,0.982,0.293,92.18,0.992,0.896
45,0.06299468744245748,0.0566,98.22,1.0,0.982,0.3075,92.44,0.991,0.897
46,0.058325683921709066,0.0583,98.21,1.0,0.982,0.3106,92.69,0.992,0.9
47,0.05526956764473764,0.0498,98.46,1.0,0.984,0.2786,93.0,0.992,0.905
48,0.04677967055063147,0.0404,98.77,1.0,0.987,0.2676,93.3,0.992,0.91
49,0.03870827806479294,0.0377,98.85,1.0,0.988,0.288,92.37,0.991,0.897
