epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7370924806509394,2.1082,31.08,0.795,0.226,2.9054,16.19,0.678,0.113
1,2.4025910479620793,1.1851,53.62,0.889,0.476,1.2848,55.57,0.866,0.426
2,1.3768844828810742,1.0076,63.1,0.922,0.612,1.4606,49.5,0.811,0.42
3,1.0766045890187705,0.762,71.69,0.954,0.706,1.2294,51.98,0.892,0.508
4,0.7567211236791371,0.7217,74.93,0.961,0.735,1.0112,67.01,0.913,0.61
5,0.5470782109806615,1.1405,64.37,0.966,0.58,2.2316,47.53,0.906,0.395
6,0.43009545878377015,0.8106,86.11,0.976,0.858,1.126,69.76,0.925,0.638
7,0.37304839211445984,10.5167,81.46,0.886,0.796,3.1653,76.71,0.934,0.711
8,0.31717426893317996,0.419,86.23,0.99,0.862,1.0517,68.44,0.956,0.613
9,0.289723453582615,1.7452,87.37,0.943,0.869,0.9898,74.78,0.959,0.699
10,0.2570314187035766,0.2048,93.23,0.996,0.931,0.7801,76.33,0.964,0.725
11,0.2443352834618647,0.3295,88.63,0.994,0.883,0.9306,68.99,0.959,0.645
12,0.2243156422023064,0.1437,95.46,0.998,0.954,0.8493,74.15,0.964,0.701
13,0.21052654006094487,0.1221,96.23,0.998,0.961,0.3892,86.01,0.987,0.83
14,0.19903131288653206,0.5642,84.72,0.99,0.809,0.8612,72.48,0.966,0.704
15,0.1859515240569482,0.1479,95.19,0.998,0.95,0.4432,84.3,0.983,0.782
16,0.1789819042742466,0.16,94.81,0.998,0.947,0.7229,77.23,0.979,0.718
17,0.1713010318190073,0.1161,96.46,0.999,0.964,0.2984,88.58,0.99,0.831
18,0.15889730045445077,0.1394,95.19,0.998,0.948,0.6224,80.78,0.974,0.756
19,0.15098441753362882,0.6649,92.44,0.985,0.924,0.6113,82.19,0.971,0.765
20,0.14752802876321647,3.5772,85.72,0.924,0.836,1.1478,78.57,0.956,0.739
21,0.13707373191111832,0.1045,96.94,0.999,0.969,0.3756,89.33,0.986,0.852
22,0.1338834360735925,0.1183,96.39,0.999,0.964,0.4558,85.09,0.985,0.8
23,0.12540187939040123,0.1665,94.55,0.998,0.943,0.5965,82.88,0.981,0.805
24,0.11935157109866433,0.5354,92.92,0.985,0.928,0.4868,88.13,0.978,0.838
25,0.11107994435775664,0.1478,94.9,0.999,0.947,0.5346,83.93,0.984,0.81
26,0.10497086533215097,0.0854,97.18,0.999,0.971,0.2947,89.77,0.991,0.855
27,0.10280421543132019,0.4629,91.93,0.991,0.919,0.6436,86.42,0.975,0.819
28,0.09668892814600874,0.2485,93.59,0.996,0.936,0.3791,88.47,0.986,0.839
29,0.09338566962309101,0.2366,91.84,0.998,0.912,0.9272,74.23,0.972,0.72
30,0.08843930229865095,0.1818,96.65,0.997,0.967,0.5382,86.83,0.985,0.822
31,0.08084281328164282,0.0712,97.88,0.999,0.979,0.3598,88.36,0.99,0.841
32,0.07990411536828164,0.0658,97.75,1.0,0.977,0.5737,87.4,0.977,0.83
33,0.07606599045964124,0.0996,97.21,0.999,0.972,0.494,88.08,0.982,0.834
34,0.06786254571256725,0.0518,98.29,1.0,0.983,0.5055,86.52,0.984,0.819
35,0.06476572665342507,0.065,97.94,1.0,0.979,0.4347,88.02,0.983,0.83
36,0.06233705855291804,0.0895,97.08,0.999,0.969,0.7662,79.88,0.971,0.767
37,0.05768508973821838,0.0424,98.65,1.0,0.986,0.4599,87.72,0.983,0.831
38,0.05363865186857547,0.0411,98.62,1.0,0.986,0.4362,89.59,0.986,0.849
39,0.051018609141256645,0.1095,97.87,0.998,0.978,0.4981,87.6,0.986,0.841
40,0.048089091302192764,0.0402,98.7,1.0,0.987,0.3802,90.59,0.987,0.858
41,0.04419117338795175,0.0358,98.9,1.0,0.989,0.3751,90.7,0.988,0.864
42,0.042162688437341896,0.0407,98.64,1.0,0.986,0.428,90.23,0.984,0.854
43,0.04046720617340617,0.0355,98.88,1.0,0.989,0.3568,90.62,0.99,0.864
44,0.03785855813606185,0.0326,98.94,1.0,0.989,0.3868,90.21,0.988,0.862
45,0.034423026144437784,0.032,98.98,1.0,0.99,0.3848,90.23,0.989,0.861
46,0.03418481893717281,0.0329,98.99,1.0,0.99,0.4118,89.94,0.987,0.858
47,0.0326204111492495,0.0319,98.96,1.0,0.99,0.4138,89.88,0.987,0.854
48,0.03097050152819163,0.0316,98.98,1.0,0.99,0.4198,89.94,0.986,0.856
49,0.03279164297953515,0.0321,98.97,1.0,0.99,0.4063,90.04,0.987,0.857
