epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0771195432154563,1.9144,25.45,0.668,0.177,2.0682,26.5,0.64,0.153
1,2.523534047582282,2.0645,16.01,0.705,0.034,2.085,19.61,0.693,0.041
2,1.9648342283979086,1.5734,45.36,0.808,0.351,1.4656,48.38,0.805,0.322
3,1.6554065213433744,1.2042,54.44,0.88,0.503,1.3428,55.34,0.836,0.432
4,1.3481447517551974,1.1413,56.12,0.912,0.556,1.6304,40.61,0.844,0.419
5,1.0675412570001401,0.5986,78.37,0.97,0.776,0.7387,72.65,0.953,0.668
6,0.8612107920305461,0.4546,83.1,0.982,0.833,0.5048,79.41,0.968,0.726
7,0.7441071070370819,0.4641,83.16,0.982,0.825,0.6672,73.64,0.961,0.686
8,0.671295857600108,0.3995,85.87,0.986,0.857,0.5286,79.81,0.974,0.745
9,0.6205887657478585,0.35,87.36,0.989,0.872,0.4818,82.74,0.973,0.78
10,0.5665479180851222,0.4595,83.04,0.984,0.823,0.4728,84.32,0.973,0.773
11,0.5333291092797554,0.3812,85.98,0.988,0.856,0.6119,77.54,0.97,0.733
12,0.5006313878969557,0.3188,88.71,0.99,0.885,0.6319,79.33,0.966,0.74
13,0.4691918757819106,0.2868,90.03,0.991,0.9,0.5081,81.13,0.975,0.77
14,0.4483036355703589,0.2919,90.16,0.993,0.899,0.4838,82.31,0.983,0.78
15,0.4231012197534599,0.2574,91.2,0.993,0.911,0.4352,84.3,0.979,0.799
16,0.4082366815619904,0.2599,91.09,0.994,0.91,0.4579,83.18,0.981,0.802
17,0.3864548174074596,0.2159,92.63,0.995,0.926,0.3559,87.31,0.987,0.837
18,0.37579239742273934,0.2468,91.0,0.995,0.907,0.3283,87.86,0.988,0.836
19,0.36003918556599795,0.2038,93.05,0.996,0.931,0.4143,84.96,0.986,0.797
20,0.34382550676948054,0.2314,92.29,0.995,0.922,0.3653,87.3,0.984,0.826
21,0.3321265184015622,0.1984,93.16,0.996,0.931,0.3538,86.08,0.99,0.82
22,0.31405251301251924,0.1567,94.77,0.997,0.947,0.3869,86.51,0.986,0.826
23,0.30401246977406876,0.1534,94.97,0.998,0.949,0.2893,89.68,0.992,0.874
24,0.29428566595096284,0.1786,93.89,0.997,0.939,0.2657,90.57,0.992,0.87
25,0.28199722220678025,0.1373,95.49,0.998,0.954,0.3454,87.72,0.988,0.84
26,0.26912452877634113,0.1498,95.13,0.998,0.951,0.304,88.43,0.992,0.859
27,0.2655991792865431,0.1379,95.51,0.998,0.955,0.3714,87.03,0.989,0.828
28,0.24960370949587796,0.1171,96.24,0.998,0.962,0.2711,90.49,0.992,0.877
29,0.240875695907046,0.1362,95.44,0.998,0.954,0.3655,88.56,0.987,0.863
30,0.2357978917165178,0.1177,96.32,0.999,0.963,0.3063,89.39,0.99,0.862
31,0.22355919040752864,0.1105,96.33,0.999,0.963,0.3041,89.93,0.99,0.858
32,0.2147724408929591,0.1086,96.52,0.999,0.965,0.3111,88.67,0.99,0.851
33,0.2089593080347254,0.1002,96.72,0.999,0.967,0.2467,91.24,0.993,0.891
34,0.200857475399971,0.1104,96.37,0.999,0.963,0.2941,89.25,0.992,0.864
35,0.1940818928275424,0.0849,97.37,0.999,0.973,0.3132,89.9,0.99,0.868
36,0.18369184640337827,0.0899,96.97,0.999,0.969,0.334,88.87,0.99,0.857
37,0.17892940648979705,0.0748,97.62,0.999,0.976,0.3214,89.45,0.99,0.859
38,0.16721480347762593,0.0727,97.71,0.999,0.977,0.2764,90.87,0.992,0.881
39,0.16389051679528463,0.0762,97.43,0.999,0.974,0.3295,88.97,0.99,0.864
40,0.1605383359455572,0.0685,97.82,0.999,0.978,0.3663,88.0,0.989,0.854
41,0.14969295313271938,0.0688,97.77,0.999,0.977,0.2894,90.49,0.991,0.878
42,0.14659080518432935,0.0618,98.03,1.0,0.98,0.2745,91.25,0.992,0.889
43,0.13958954781107272,0.0611,98.04,1.0,0.98,0.2942,90.79,0.992,0.882
44,0.134223334038087,0.0596,98.07,1.0,0.98,0.2976,90.42,0.991,0.877
45,0.13132611816092551,0.0604,98.04,1.0,0.98,0.3434,89.83,0.99,0.87
46,0.1300733099043476,0.0585,98.14,1.0,0.981,0.3146,90.24,0.991,0.874
47,0.12551719650013077,0.0607,98.08,1.0,0.98,0.3282,89.77,0.991,0.87
48,0.12525329016455597,0.0571,98.14,1.0,0.981,0.3106,90.49,0.991,0.877
49,0.1250248412286766,0.0579,98.11,1.0,0.981,0.3063,90.49,0.991,0.878
