epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0864649929880668,1.9967,17.66,0.62,0.135,1.9032,33.27,0.726,0.235
1,2.326711903763501,1.7532,37.96,0.751,0.245,1.59,44.5,0.799,0.27
2,1.4138079613554009,0.8537,66.12,0.938,0.654,1.0845,61.16,0.916,0.525
3,0.9330145661121628,0.5547,78.87,0.974,0.782,0.5695,78.65,0.968,0.72
4,0.6295703594509419,0.5315,81.33,0.978,0.806,0.5532,78.57,0.973,0.744
5,0.5089691154738908,0.4194,83.39,0.987,0.832,0.4691,81.78,0.982,0.765
6,0.432375296576476,0.4075,85.64,0.987,0.853,0.5182,80.89,0.977,0.76
7,0.38989303624224064,0.3548,87.41,0.989,0.87,0.487,81.81,0.979,0.793
8,0.3515944998965041,0.3448,88.01,0.99,0.882,0.4073,85.16,0.981,0.809
9,0.3223568595758903,0.2259,92.18,0.995,0.922,0.3001,88.68,0.988,0.846
10,0.295463282281139,0.2411,92.04,0.994,0.921,0.3983,85.79,0.987,0.813
11,0.27997185659718343,0.2262,92.34,0.995,0.924,0.4255,84.59,0.982,0.804
12,0.26498502124381323,0.237,92.21,0.995,0.922,0.3704,86.93,0.988,0.829
13,0.2521166803321958,0.2417,91.91,0.995,0.918,0.3055,90.0,0.99,0.862
14,0.23543893587258127,0.1996,93.41,0.997,0.933,0.3138,88.96,0.991,0.846
15,0.22598214734572664,0.2369,91.67,0.996,0.914,0.3458,88.27,0.988,0.829
16,0.22020393336278563,0.1737,94.35,0.997,0.943,0.2881,89.4,0.989,0.868
17,0.21195064184646453,0.1685,94.54,0.997,0.945,0.3146,89.09,0.989,0.865
18,0.20284691846872743,0.191,93.78,0.997,0.937,0.3636,88.71,0.986,0.865
19,0.19658000962174493,0.1439,95.39,0.998,0.954,0.2725,90.98,0.989,0.879
20,0.18805013308601995,0.1518,95.02,0.998,0.95,0.2796,89.74,0.992,0.865
21,0.17990428003679468,0.2026,92.97,0.996,0.927,0.4053,84.41,0.984,0.822
22,0.17687495590244356,0.1677,94.48,0.997,0.944,0.3671,88.24,0.989,0.83
23,0.1701977759880084,0.1642,94.54,0.998,0.944,0.3556,87.75,0.989,0.84
24,0.16355999775471225,0.1438,95.45,0.998,0.954,0.3273,89.61,0.987,0.866
25,0.15771495417347944,0.1012,96.63,0.999,0.966,0.2594,90.92,0.992,0.875
26,0.149715600555302,0.1104,96.43,0.999,0.964,0.2379,91.33,0.992,0.887
27,0.1447310724352423,0.1152,95.99,0.999,0.96,0.2831,91.57,0.99,0.891
28,0.13844216614294008,0.0945,97.01,0.999,0.97,0.2595,90.83,0.991,0.877
29,0.13862771516846073,0.0965,96.67,0.999,0.967,0.2621,90.45,0.991,0.872
30,0.12672270969971747,0.1096,96.41,0.999,0.964,0.3761,88.33,0.986,0.849
31,0.12343029286979454,0.0886,97.19,0.999,0.972,0.2572,91.63,0.991,0.888
32,0.11698555492372069,0.0942,97.09,0.999,0.971,0.2814,90.6,0.99,0.872
33,0.1123510679417026,0.0803,97.35,0.999,0.973,0.2996,90.56,0.989,0.873
34,0.10304791715303202,0.0927,96.96,0.999,0.969,0.226,92.07,0.993,0.889
35,0.09703946951442935,0.0728,97.66,0.999,0.976,0.2592,91.44,0.991,0.881
36,0.09634893732379093,0.0745,97.66,0.999,0.976,0.2606,90.9,0.992,0.877
37,0.08924657220895466,0.0755,97.57,0.999,0.975,0.2671,91.19,0.991,0.877
38,0.08667278603240046,0.0732,97.75,0.999,0.977,0.285,91.09,0.991,0.877
39,0.07887528877785449,0.0583,98.1,1.0,0.981,0.2241,92.53,0.993,0.898
40,0.07643221584599345,0.0613,98.1,1.0,0.981,0.2544,92.17,0.993,0.89
41,0.07033156156940486,0.0578,98.13,1.0,0.981,0.2556,91.92,0.993,0.893
42,0.06717569824127902,0.0579,98.14,1.0,0.981,0.2521,91.66,0.993,0.886
43,0.06401663026722368,0.058,98.15,1.0,0.981,0.2229,92.26,0.994,0.892
44,0.062103465915487335,0.0562,98.15,1.0,0.981,0.2345,91.99,0.993,0.89
45,0.059486834102019825,0.0527,98.36,1.0,0.983,0.2469,92.09,0.993,0.892
46,0.05672765931274782,0.0518,98.43,1.0,0.984,0.2565,91.76,0.993,0.886
47,0.054579022595839154,0.0538,98.29,1.0,0.983,0.2394,92.15,0.994,0.893
48,0.05499351652686261,0.0519,98.35,1.0,0.983,0.2573,91.87,0.993,0.889
49,0.05495025637462789,0.0519,98.36,1.0,0.983,0.2493,92.1,0.993,0.891
