epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.100305456414445,1.9979,25.88,0.647,0.182,2.0531,25.5,0.704,0.2
1,2.294581482700977,1.9996,28.45,0.693,0.169,1.927,33.59,0.72,0.219
2,1.550385412990406,1.1144,56.9,0.904,0.548,1.0461,59.55,0.907,0.526
3,1.1592113843528173,1.0461,60.63,0.93,0.568,1.1171,64.05,0.923,0.545
4,0.8586940844426446,0.7067,74.12,0.961,0.734,0.6627,74.61,0.964,0.688
5,0.6888112802338856,0.5875,78.98,0.976,0.772,0.6454,76.2,0.972,0.705
6,0.5955937824689359,0.4533,83.8,0.982,0.835,0.513,80.78,0.975,0.771
7,0.5446805441785457,0.4349,84.38,0.984,0.844,0.5046,80.47,0.974,0.763
8,0.502664212738314,0.3892,85.88,0.986,0.857,0.4298,83.89,0.981,0.802
9,0.4753411790109023,0.3151,88.67,0.99,0.886,0.3543,87.45,0.984,0.828
10,0.44328009323834516,0.3154,88.81,0.99,0.888,0.3552,86.17,0.984,0.826
11,0.41841925592512214,0.2857,89.81,0.992,0.897,0.3569,86.74,0.985,0.819
12,0.3974201805008355,0.2888,90.35,0.992,0.903,0.4431,83.04,0.981,0.8
13,0.3734525862720705,0.2807,89.92,0.992,0.898,0.3093,88.36,0.987,0.849
14,0.3473585918812769,0.2195,92.66,0.995,0.927,0.3294,87.42,0.985,0.841
15,0.3270993149675776,0.2644,90.74,0.994,0.904,0.2843,90.43,0.989,0.859
16,0.31030031389767126,0.2383,91.98,0.994,0.92,0.3538,86.14,0.987,0.831
17,0.298025502993535,0.2081,92.94,0.996,0.929,0.3517,87.37,0.986,0.841
18,0.2792434085120437,0.2506,91.83,0.995,0.918,0.4299,85.05,0.986,0.812
19,0.2710191543784834,0.1948,93.58,0.996,0.936,0.3514,87.26,0.987,0.834
20,0.262656407023523,0.1663,94.5,0.997,0.945,0.3237,88.71,0.988,0.856
21,0.24850755326423166,0.2238,92.65,0.996,0.925,0.4292,86.17,0.988,0.802
22,0.23688616743811997,0.1759,94.27,0.997,0.943,0.3215,88.08,0.989,0.833
23,0.22742705888325168,0.1637,94.5,0.997,0.945,0.2978,89.47,0.99,0.842
24,0.22034283010389216,0.183,93.8,0.997,0.938,0.335,87.97,0.99,0.838
25,0.21141585642238245,0.1848,93.87,0.997,0.94,0.3694,89.01,0.988,0.85
26,0.20193266419954198,0.1453,95.09,0.998,0.95,0.2489,90.4,0.993,0.874
27,0.1982330649984353,0.222,92.56,0.996,0.924,0.4484,85.16,0.985,0.827
28,0.18968057769974928,0.1457,95.24,0.998,0.953,0.4061,87.78,0.989,0.833
29,0.18198034590557485,0.151,94.95,0.998,0.949,0.3057,88.57,0.992,0.839
30,0.17552893213580587,0.141,95.24,0.998,0.952,0.307,89.59,0.992,0.845
31,0.1633276070424733,0.1183,96.13,0.998,0.961,0.2543,91.27,0.992,0.879
32,0.1611827636157633,0.1112,96.53,0.999,0.965,0.31,90.1,0.989,0.867
33,0.15161543091138205,0.1049,96.57,0.999,0.966,0.2864,90.24,0.99,0.866
34,0.1450246291228413,0.1057,96.5,0.999,0.965,0.3046,89.7,0.991,0.858
35,0.13772460529213523,0.1029,96.59,0.999,0.966,0.2541,91.5,0.991,0.887
36,0.1333941812877373,0.1019,96.54,0.999,0.966,0.2255,91.95,0.993,0.888
37,0.12442494067947604,0.0866,97.19,0.999,0.972,0.264,91.35,0.992,0.885
38,0.12174296405460137,0.0971,96.82,0.999,0.968,0.3458,88.85,0.99,0.85
39,0.11350756320821982,0.0853,97.18,0.999,0.971,0.2625,90.48,0.992,0.872
40,0.11033411709905526,0.0819,97.24,0.999,0.972,0.2756,91.28,0.991,0.884
41,0.1040179733133551,0.0747,97.7,0.999,0.977,0.305,90.13,0.992,0.871
42,0.09740031253559829,0.0761,97.47,0.999,0.974,0.3091,89.88,0.991,0.866
43,0.09435370663935352,0.0741,97.63,0.999,0.976,0.273,91.08,0.992,0.88
44,0.09357542768921903,0.0679,97.81,0.999,0.978,0.2722,90.68,0.992,0.874
45,0.08801347712608969,0.067,97.85,0.999,0.978,0.2648,91.24,0.993,0.88
46,0.08722206127352505,0.0622,98.0,1.0,0.98,0.2747,90.92,0.992,0.878
47,0.08323075948783787,0.0641,97.96,1.0,0.979,0.2763,90.76,0.993,0.876
48,0.08368654702005635,0.0648,97.91,1.0,0.979,0.2774,90.89,0.992,0.877
49,0.08190938519934814,0.0628,97.91,1.0,0.979,0.2738,91.06,0.992,0.879
