epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7774926554344888,4.7272,25.62,0.558,0.19,5.6791,14.51,0.607,0.093
1,2.498186838669589,1.5573,39.7,0.819,0.313,1.8002,33.79,0.717,0.216
2,1.471033750469112,0.9896,62.35,0.924,0.578,1.0574,56.86,0.88,0.467
3,1.119139810082733,0.7141,75.21,0.96,0.74,0.8115,69.15,0.926,0.582
4,0.7833416833672472,0.4198,86.17,0.984,0.86,0.8268,71.5,0.931,0.648
5,0.5784021709982212,1.5021,80.64,0.932,0.793,0.7448,74.69,0.955,0.673
6,0.4590518449476543,0.2797,90.65,0.994,0.904,0.7092,80.1,0.939,0.723
7,0.4003605680493471,0.4062,86.5,0.987,0.863,0.7513,75.21,0.946,0.701
8,0.3473182012957911,0.2066,93.11,0.996,0.929,0.5068,84.0,0.972,0.767
9,0.3088330099339126,0.4269,86.46,0.99,0.859,1.5629,62.66,0.913,0.578
10,0.2831271724194609,0.1758,94.11,0.997,0.94,0.3885,87.07,0.986,0.813
11,0.266708831953746,0.1465,95.19,0.998,0.951,0.3613,88.22,0.985,0.823
12,0.2511002804189386,0.1519,94.84,0.998,0.949,0.515,83.06,0.975,0.777
13,0.23296631807227716,0.1392,95.75,0.998,0.957,0.3639,87.12,0.987,0.822
14,0.22387059959566294,0.1307,95.9,0.998,0.958,0.4131,87.21,0.986,0.805
15,0.21125521610981673,0.1937,93.28,0.997,0.93,0.4031,87.54,0.979,0.803
16,0.20458631031882807,0.1076,96.67,0.999,0.967,0.2697,89.93,0.992,0.851
17,0.19342036561299397,0.115,96.37,0.999,0.963,0.3405,88.03,0.988,0.837
18,0.18302093216595255,0.1341,95.67,0.998,0.956,0.3008,91.3,0.991,0.879
19,0.17557020120883501,0.105,96.64,0.999,0.966,0.2923,90.64,0.991,0.87
20,0.1705128636451498,0.0931,97.1,0.999,0.97,0.3777,89.03,0.981,0.837
21,0.15809044142430614,0.0865,97.31,0.999,0.973,0.2942,89.77,0.989,0.85
22,0.1539284844605726,0.092,97.16,0.999,0.971,0.32,89.18,0.989,0.85
23,0.14568199722036237,0.1087,96.61,0.999,0.965,0.4107,88.32,0.989,0.846
24,0.1383471662198664,0.0879,97.31,0.999,0.972,0.3018,89.06,0.992,0.853
25,0.133123711362401,0.0778,97.5,0.999,0.975,0.253,91.44,0.992,0.879
26,0.12686194756525607,0.0785,97.55,0.999,0.975,0.3121,89.93,0.992,0.864
27,0.11738565949369288,0.1154,96.21,0.999,0.961,0.3816,87.59,0.987,0.828
28,0.11335973956665578,0.0734,97.62,0.999,0.976,0.3034,89.94,0.989,0.851
29,0.10597271679510031,0.0992,96.81,0.999,0.967,0.4773,86.45,0.985,0.826
30,0.10238774304067896,0.0684,97.78,1.0,0.978,0.2928,90.59,0.991,0.855
31,0.0946619954447539,0.0723,97.74,0.999,0.977,0.3317,89.07,0.991,0.848
32,0.08866844127141607,0.0722,97.62,0.999,0.975,0.2702,91.63,0.991,0.879
33,0.0856382221878109,0.0778,97.46,0.999,0.975,0.496,88.76,0.969,0.841
34,0.0780204306590274,0.0522,98.43,1.0,0.984,0.2205,92.75,0.994,0.891
35,0.07687431603075943,0.0654,97.99,1.0,0.98,0.3077,90.59,0.989,0.859
36,0.07170336052948963,0.0483,98.56,1.0,0.985,0.2862,91.44,0.991,0.873
37,0.06453488561187914,0.0513,98.31,1.0,0.983,0.2748,91.13,0.992,0.871
38,0.06066862421817944,0.043,98.66,1.0,0.986,0.241,92.52,0.993,0.891
39,0.05779623464217216,0.0481,98.42,1.0,0.984,0.2779,90.84,0.992,0.87
40,0.05442987189972005,0.04,98.71,1.0,0.987,0.3567,90.49,0.987,0.863
41,0.050467262026189584,0.0398,98.74,1.0,0.987,0.2507,92.74,0.994,0.896
42,0.04642831098862446,0.0389,98.78,1.0,0.988,0.2247,93.32,0.994,0.899
43,0.04413034223307151,0.0348,98.94,1.0,0.989,0.2384,93.18,0.993,0.895
44,0.0438568679695969,0.0357,98.87,1.0,0.989,0.2402,93.43,0.993,0.897
45,0.03840582187063858,0.0325,98.97,1.0,0.99,0.2709,92.52,0.993,0.89
46,0.03753538976680474,0.0328,98.97,1.0,0.99,0.2243,93.18,0.995,0.903
47,0.0368187717766264,0.0327,98.96,1.0,0.99,0.2434,92.78,0.994,0.895
48,0.03524243187052482,0.0322,98.94,1.0,0.989,0.2429,92.64,0.994,0.894
49,0.03574810826843838,0.0329,98.97,1.0,0.99,0.2416,92.91,0.994,0.898
