epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9063528853078042,1.3588,49.67,0.871,0.455,1.8566,23.65,0.749,0.232
1,2.31466263959912,1.7878,45.56,0.815,0.339,1.826,26.62,0.748,0.206
2,1.7630616699922896,2.0511,41.87,0.815,0.363,1.8326,29.02,0.758,0.282
3,1.3558324400242083,1.0984,60.65,0.907,0.583,1.3619,54.13,0.863,0.481
4,1.0758875038034172,0.934,63.28,0.941,0.625,1.357,58.93,0.88,0.525
5,0.7541211302455608,0.8443,68.53,0.955,0.67,1.2023,61.25,0.906,0.569
6,0.5593960763198927,0.358,87.74,0.988,0.874,0.7756,74.78,0.952,0.691
7,0.4713543308197811,0.3664,87.68,0.99,0.874,0.7959,74.74,0.955,0.693
8,0.3809182392867235,0.2173,92.66,0.996,0.924,0.5252,82.09,0.973,0.775
9,0.33131254699388285,0.2043,93.19,0.996,0.932,0.4277,86.07,0.982,0.819
10,0.2960467898290217,0.2588,90.61,0.996,0.908,0.5339,82.47,0.976,0.769
11,0.27846233664234055,0.1652,94.6,0.997,0.946,0.376,88.62,0.987,0.853
12,0.25846986512663545,0.1828,93.93,0.997,0.938,0.4147,86.67,0.987,0.823
13,0.24476613414116657,6.8836,83.93,0.887,0.808,1.3006,83.72,0.967,0.806
14,0.22988002410819453,0.1915,94.1,0.997,0.94,0.4029,86.74,0.984,0.831
15,0.2144002188464433,0.2434,91.56,0.997,0.91,0.338,89.34,0.989,0.823
16,0.20834563579076507,0.1302,95.93,0.998,0.959,0.2906,89.53,0.99,0.852
17,0.19885730802158302,0.1315,95.66,0.998,0.956,0.3318,89.72,0.988,0.86
18,0.19097339500102303,0.143,95.33,0.998,0.953,0.3714,87.21,0.987,0.825
19,0.1852246904512033,0.1118,96.37,0.999,0.964,0.3166,88.92,0.989,0.858
20,0.17538243729127137,0.1,96.89,0.999,0.968,0.365,87.13,0.988,0.841
21,0.16882215160542705,0.1375,95.3,0.999,0.953,0.2653,90.35,0.994,0.87
22,0.1617563578657352,0.0963,96.95,0.999,0.969,0.3665,87.95,0.987,0.823
23,0.14946093270054428,0.1112,96.37,0.999,0.963,0.2969,89.44,0.991,0.861
24,0.1474296405150365,0.1279,96.66,0.998,0.966,0.1858,93.43,0.995,0.911
25,0.1420330916895234,0.0981,96.86,0.999,0.969,0.2248,92.45,0.994,0.894
26,0.13612235564484818,0.0915,96.98,0.999,0.969,0.1925,93.38,0.995,0.905
27,0.12849587224103431,0.0771,97.57,0.999,0.976,0.1747,93.79,0.996,0.916
28,0.12413890137734379,0.0692,97.87,0.999,0.979,0.2994,90.54,0.993,0.865
29,0.12044778676523317,0.0674,97.86,0.999,0.978,0.2601,90.38,0.994,0.876
30,0.11311829415914405,0.0608,98.05,1.0,0.98,0.1806,93.83,0.997,0.918
31,0.10774147702467805,0.0768,97.49,0.999,0.974,0.2926,90.84,0.992,0.876
32,0.10240219201305113,0.0643,97.91,1.0,0.979,0.2203,92.31,0.995,0.89
33,0.09885399910791587,0.0573,98.21,1.0,0.982,0.2415,91.92,0.994,0.892
34,0.09048489691509355,0.0547,98.26,1.0,0.982,0.1965,93.64,0.996,0.91
35,0.0891584636373145,0.0551,98.21,1.0,0.982,0.1644,94.0,0.997,0.919
36,0.08459203959339195,0.0531,98.27,1.0,0.982,0.191,93.24,0.996,0.9
37,0.0770036692757787,0.0444,98.57,1.0,0.985,0.1766,94.16,0.996,0.92
38,0.07147063189570034,0.0444,98.6,1.0,0.986,0.1968,93.13,0.996,0.91
39,0.06925305744840039,0.042,98.64,1.0,0.986,0.1637,94.3,0.997,0.923
40,0.06467368085050829,0.0436,98.56,1.0,0.985,0.2193,92.63,0.996,0.898
41,0.06322343771656354,0.0397,98.75,1.0,0.987,0.2052,92.91,0.997,0.902
42,0.05943266497624497,0.0367,98.85,1.0,0.988,0.1629,94.46,0.997,0.923
43,0.056687220438687284,0.0363,98.85,1.0,0.988,0.1666,94.35,0.997,0.921
44,0.05570234053544566,0.0338,98.89,1.0,0.989,0.1882,93.54,0.996,0.907
45,0.05170539263836158,0.0327,98.94,1.0,0.989,0.1667,94.33,0.997,0.92
46,0.050434944081357194,0.0324,98.97,1.0,0.989,0.1742,94.38,0.997,0.922
47,0.05085932513645526,0.0333,98.89,1.0,0.989,0.1715,94.43,0.997,0.923
48,0.0474401742493647,0.0324,98.93,1.0,0.989,0.1806,94.24,0.997,0.921
49,0.04858496852926776,0.0322,98.98,1.0,0.99,0.1805,94.14,0.997,0.919
