epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0992871475903363,2.1419,14.39,0.464,0.072,2.186,15.08,0.543,0.076
1,2.5182973048165707,2.0234,15.47,0.616,0.049,2.0942,9.41,0.61,0.036
2,1.8854859768276147,1.5891,37.37,0.785,0.341,1.5247,37.47,0.781,0.272
3,1.5314295804628761,1.3062,49.75,0.869,0.482,1.3639,51.57,0.868,0.471
4,1.2530380563283052,0.8408,69.2,0.938,0.691,0.9513,65.61,0.925,0.588
5,1.0780836908834381,0.9823,61.95,0.939,0.603,1.1671,57.62,0.918,0.518
6,0.9408275114379049,0.7238,72.7,0.961,0.72,1.0359,65.78,0.923,0.599
7,0.8075579808604333,0.5355,79.82,0.976,0.799,0.6114,77.33,0.96,0.733
8,0.7045879905582756,0.4948,82.29,0.979,0.811,0.6767,76.38,0.965,0.707
9,0.644166159159821,0.35,87.5,0.988,0.877,0.4825,82.17,0.976,0.778
10,0.5880198469085078,0.4401,83.58,0.983,0.836,0.467,82.08,0.978,0.784
11,0.5515546680671767,0.433,83.95,0.988,0.833,0.5916,80.48,0.968,0.753
12,0.5145769964195921,0.404,85.85,0.986,0.858,0.5852,79.03,0.973,0.738
13,0.47752091176407313,0.4063,85.6,0.986,0.851,0.3828,85.92,0.982,0.805
14,0.4499477462903146,0.2619,90.65,0.993,0.907,0.3662,86.1,0.986,0.805
15,0.42741701487571965,0.3434,88.05,0.992,0.873,0.3722,87.16,0.987,0.812
16,0.4072752857988026,0.2398,91.97,0.994,0.92,0.3765,85.32,0.987,0.814
17,0.39076780495784613,0.293,89.89,0.993,0.898,0.4776,82.52,0.981,0.798
18,0.37263971505733373,0.2333,92.28,0.995,0.922,0.3815,85.36,0.985,0.814
19,0.3601976140639261,0.2433,91.51,0.995,0.914,0.4395,83.81,0.983,0.771
20,0.3443238768579712,0.193,93.39,0.996,0.934,0.323,88.22,0.988,0.847
21,0.33215476692684237,0.2258,92.23,0.995,0.922,0.3053,87.95,0.989,0.851
22,0.3209863774291503,0.1769,93.95,0.997,0.94,0.3341,88.6,0.988,0.852
23,0.3129531331760909,0.1621,94.51,0.997,0.945,0.2621,89.91,0.991,0.862
24,0.30188393328459034,0.1643,94.6,0.997,0.946,0.2427,90.84,0.992,0.871
25,0.2938304175238883,0.1658,94.41,0.997,0.944,0.2861,89.97,0.992,0.867
26,0.2834256167079599,0.1483,95.01,0.998,0.95,0.2584,90.43,0.992,0.862
27,0.27170073947331813,0.1825,93.7,0.997,0.936,0.3736,87.64,0.984,0.835
28,0.2647607386192327,0.1379,95.43,0.998,0.954,0.2595,90.49,0.992,0.868
29,0.25984006516608715,0.1521,94.97,0.997,0.949,0.2872,89.25,0.989,0.849
30,0.2492486456789637,0.1446,95.09,0.998,0.951,0.2811,89.56,0.99,0.86
31,0.2419626479668002,0.1321,95.51,0.998,0.955,0.3024,89.09,0.989,0.858
32,0.23159990388913393,0.1368,95.36,0.998,0.953,0.2728,90.87,0.991,0.87
33,0.22581310982825936,0.1226,96.02,0.998,0.96,0.2866,90.07,0.99,0.871
34,0.21318382975448416,0.1588,94.62,0.998,0.944,0.2894,89.56,0.992,0.861
35,0.2058337089809252,0.1097,96.38,0.999,0.964,0.1972,92.89,0.994,0.9
36,0.2009890499160922,0.1393,95.43,0.998,0.953,0.2674,90.73,0.991,0.877
37,0.19014842379637945,0.1314,95.59,0.999,0.956,0.2425,91.47,0.992,0.882
38,0.1863776933949267,0.1066,96.35,0.999,0.963,0.3185,88.93,0.989,0.847
39,0.18263002890279004,0.104,96.55,0.999,0.965,0.3533,88.65,0.987,0.844
40,0.17274303477938457,0.1137,96.15,0.999,0.961,0.3011,89.89,0.991,0.864
41,0.16465960087181206,0.0818,97.24,0.999,0.972,0.2781,91.17,0.991,0.88
42,0.16147456379560587,0.081,97.36,0.999,0.974,0.2311,92.28,0.993,0.892
43,0.15773365394909963,0.0817,97.28,0.999,0.973,0.2734,91.14,0.991,0.877
44,0.1495891321637404,0.076,97.43,0.999,0.974,0.2684,91.69,0.991,0.884
45,0.14361838467659488,0.0717,97.56,0.999,0.976,0.2564,91.76,0.992,0.885
46,0.14304497283232467,0.071,97.66,0.999,0.977,0.2391,92.23,0.992,0.888
47,0.14093464042150206,0.0688,97.79,0.999,0.978,0.2615,91.76,0.992,0.884
48,0.13965215411130671,0.0688,97.75,0.999,0.977,0.2637,91.68,0.992,0.883
49,0.13646295865643837,0.069,97.73,0.999,0.977,0.2628,91.76,0.992,0.884
