epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.108879881520425,2.1156,20.83,0.493,0.094,2.0831,23.45,0.58,0.093
1,2.4202444673011807,2.0629,16.86,0.562,0.061,2.1038,15.62,0.509,0.071
2,1.987687625124463,1.8461,29.23,0.676,0.228,1.906,24.63,0.656,0.173
3,1.760969540551572,1.5696,36.01,0.791,0.343,1.594,45.44,0.833,0.384
4,1.401082337116255,0.96,63.55,0.923,0.639,0.9852,66.32,0.919,0.608
5,1.0824515349548778,0.7018,72.22,0.96,0.71,0.8299,67.5,0.954,0.608
6,0.8813238060602577,0.6176,77.32,0.971,0.755,0.7468,74.45,0.96,0.697
7,0.7787980161687379,0.578,78.34,0.973,0.778,0.5755,78.15,0.972,0.739
8,0.7016500708877399,0.4428,83.66,0.983,0.834,0.534,80.61,0.973,0.757
9,0.6532832332836684,0.385,85.45,0.986,0.851,0.4359,83.59,0.978,0.784
10,0.6056953617321548,0.3765,85.93,0.987,0.862,0.4168,83.14,0.979,0.797
11,0.5716314833330852,0.3687,86.28,0.989,0.86,0.4644,82.99,0.979,0.777
12,0.5494191236927518,0.4214,85.38,0.985,0.856,0.6511,76.95,0.968,0.731
13,0.5196254346853516,0.415,85.48,0.989,0.848,0.5717,81.62,0.974,0.746
14,0.4996950737998477,0.26,90.61,0.993,0.907,0.4126,83.64,0.982,0.796
15,0.4803155189560306,0.3271,87.79,0.992,0.87,0.4018,85.73,0.984,0.794
16,0.46668559232706663,0.2687,90.67,0.993,0.907,0.4195,84.73,0.982,0.815
17,0.45060867044447145,0.3377,88.15,0.991,0.879,0.4433,83.25,0.98,0.796
18,0.4352648548488121,0.2693,90.6,0.994,0.905,0.3621,86.44,0.984,0.826
19,0.41872870732486034,0.2759,90.81,0.994,0.908,0.5285,81.65,0.977,0.76
20,0.4042768237785199,0.2014,93.31,0.996,0.933,0.4127,85.88,0.983,0.819
21,0.3912532375224175,0.2162,92.78,0.995,0.928,0.3219,88.05,0.986,0.844
22,0.38339542645600533,0.2199,92.44,0.995,0.923,0.5048,83.5,0.978,0.786
23,0.3684285497259496,0.1896,93.64,0.996,0.937,0.3869,86.22,0.985,0.814
24,0.3614945047164476,0.2268,92.63,0.995,0.925,0.3061,89.52,0.988,0.851
25,0.3511772812694632,0.2009,93.44,0.996,0.933,0.3197,88.9,0.989,0.851
26,0.339204693112963,0.1743,94.13,0.997,0.941,0.3303,88.44,0.987,0.842
27,0.3264441713423712,0.2311,91.92,0.995,0.918,0.3566,87.18,0.988,0.822
28,0.3201338664818836,0.1581,94.77,0.997,0.948,0.3324,88.76,0.987,0.848
29,0.3176391467078185,0.1951,93.47,0.997,0.933,0.3776,86.78,0.984,0.828
30,0.3026798396074216,0.1627,94.63,0.997,0.946,0.4682,84.54,0.98,0.803
31,0.2918839608202271,0.1334,95.62,0.998,0.956,0.388,87.7,0.984,0.847
32,0.2814796603014392,0.16,94.5,0.997,0.945,0.3115,89.7,0.988,0.856
33,0.2750531118830472,0.1443,95.28,0.998,0.952,0.4699,85.8,0.981,0.825
34,0.26241499485988773,0.1617,94.53,0.998,0.944,0.2982,89.39,0.99,0.85
35,0.25504566335176054,0.1343,95.55,0.998,0.955,0.3214,90.02,0.988,0.859
36,0.2501943828304395,0.136,95.54,0.998,0.955,0.321,89.83,0.988,0.869
37,0.23902787257479938,0.1131,96.18,0.999,0.962,0.2675,90.81,0.99,0.874
38,0.23564673496884256,0.1268,95.64,0.999,0.956,0.3033,89.26,0.989,0.847
39,0.22580959203262482,0.1079,96.36,0.999,0.963,0.3486,88.95,0.987,0.852
40,0.2176429032745327,0.1101,96.38,0.999,0.963,0.4202,86.75,0.985,0.831
41,0.21552822275561243,0.0963,96.88,0.999,0.968,0.3298,89.53,0.988,0.86
42,0.20521493044458197,0.0914,97.06,0.999,0.97,0.3025,90.51,0.99,0.87
43,0.19925579088189269,0.0954,96.83,0.999,0.968,0.3288,89.33,0.989,0.857
44,0.19488132523379445,0.093,96.96,0.999,0.969,0.3139,89.94,0.988,0.863
45,0.18547182650335373,0.0899,97.03,0.999,0.97,0.321,89.29,0.99,0.853
46,0.187311650056886,0.0866,97.1,0.999,0.971,0.3218,89.42,0.99,0.853
47,0.18617845158423146,0.0865,97.13,0.999,0.971,0.3366,89.22,0.989,0.853
48,0.18121900968921228,0.0847,97.25,0.999,0.972,0.3343,89.39,0.989,0.855
49,0.18468317705937612,0.0859,97.2,0.999,0.972,0.3445,89.15,0.988,0.853
