epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.108338677327693,2.1166,17.51,0.522,0.101,2.1846,14.42,0.553,0.069
1,2.476793619894212,2.0408,13.88,0.6,0.07,2.0336,23.86,0.627,0.159
2,1.9077728832921674,1.8142,28.54,0.728,0.245,1.7557,39.43,0.752,0.266
3,1.6620056272407586,1.46,42.56,0.829,0.367,1.3695,49.44,0.85,0.416
4,1.2853739128104247,1.0681,60.59,0.938,0.602,1.0911,64.47,0.948,0.606
5,0.9184536241715954,0.5923,78.21,0.974,0.781,0.456,82.44,0.977,0.781
6,0.7378709507992618,0.4933,81.36,0.979,0.809,0.5349,81.56,0.969,0.753
7,0.6294556770700708,0.463,83.04,0.982,0.831,0.5504,78.71,0.974,0.785
8,0.5648909836046158,0.3693,87.08,0.988,0.872,0.4436,83.88,0.982,0.783
9,0.51996929719243,0.2861,89.8,0.991,0.899,0.3743,85.79,0.982,0.817
10,0.4798820764360462,0.3045,89.08,0.991,0.89,0.4834,81.89,0.978,0.789
11,0.45207998028365515,0.3233,88.21,0.993,0.877,0.4179,84.73,0.983,0.786
12,0.42839112236935606,0.2582,91.45,0.993,0.915,0.4565,83.1,0.981,0.802
13,0.40374809930828737,0.2779,90.49,0.995,0.902,0.3836,85.93,0.986,0.807
14,0.3857034407155488,0.2291,91.97,0.995,0.919,0.454,83.06,0.985,0.783
15,0.36888068057196116,0.2574,90.89,0.994,0.908,0.3988,85.52,0.983,0.8
16,0.3578136678130823,0.2306,92.61,0.995,0.926,0.445,84.7,0.984,0.811
17,0.3458305244003573,0.2112,92.85,0.996,0.928,0.3194,88.02,0.988,0.835
18,0.33249207321674595,0.2041,92.94,0.996,0.927,0.4405,84.53,0.981,0.814
19,0.3217415602136684,0.2021,93.07,0.997,0.93,0.402,85.47,0.988,0.794
20,0.31082531382533385,0.1667,94.31,0.997,0.944,0.4025,85.69,0.984,0.823
21,0.3017900903912855,0.2189,92.41,0.997,0.921,0.3541,87.13,0.988,0.82
22,0.2931845418868526,0.155,94.93,0.997,0.949,0.3217,88.62,0.989,0.846
23,0.28200722216064356,0.1488,95.16,0.998,0.952,0.361,88.39,0.987,0.844
24,0.27557576789544047,0.146,95.24,0.998,0.952,0.3051,89.25,0.989,0.859
25,0.26905479836260976,0.1377,95.5,0.998,0.955,0.3685,87.64,0.991,0.835
26,0.25734752500730174,0.1479,95.17,0.998,0.951,0.3127,89.01,0.99,0.861
27,0.2445503795873307,0.1198,96.18,0.999,0.961,0.2869,90.08,0.99,0.863
28,0.24215724511492637,0.1418,95.35,0.998,0.953,0.3759,87.57,0.988,0.827
29,0.23487070630100892,0.0982,96.71,0.999,0.967,0.3272,89.47,0.99,0.856
30,0.2252925500060068,0.1164,96.21,0.999,0.962,0.5095,84.59,0.981,0.813
31,0.21946791704997795,0.0939,97.04,0.999,0.97,0.3067,90.32,0.989,0.873
32,0.21063652853598305,0.1011,96.54,0.999,0.965,0.3255,90.26,0.989,0.868
33,0.20514854669944788,0.1008,96.66,0.999,0.966,0.316,89.97,0.988,0.87
34,0.1942503378996926,0.0931,96.94,0.999,0.968,0.3693,87.94,0.989,0.844
35,0.18662705391939183,0.0893,97.13,0.999,0.971,0.3177,89.58,0.99,0.864
36,0.1803340168943542,0.0776,97.49,0.999,0.975,0.325,91.54,0.988,0.885
37,0.17189193451543436,0.0858,97.06,0.999,0.97,0.2784,91.03,0.991,0.882
38,0.1670534037000176,0.0876,97.11,0.999,0.971,0.3513,89.36,0.989,0.853
39,0.16130165006685002,0.0672,97.86,0.999,0.978,0.2996,90.89,0.99,0.875
40,0.1539666356392018,0.0713,97.7,0.999,0.977,0.3243,90.83,0.99,0.875
41,0.14861875594890672,0.0664,97.93,0.999,0.979,0.3912,89.58,0.986,0.868
42,0.14500343950471997,0.0588,98.1,1.0,0.981,0.2916,91.63,0.991,0.887
43,0.14049001134878633,0.0619,98.05,1.0,0.98,0.3102,91.43,0.99,0.883
44,0.13490392381866131,0.0579,98.12,1.0,0.981,0.327,91.02,0.989,0.88
45,0.12695165331004768,0.0594,98.05,1.0,0.98,0.315,91.14,0.991,0.881
46,0.12928143302879988,0.0538,98.24,1.0,0.982,0.3112,91.68,0.99,0.885
47,0.12683963768291004,0.0546,98.18,1.0,0.982,0.3318,90.84,0.99,0.876
48,0.12322322484172588,0.0538,98.22,1.0,0.982,0.3344,91.11,0.99,0.88
49,0.124367197735175,0.0537,98.28,1.0,0.983,0.3304,91.09,0.99,0.88
