epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.097031909505099,2.0636,19.57,0.622,0.127,2.1163,23.5,0.618,0.158
1,2.4138141255224905,2.1952,13.86,0.667,0.058,2.1165,12.65,0.697,0.084
2,1.7185873105107243,3.3303,34.03,0.754,0.298,1.8127,36.76,0.774,0.282
3,1.1176038444255842,1.2952,72.52,0.959,0.72,0.7831,70.65,0.948,0.624
4,0.7274969497355082,1.0542,82.42,0.979,0.813,0.6004,76.99,0.971,0.713
5,0.5575837277703815,0.3808,85.94,0.987,0.858,0.5167,79.93,0.976,0.755
6,0.466046789213748,0.4454,83.86,0.985,0.837,0.5195,80.5,0.981,0.745
7,0.41949226525628863,0.3329,87.88,0.99,0.877,0.4504,81.92,0.982,0.798
8,0.37642583769068494,0.2853,89.67,0.993,0.896,0.3678,86.22,0.986,0.813
9,0.3445766530797473,0.2358,92.03,0.994,0.92,0.3452,87.26,0.987,0.834
10,0.31724116825715615,0.2838,90.36,0.993,0.902,0.4285,84.1,0.983,0.806
11,0.2962982134900213,0.1953,93.56,0.996,0.935,0.3406,88.16,0.986,0.845
12,0.27875915968183124,0.2031,93.3,0.996,0.932,0.3717,86.09,0.984,0.826
13,0.26185145785891883,0.2494,91.22,0.996,0.907,0.2797,90.23,0.99,0.848
14,0.2506434014434242,0.1542,94.99,0.997,0.95,0.2917,89.33,0.99,0.852
15,0.2356367182106741,0.1901,93.5,0.997,0.934,0.2903,88.99,0.99,0.844
16,0.22977576499611246,0.2048,93.11,0.996,0.929,0.4001,85.47,0.985,0.824
17,0.2205995285890222,0.1999,93.6,0.997,0.936,0.3352,87.92,0.987,0.846
18,0.21030923088605258,0.1579,94.89,0.998,0.948,0.2974,89.12,0.99,0.856
19,0.20337301644907202,0.1379,95.53,0.998,0.954,0.2606,90.27,0.991,0.871
20,0.19695196472989615,0.1527,94.99,0.998,0.949,0.3205,90.23,0.989,0.869
21,0.18719564700051874,0.1156,96.3,0.998,0.963,0.2431,91.47,0.993,0.893
22,0.1832252470476012,0.1157,96.42,0.998,0.964,0.3212,88.77,0.989,0.854
23,0.17490597505215888,0.1336,95.48,0.998,0.955,0.366,87.75,0.987,0.849
24,0.17039804461021577,0.143,95.14,0.998,0.951,0.3049,89.04,0.987,0.847
25,0.16280472422799758,0.1224,96.05,0.998,0.96,0.3213,90.12,0.99,0.866
26,0.15729008447445636,0.0996,96.75,0.999,0.967,0.303,90.48,0.99,0.87
27,0.15224471442588342,0.1196,96.03,0.998,0.96,0.3413,89.55,0.989,0.873
28,0.1438900386867878,0.0846,97.33,0.999,0.973,0.2666,91.14,0.992,0.875
29,0.1404120284383015,0.0846,97.33,0.999,0.973,0.2689,91.33,0.992,0.883
30,0.1331174224481574,0.0929,97.13,0.999,0.971,0.3711,88.46,0.987,0.845
31,0.12764093821941738,0.0775,97.55,0.999,0.975,0.2769,91.17,0.991,0.878
32,0.12162293198328185,0.0803,97.53,0.999,0.975,0.2377,92.28,0.993,0.892
33,0.11399527589079514,0.0875,97.24,0.999,0.972,0.3572,89.99,0.988,0.862
34,0.11074795664411612,0.0919,97.06,0.999,0.97,0.2885,91.08,0.992,0.875
35,0.10515479844624318,0.0634,98.04,0.999,0.98,0.2704,91.66,0.991,0.885
36,0.09964764794154514,0.0664,97.92,0.999,0.979,0.2632,91.93,0.992,0.889
37,0.09547236689289625,0.0748,97.58,1.0,0.976,0.2573,91.98,0.992,0.888
38,0.08985169997645749,0.0858,97.24,0.999,0.972,0.2671,91.24,0.992,0.883
39,0.0850146372642328,0.0567,98.22,1.0,0.982,0.3235,91.55,0.99,0.886
40,0.08102526727189246,0.0536,98.34,1.0,0.983,0.3689,90.6,0.989,0.873
41,0.07701315846641324,0.0563,98.26,1.0,0.982,0.2874,91.8,0.992,0.893
42,0.07322990706717883,0.0518,98.48,1.0,0.985,0.2635,92.78,0.993,0.902
43,0.06834082700158586,0.0507,98.46,1.0,0.984,0.258,92.63,0.992,0.898
44,0.06837514128142093,0.0498,98.47,1.0,0.984,0.2589,92.52,0.993,0.897
45,0.06404083218312018,0.0479,98.57,1.0,0.986,0.2475,93.12,0.993,0.904
46,0.0648932002374642,0.0463,98.62,1.0,0.986,0.2673,92.34,0.993,0.895
47,0.06185458236003435,0.047,98.62,1.0,0.986,0.2669,92.44,0.993,0.897
48,0.0601759095255646,0.0461,98.66,1.0,0.986,0.2661,92.42,0.993,0.897
49,0.05777963051091759,0.046,98.64,1.0,0.986,0.2658,92.42,0.993,0.896
