epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.80255328647552,1.2809,49.18,0.87,0.468,1.6698,27.16,0.778,0.244
1,2.187774545402937,1.2217,49.39,0.883,0.387,1.3972,43.88,0.825,0.328
2,1.3142400851813696,1.4845,53.53,0.874,0.503,1.163,58.96,0.889,0.478
3,1.2635631439506367,1.0377,61.66,0.93,0.597,0.9264,67.99,0.931,0.571
4,0.7663326766008117,0.4896,82.04,0.981,0.815,0.6889,77.25,0.958,0.681
5,0.5491547172748914,0.3406,88.41,0.99,0.881,0.5028,80.81,0.976,0.771
6,0.4347576047944766,0.3906,85.95,0.991,0.852,0.451,84.67,0.978,0.776
7,0.37466372912716267,0.2429,92.16,0.995,0.92,0.4117,85.36,0.987,0.832
8,0.32114620908667535,0.2177,92.96,0.996,0.928,0.3407,87.83,0.99,0.839
9,0.29078725234047914,0.1986,93.42,0.996,0.934,0.3216,88.52,0.989,0.842
10,0.2599085984371042,0.1746,93.95,0.997,0.94,0.2993,89.03,0.99,0.86
11,0.24572636440770174,0.1352,95.72,0.998,0.957,0.2582,90.95,0.992,0.882
12,0.22927550944135822,0.1185,96.4,0.998,0.963,0.3142,89.44,0.989,0.852
13,0.2133810895638654,0.1252,95.87,0.998,0.958,0.2296,91.41,0.992,0.88
14,0.20360211284971366,0.127,95.84,0.999,0.958,0.3089,89.31,0.991,0.846
15,0.1924969029602825,0.1797,93.5,0.998,0.933,0.2399,91.2,0.995,0.86
16,0.18822931155135128,0.1829,94.39,0.998,0.944,0.3015,89.14,0.992,0.862
17,0.17710601637894322,0.1322,95.85,0.999,0.958,0.3534,88.22,0.992,0.836
18,0.1704167911656014,0.1036,96.62,0.999,0.966,0.3444,87.95,0.992,0.84
19,0.16380692468989494,0.1056,96.79,0.999,0.967,0.3572,86.69,0.986,0.841
20,0.16106338552649943,0.1104,96.43,0.999,0.964,0.3558,88.57,0.99,0.845
21,0.15123151746782137,0.1991,93.63,0.998,0.928,0.3015,90.07,0.991,0.877
22,0.1473421020713705,0.096,97.16,0.999,0.971,0.2656,91.14,0.99,0.883
23,0.13943654515757142,0.0895,96.95,0.999,0.969,0.238,91.95,0.995,0.893
24,0.13431966140545826,0.0809,97.51,0.999,0.975,0.2272,92.04,0.994,0.886
25,0.12768587805864845,0.0962,96.95,0.999,0.969,0.3043,89.85,0.991,0.858
26,0.12452769994495376,0.0846,97.23,0.999,0.972,0.2786,91.02,0.993,0.878
27,0.11981670996741689,0.0719,97.6,0.999,0.976,0.1767,93.3,0.996,0.908
28,0.11551371780240835,0.0724,97.67,0.999,0.977,0.2709,90.53,0.994,0.872
29,0.10981454538334975,0.0637,97.91,1.0,0.979,0.2135,92.74,0.996,0.904
30,0.10318370847078207,0.0638,97.95,1.0,0.979,0.2363,92.12,0.996,0.902
31,0.09654722939242065,0.0866,97.14,0.999,0.969,0.3406,90.62,0.992,0.881
32,0.09551357006567353,0.0593,98.11,1.0,0.981,0.2041,92.88,0.995,0.89
33,0.09295128901091848,0.0601,98.03,1.0,0.98,0.1988,92.82,0.996,0.902
34,0.08485468380540395,0.0577,98.07,1.0,0.98,0.1939,93.53,0.996,0.914
35,0.08109174192445787,0.0603,98.07,1.0,0.98,0.2725,91.28,0.995,0.897
36,0.07773128793137582,0.0501,98.36,1.0,0.983,0.1827,94.54,0.996,0.926
37,0.07354695041326799,0.0486,98.44,1.0,0.984,0.2091,94.13,0.995,0.921
38,0.0694792269558836,0.0607,98.06,1.0,0.98,0.2634,92.04,0.995,0.888
39,0.06577653854945174,0.0451,98.55,1.0,0.985,0.2297,92.83,0.995,0.899
40,0.06377450712392353,0.0471,98.48,1.0,0.985,0.2325,92.78,0.995,0.903
41,0.05944986504212182,0.039,98.78,1.0,0.988,0.1857,94.24,0.997,0.921
42,0.05792270780384113,0.0375,98.79,1.0,0.988,0.2135,93.86,0.995,0.917
43,0.05356062405432264,0.0384,98.74,1.0,0.987,0.2031,93.26,0.996,0.904
44,0.05287636619054555,0.0365,98.86,1.0,0.988,0.2247,92.75,0.996,0.899
45,0.048607534907531245,0.035,98.88,1.0,0.989,0.1995,93.7,0.996,0.914
46,0.04765536498418579,0.034,98.94,1.0,0.989,0.2011,93.92,0.996,0.916
47,0.04569797991778314,0.0348,98.9,1.0,0.989,0.2001,93.6,0.996,0.911
48,0.04408736407629959,0.0342,98.95,1.0,0.989,0.2254,93.12,0.996,0.903
49,0.04418458691948364,0.034,98.92,1.0,0.989,0.2166,93.32,0.996,0.907
