epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4155606443736715,0.9541,62.73,0.925,0.608,2.1735,28.56,0.712,0.248
1,1.8255418421547045,0.8559,66.78,0.941,0.626,2.6615,17.99,0.635,0.139
2,1.1556993192028402,0.66,75.09,0.963,0.743,3.1732,14.2,0.68,0.164
3,1.0581006733533729,1.8887,54.69,0.902,0.478,3.6456,10.14,0.686,0.118
4,0.9063147246623979,0.626,76.78,0.97,0.757,2.2755,26.69,0.808,0.292
5,0.7661694999129969,1.2085,57.01,0.933,0.539,2.0914,37.93,0.83,0.292
6,0.6597899266628808,0.7012,75.57,0.977,0.753,1.493,59.12,0.895,0.508
7,0.5917548718845546,0.5275,81.66,0.984,0.809,0.9324,71.58,0.948,0.633
8,0.5239918062256442,0.5678,79.96,0.982,0.791,0.7749,74.51,0.956,0.689
9,0.49979824260357886,0.4321,85.46,0.989,0.846,0.6274,78.62,0.968,0.721
10,0.44752572299278337,0.4053,86.75,0.988,0.864,0.5167,81.86,0.98,0.777
11,0.4207632823323157,0.6404,79.38,0.983,0.76,0.8922,68.31,0.957,0.675
12,0.4241784277261906,0.2608,91.01,0.993,0.911,0.3619,86.28,0.986,0.81
13,0.37441049974852353,0.3429,88.12,0.992,0.876,0.3646,85.93,0.989,0.81
14,0.37587212227738886,0.3148,89.06,0.993,0.888,0.4887,81.71,0.983,0.776
15,0.3602166202213068,0.2342,91.83,0.995,0.917,0.3139,88.19,0.99,0.842
16,0.35441586907993083,0.2259,92.37,0.995,0.923,0.2602,89.8,0.992,0.853
17,0.34684238355860486,0.2196,92.36,0.995,0.923,0.3228,87.9,0.987,0.831
18,0.33146471213082046,0.2399,91.93,0.995,0.917,0.3728,85.55,0.986,0.816
19,0.3183295866908459,0.2075,93.04,0.996,0.93,0.3755,85.66,0.984,0.823
20,0.3067094179998589,0.2247,92.43,0.996,0.924,0.3474,87.18,0.985,0.837
21,0.2938660236549527,0.17,94.27,0.997,0.943,0.2327,91.32,0.992,0.879
22,0.28844094062791503,0.1946,93.69,0.996,0.936,0.314,88.8,0.988,0.85
23,0.274960580225166,0.1541,94.86,0.998,0.949,0.2444,91.05,0.992,0.88
24,0.2628491804751444,0.165,94.56,0.997,0.946,0.3231,88.5,0.991,0.842
25,0.2586688552332181,0.1763,94.53,0.997,0.944,0.269,89.99,0.991,0.864
26,0.2505372854810889,0.1698,94.34,0.997,0.943,0.2899,89.06,0.99,0.855
27,0.23460397082898352,0.1704,94.46,0.997,0.944,0.3138,88.68,0.991,0.842
28,0.22640932022884327,0.1825,93.62,0.998,0.935,0.3476,88.13,0.989,0.827
29,0.21535501033601795,0.1431,95.16,0.998,0.951,0.3093,89.78,0.991,0.851
30,0.20724866740859538,0.1172,96.05,0.999,0.961,0.2697,90.86,0.991,0.871
31,0.19647231093844847,0.125,95.88,0.998,0.959,0.2412,91.32,0.993,0.878
32,0.18688094549174805,0.1455,95.33,0.998,0.953,0.2596,90.92,0.993,0.869
33,0.1782001232641572,0.1018,96.57,0.999,0.965,0.261,90.48,0.992,0.867
34,0.16681557623369078,0.0905,96.95,0.999,0.969,0.2285,91.98,0.993,0.887
35,0.15839209142191116,0.0898,97.17,0.999,0.971,0.2303,92.74,0.993,0.899
36,0.14595981284401857,0.0791,97.56,0.999,0.975,0.2159,92.74,0.993,0.898
37,0.13851111596550353,0.0801,97.33,0.999,0.973,0.2589,91.22,0.993,0.872
38,0.12220799218609556,0.0713,97.66,0.999,0.976,0.2045,92.74,0.994,0.894
39,0.11553470518166287,0.0632,97.98,1.0,0.979,0.2131,92.52,0.994,0.894
40,0.10728524316529539,0.0642,97.93,1.0,0.979,0.2409,92.25,0.993,0.888
41,0.09379897026785759,0.0543,98.18,1.0,0.981,0.2188,92.72,0.994,0.894
42,0.08597574015832289,0.0483,98.43,1.0,0.984,0.2253,92.88,0.994,0.896
43,0.07677253074176263,0.0492,98.36,1.0,0.983,0.2309,92.53,0.994,0.89
44,0.0696945487217824,0.0429,98.59,1.0,0.986,0.232,92.75,0.994,0.895
45,0.060578665260465875,0.0424,98.6,1.0,0.986,0.2237,93.42,0.994,0.905
46,0.05663810249110918,0.0435,98.65,1.0,0.986,0.2094,93.35,0.995,0.903
47,0.05112378258011087,0.0403,98.74,1.0,0.987,0.2271,93.1,0.994,0.899
48,0.044257509415321666,0.0387,98.81,1.0,0.988,0.2411,93.1,0.994,0.899
49,0.036139296222558265,0.0381,98.8,1.0,0.988,0.2437,93.0,0.994,0.898
