epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.091989848776103,2.1426,14.85,0.551,0.101,2.115,25.12,0.687,0.16
1,2.684151288856315,2.0133,19.13,0.596,0.119,2.0455,9.73,0.625,0.035
2,1.8927552005723385,1.5342,41.27,0.808,0.351,1.5006,39.25,0.808,0.276
3,1.5555529079556893,1.8106,37.2,0.783,0.344,1.4687,43.09,0.842,0.429
4,1.3054877436289223,0.9549,63.67,0.932,0.614,0.9674,61.23,0.93,0.543
5,1.115686616269491,1.2636,53.99,0.909,0.501,1.3207,54.1,0.888,0.495
6,0.9583321075926545,0.8494,68.03,0.948,0.661,1.0982,63.03,0.921,0.549
7,0.8331493232198941,0.6425,75.81,0.964,0.751,0.7961,70.57,0.948,0.637
8,0.7195904727584572,0.5073,81.62,0.978,0.811,0.6746,76.36,0.961,0.705
9,0.6342734909185799,0.4072,85.72,0.985,0.855,0.5191,80.45,0.972,0.753
10,0.5868891544346314,0.46,84.0,0.981,0.841,0.5094,81.67,0.973,0.768
11,0.5473256942191859,0.3448,87.9,0.989,0.878,0.4239,83.51,0.98,0.792
12,0.5087692532488095,0.3471,87.53,0.989,0.876,0.5577,79.33,0.975,0.748
13,0.48072449777502313,0.342,87.15,0.99,0.866,0.418,84.24,0.981,0.787
14,0.4569702892427376,0.3431,88.02,0.99,0.881,0.5073,80.4,0.976,0.766
15,0.4364270426893747,0.3877,85.79,0.991,0.84,0.3933,86.25,0.984,0.779
16,0.42047339255878147,0.293,90.05,0.991,0.901,0.3656,85.52,0.985,0.819
17,0.39984399026867307,0.2957,89.59,0.993,0.896,0.3791,85.43,0.985,0.806
18,0.38098086843994783,0.2363,91.92,0.994,0.919,0.306,88.49,0.988,0.844
19,0.36434946446863126,0.2296,92.2,0.995,0.921,0.3061,88.2,0.988,0.843
20,0.35042519611056133,0.2477,91.27,0.994,0.913,0.35,86.82,0.987,0.82
21,0.33414344038266863,0.2464,91.28,0.994,0.912,0.2773,89.82,0.989,0.855
22,0.31816009151679214,0.2578,91.32,0.993,0.913,0.3755,86.52,0.986,0.823
23,0.30576266118702494,0.2303,92.0,0.995,0.921,0.2794,89.26,0.99,0.848
24,0.2969461640736963,0.21,92.95,0.996,0.929,0.242,91.16,0.991,0.873
25,0.28451432982012365,0.222,92.58,0.995,0.925,0.2871,88.69,0.99,0.847
26,0.2737120557776702,0.1848,93.66,0.997,0.936,0.2419,90.37,0.993,0.864
27,0.26697331012683956,0.1769,93.99,0.997,0.941,0.236,91.08,0.993,0.883
28,0.2529400239655194,0.1621,94.66,0.997,0.947,0.254,90.76,0.99,0.873
29,0.24798083207887134,0.154,95.03,0.997,0.95,0.2197,91.47,0.994,0.878
30,0.23559086525472261,0.1471,95.17,0.998,0.951,0.2395,91.11,0.992,0.871
31,0.22753700481787806,0.1467,95.12,0.998,0.95,0.2591,90.62,0.993,0.872
32,0.2151823826134205,0.1623,94.64,0.997,0.946,0.2323,91.35,0.993,0.879
33,0.2090292107113587,0.149,95.0,0.998,0.95,0.2858,89.28,0.99,0.853
34,0.20163549864698055,0.1293,95.55,0.998,0.955,0.2322,91.38,0.995,0.878
35,0.1888098301746512,0.1292,95.83,0.998,0.958,0.2415,90.89,0.992,0.874
36,0.1862649935895183,0.1138,96.46,0.998,0.965,0.2283,91.32,0.993,0.877
37,0.17690356624543027,0.1154,96.16,0.999,0.962,0.2703,90.15,0.992,0.856
38,0.16981669404547275,0.1109,96.33,0.999,0.963,0.2874,89.58,0.991,0.856
39,0.16270036758407683,0.0931,96.99,0.999,0.97,0.2676,90.67,0.992,0.87
40,0.15480505029493977,0.093,97.05,0.999,0.97,0.2184,92.33,0.993,0.891
41,0.15101699908280672,0.0914,97.02,0.999,0.97,0.2137,92.34,0.994,0.893
42,0.1439728192904944,0.086,97.17,0.999,0.972,0.2261,92.07,0.993,0.886
43,0.13855096056229538,0.0963,96.85,0.999,0.968,0.2369,91.66,0.993,0.884
44,0.1336335013870911,0.0839,97.27,0.999,0.973,0.2438,91.73,0.992,0.881
45,0.1313383831545764,0.083,97.35,0.999,0.973,0.2298,92.2,0.993,0.89
46,0.1288733388026876,0.0808,97.4,0.999,0.974,0.2344,91.9,0.993,0.886
47,0.12508935571437882,0.0825,97.36,0.999,0.973,0.2196,92.25,0.994,0.89
48,0.12508493797072479,0.0805,97.46,0.999,0.974,0.2278,92.25,0.994,0.89
49,0.12437465115981076,0.0806,97.46,0.999,0.974,0.2303,92.01,0.993,0.887
