epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0709468882570983,2.0387,17.46,0.607,0.129,2.0639,23.89,0.657,0.167
1,2.547814441838145,2.0292,15.81,0.651,0.054,2.2715,9.66,0.601,0.034
2,1.8616065086002418,1.7066,32.03,0.761,0.27,1.4924,39.52,0.795,0.326
3,1.4787638689454738,1.2783,49.12,0.886,0.451,1.3196,52.53,0.875,0.423
4,1.051836868981734,0.6024,77.31,0.97,0.763,0.6273,75.15,0.967,0.691
5,0.7577246185592426,0.5432,78.92,0.975,0.789,0.6551,76.01,0.97,0.708
6,0.6020028365235175,0.5011,81.41,0.98,0.807,0.5325,78.97,0.975,0.768
7,0.5334135146551234,0.4228,84.31,0.984,0.841,0.4003,84.6,0.983,0.8
8,0.4851122782115013,0.3194,88.85,0.99,0.886,0.3855,85.02,0.982,0.8
9,0.4384441979790247,0.2953,89.63,0.991,0.897,0.302,87.62,0.989,0.837
10,0.4082364687515843,0.3162,89.1,0.991,0.889,0.3537,86.82,0.987,0.838
11,0.3832722795479614,0.2511,91.47,0.994,0.915,0.3131,87.72,0.988,0.839
12,0.3620526949244161,0.2465,91.66,0.994,0.917,0.3632,85.96,0.986,0.825
13,0.3443906819948586,0.2564,90.89,0.994,0.907,0.2794,89.4,0.989,0.85
14,0.32198626700267996,0.2489,91.28,0.995,0.912,0.4032,85.24,0.983,0.804
15,0.31100882437600885,0.267,90.47,0.994,0.901,0.3119,88.99,0.989,0.83
16,0.30133183417995346,0.1889,93.78,0.997,0.938,0.3772,87.4,0.989,0.829
17,0.28883147610878857,0.23,91.99,0.996,0.92,0.2926,88.22,0.988,0.835
18,0.2738987649774252,0.1817,93.96,0.997,0.939,0.3033,88.44,0.99,0.846
19,0.2633872677214898,0.1459,95.38,0.998,0.953,0.3374,87.98,0.989,0.848
20,0.2529779296755577,0.1974,93.22,0.997,0.932,0.3912,86.89,0.988,0.831
21,0.24612478845115204,0.1725,94.1,0.997,0.939,0.3388,87.73,0.989,0.843
22,0.23671216067714504,0.1702,94.26,0.997,0.944,0.3446,88.02,0.989,0.837
23,0.2257621752291811,0.1445,95.24,0.998,0.952,0.2629,90.7,0.992,0.873
24,0.2231528909216004,0.1563,94.61,0.997,0.946,0.1812,92.82,0.994,0.902
25,0.20796566656840745,0.1327,95.56,0.998,0.955,0.2465,91.3,0.992,0.882
26,0.2060071794469724,0.1218,96.06,0.998,0.961,0.2699,90.3,0.992,0.869
27,0.19906485118773035,0.1289,95.73,0.998,0.957,0.1908,92.8,0.995,0.907
28,0.18760607342859964,0.1229,96.03,0.998,0.96,0.2387,91.65,0.993,0.886
29,0.18689884706049836,0.1022,96.66,0.999,0.966,0.2589,90.48,0.99,0.862
30,0.1767521469610139,0.1087,96.39,0.999,0.964,0.2284,91.92,0.993,0.889
31,0.17078111962311798,0.102,96.65,0.999,0.966,0.2433,91.47,0.992,0.883
32,0.16464923839602205,0.1134,96.27,0.999,0.963,0.2086,92.77,0.993,0.892
33,0.1558521834125335,0.1242,96.06,0.998,0.96,0.3983,87.34,0.988,0.851
34,0.14933958407291162,0.085,97.19,0.999,0.972,0.1669,93.6,0.996,0.913
35,0.14175933284357883,0.0869,97.14,0.999,0.971,0.2131,92.22,0.994,0.896
36,0.13413809321980963,0.1026,96.56,0.999,0.965,0.2828,91.09,0.991,0.885
37,0.1313498068907996,0.077,97.56,0.999,0.975,0.2002,93.32,0.994,0.908
38,0.1253345815137723,0.0731,97.63,0.999,0.976,0.2282,92.75,0.993,0.903
39,0.11804858365473354,0.0693,97.82,0.999,0.978,0.1748,94.11,0.995,0.92
40,0.1157997920858844,0.0687,97.99,0.999,0.98,0.2318,93.16,0.993,0.906
41,0.10902059267485334,0.0655,98.04,0.999,0.98,0.2156,93.37,0.994,0.91
42,0.10520411985108502,0.06,98.13,1.0,0.981,0.1972,93.43,0.995,0.91
43,0.10235226944783256,0.0634,98.02,1.0,0.98,0.1846,93.92,0.995,0.918
44,0.09613878700855492,0.0611,98.09,1.0,0.981,0.1939,93.62,0.995,0.915
45,0.09601677733884063,0.059,98.17,1.0,0.982,0.1916,93.65,0.995,0.916
46,0.09472219512120263,0.0553,98.27,1.0,0.983,0.191,93.7,0.995,0.914
47,0.09055525442004524,0.057,98.23,1.0,0.982,0.1839,93.87,0.995,0.916
48,0.08980542588578437,0.0555,98.29,1.0,0.983,0.1951,93.67,0.995,0.913
49,0.09082920700778992,0.0549,98.33,1.0,0.983,0.1927,93.68,0.995,0.914
