epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.086531155425588,2.1369,14.93,0.532,0.09,2.0997,26.84,0.623,0.178
1,2.549593795157675,1.7962,23.57,0.685,0.151,1.7196,37.44,0.735,0.197
2,1.7769722972719473,1.7295,33.13,0.785,0.264,1.4932,41.88,0.801,0.294
3,1.5010743247992677,1.2771,51.53,0.881,0.489,1.1999,55.22,0.873,0.443
4,1.1507319284596325,0.8125,69.12,0.946,0.687,0.849,66.37,0.939,0.602
5,0.8996862257466949,0.7011,73.98,0.959,0.738,0.7215,72.26,0.948,0.656
6,0.7457655183303313,0.5523,78.57,0.974,0.766,0.5361,79.14,0.971,0.738
7,0.6513731018723553,0.4561,83.95,0.982,0.84,0.4887,82.54,0.979,0.786
8,0.579024622410429,0.3945,86.07,0.986,0.855,0.4945,80.94,0.977,0.751
9,0.5274034126471447,0.3361,88.78,0.99,0.888,0.3358,87.02,0.986,0.839
10,0.49279570675665335,0.305,89.44,0.991,0.895,0.3947,84.45,0.983,0.796
11,0.4701456679131395,0.3078,89.29,0.991,0.891,0.3483,86.22,0.987,0.824
12,0.4425360378558918,0.4364,84.63,0.985,0.846,0.6628,74.45,0.968,0.681
13,0.4188609469855558,0.2791,90.37,0.993,0.902,0.2673,90.18,0.991,0.86
14,0.39872439288430744,0.2782,90.32,0.992,0.902,0.2946,88.76,0.989,0.855
15,0.3760134861353905,0.3247,88.42,0.992,0.877,0.2845,89.5,0.99,0.84
16,0.36467525397684414,0.235,92.12,0.994,0.921,0.3042,87.76,0.988,0.834
17,0.3534024225607995,0.2184,92.46,0.996,0.923,0.2821,88.95,0.99,0.836
18,0.33564061839734355,0.1898,93.65,0.996,0.937,0.2677,90.19,0.992,0.864
19,0.3165772155621573,0.2418,92.08,0.996,0.914,0.3209,87.83,0.99,0.844
20,0.30668202154738927,0.2053,93.42,0.996,0.934,0.3996,87.02,0.985,0.816
21,0.29462136226742924,0.2153,92.73,0.996,0.928,0.3368,88.17,0.991,0.839
22,0.2805545920753137,0.1759,94.2,0.997,0.942,0.2745,89.59,0.991,0.854
23,0.27100451978250645,0.1642,94.34,0.997,0.944,0.3429,87.53,0.987,0.83
24,0.2590172814612534,0.1957,93.23,0.996,0.932,0.3086,88.9,0.988,0.865
25,0.2517585821556575,0.1405,95.03,0.998,0.951,0.2534,90.54,0.991,0.864
26,0.24540083354679487,0.1704,93.99,0.998,0.939,0.2313,91.33,0.993,0.868
27,0.23052554020798335,0.1511,94.98,0.998,0.95,0.2356,91.17,0.992,0.883
28,0.22456721865361737,0.1495,95.17,0.998,0.951,0.28,90.78,0.991,0.876
29,0.21731162680092678,0.122,96.0,0.999,0.96,0.2808,89.47,0.993,0.854
30,0.21144711873811206,0.1679,94.32,0.997,0.941,0.364,87.07,0.987,0.85
31,0.19989704000212813,0.118,95.95,0.998,0.96,0.2218,91.84,0.994,0.89
32,0.19685901442415826,0.1109,96.34,0.999,0.963,0.2571,90.12,0.994,0.875
33,0.18646382264071895,0.1178,96.13,0.998,0.96,0.3071,89.82,0.989,0.869
34,0.17892969290869423,0.0998,96.75,0.999,0.967,0.2434,91.36,0.993,0.887
35,0.171026879581072,0.0944,97.01,0.999,0.969,0.2262,92.04,0.993,0.892
36,0.16486199198818122,0.0877,97.01,0.999,0.97,0.2134,92.58,0.993,0.901
37,0.1582706768239271,0.0862,97.11,0.999,0.971,0.237,91.62,0.993,0.889
38,0.14837013430038876,0.094,97.0,0.999,0.97,0.2083,92.74,0.995,0.904
39,0.1457188651433021,0.0822,97.34,0.999,0.973,0.2009,92.96,0.994,0.907
40,0.1370389195406095,0.0738,97.74,0.999,0.977,0.2521,91.95,0.993,0.89
41,0.13342382952464096,0.0772,97.6,0.999,0.975,0.2223,92.72,0.994,0.907
42,0.12842292716479645,0.0699,97.7,0.999,0.977,0.2078,93.1,0.994,0.909
43,0.11941562915107362,0.0647,97.96,0.999,0.979,0.2036,93.05,0.994,0.908
44,0.11752404901449398,0.063,98.0,0.999,0.98,0.213,92.78,0.994,0.902
45,0.1148202566623581,0.0603,98.04,1.0,0.98,0.1985,93.38,0.995,0.912
46,0.11285606355115932,0.0593,98.17,1.0,0.981,0.2201,92.78,0.994,0.904
47,0.11162664515957717,0.0581,98.14,1.0,0.981,0.205,93.15,0.995,0.908
48,0.10955805848202398,0.0581,98.19,1.0,0.982,0.2084,93.07,0.995,0.908
49,0.10779225555879454,0.0577,98.22,1.0,0.982,0.2137,93.07,0.994,0.908
