epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4590701700111444,1.2433,50.77,0.899,0.468,2.1156,28.41,0.788,0.275
1,1.6676720667056286,1.1276,56.87,0.895,0.522,1.309,49.96,0.873,0.379
2,1.5942001289364258,1.1437,54.3,0.892,0.522,1.2116,55.65,0.882,0.479
3,1.2596746028324182,2.2705,37.5,0.83,0.307,2.8623,34.36,0.807,0.323
4,0.7066259119779833,0.5272,80.91,0.98,0.804,0.7869,72.56,0.961,0.7
5,0.44607108791348754,0.3858,86.58,0.988,0.862,0.8325,72.05,0.952,0.686
6,0.33499113077758463,0.3248,88.98,0.992,0.888,0.649,76.28,0.974,0.73
7,0.28402859078032566,0.2278,92.95,0.995,0.929,0.6002,78.87,0.976,0.748
8,0.24444404550190468,0.167,94.69,0.997,0.946,0.5276,82.95,0.978,0.795
9,0.2224920987682317,0.2158,92.79,0.996,0.928,0.5337,82.9,0.977,0.803
10,0.20683132535293966,0.1415,95.38,0.998,0.954,0.3636,87.94,0.985,0.853
11,0.18826626533622381,0.1319,95.76,0.998,0.957,0.4684,84.49,0.981,0.81
12,0.1759571160213174,0.1429,95.52,0.998,0.955,0.4861,84.19,0.982,0.811
13,0.16651497686475408,0.1191,96.37,0.998,0.963,0.3336,88.58,0.986,0.852
14,0.15803593843107155,0.1216,96.17,0.998,0.962,0.3407,88.47,0.987,0.846
15,0.15192283801467402,0.1344,95.68,0.998,0.956,0.3859,87.42,0.983,0.836
16,0.14893258843691118,0.1226,96.15,0.998,0.962,0.3178,89.29,0.986,0.864
17,0.13673043286754988,0.1011,96.81,0.999,0.968,0.3858,86.93,0.988,0.827
18,0.13604423457816725,0.1332,95.71,0.998,0.957,0.5134,81.73,0.981,0.781
19,0.13194337374393872,0.2878,93.55,0.993,0.935,0.4284,86.63,0.986,0.816
20,0.1281365025488119,0.0986,96.82,0.999,0.968,0.3255,87.94,0.99,0.846
21,0.11881764185377881,0.3127,88.25,0.996,0.864,0.7295,75.18,0.972,0.742
22,0.11806409850743295,0.0934,97.06,0.999,0.97,0.301,89.91,0.99,0.86
23,0.11260960394630082,0.0845,97.38,0.999,0.974,0.4267,86.28,0.981,0.835
24,0.10487655235127309,0.0912,97.4,0.999,0.974,0.3442,88.57,0.984,0.854
25,0.10116549750195823,0.0817,97.38,0.999,0.973,0.2497,91.06,0.991,0.881
26,0.09846290395892222,0.0718,97.74,0.999,0.977,0.4048,86.72,0.982,0.831
27,0.09480293911604684,0.0743,97.77,0.999,0.978,0.3621,87.49,0.988,0.833
28,0.09250845229353315,0.0719,97.75,0.999,0.978,0.328,89.28,0.987,0.86
29,0.08746433028063359,0.0739,97.67,0.999,0.976,0.2614,91.99,0.989,0.894
30,0.08561228244401861,0.0609,98.07,1.0,0.981,0.3968,87.87,0.981,0.849
31,0.078342587590271,0.0684,97.69,1.0,0.977,0.3134,88.63,0.99,0.86
32,0.07736760130532647,0.0596,98.08,1.0,0.981,0.292,89.82,0.99,0.871
33,0.07305756676274495,0.06,98.14,1.0,0.981,0.3559,89.03,0.987,0.868
34,0.0714002526749099,0.056,98.36,1.0,0.984,0.2828,90.46,0.992,0.866
35,0.06643117715080525,0.0507,98.46,1.0,0.984,0.403,88.38,0.982,0.849
36,0.0608433183970257,0.0557,98.43,0.999,0.984,0.3091,89.67,0.989,0.859
37,0.060266190373729316,0.0461,98.51,1.0,0.985,0.2893,90.64,0.989,0.877
38,0.054840609833504673,0.0437,98.69,1.0,0.987,0.3011,91.06,0.987,0.884
39,0.05250982099503119,0.04,98.71,1.0,0.987,0.2721,90.57,0.992,0.881
40,0.04943808857151257,0.0423,98.64,1.0,0.986,0.2984,90.21,0.987,0.869
41,0.04780401720909075,0.0399,98.76,1.0,0.988,0.2997,90.76,0.988,0.882
42,0.044315895224223745,0.0366,98.83,1.0,0.988,0.2917,90.07,0.991,0.864
43,0.04297973084727496,0.0376,98.85,1.0,0.988,0.3003,90.15,0.989,0.871
44,0.040101491906229525,0.0363,98.86,1.0,0.989,0.2883,90.42,0.99,0.873
45,0.04016143106605097,0.0344,98.94,1.0,0.989,0.2862,90.68,0.99,0.875
46,0.03750037037396944,0.0334,98.98,1.0,0.99,0.2814,91.14,0.99,0.881
47,0.03710407202255555,0.0341,98.92,1.0,0.989,0.2769,91.11,0.99,0.88
48,0.03686374822117415,0.0344,98.94,1.0,0.989,0.28,90.78,0.99,0.875
49,0.03689004084275615,0.0337,98.94,1.0,0.989,0.2854,90.81,0.99,0.876
