epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.2493863541592836,1.4896,42.07,0.82,0.306,1.8792,28.09,0.753,0.172
1,2.1321246301401473,1.8487,31.98,0.743,0.258,1.7245,44.26,0.741,0.353
2,1.5700040852724437,1.1521,59.08,0.892,0.577,1.1449,59.99,0.876,0.556
3,1.055598806095807,0.7134,74.49,0.961,0.737,1.0196,61.93,0.929,0.603
4,0.7407707464096794,0.4585,83.75,0.982,0.84,0.7391,75.97,0.961,0.735
5,0.5623545348110165,0.3786,85.98,0.988,0.858,0.6734,77.44,0.965,0.739
6,0.46697361340018584,0.5553,81.16,0.977,0.81,0.9064,72.37,0.948,0.68
7,0.40990377807702644,0.2343,92.23,0.995,0.923,0.4866,83.15,0.976,0.801
8,0.36648908257484436,0.2352,92.25,0.994,0.923,0.6252,79.22,0.974,0.749
9,0.3392593915904722,0.2784,90.04,0.994,0.9,0.5726,81.6,0.971,0.771
10,0.3115720496542992,0.2002,93.84,0.996,0.939,0.4362,85.38,0.982,0.825
11,0.29786026945144045,0.1839,93.9,0.997,0.939,0.6056,81.78,0.973,0.797
12,0.27518177809574274,0.1681,94.62,0.997,0.947,0.4781,85.76,0.982,0.829
13,0.2629401532659394,0.1767,94.35,0.997,0.943,0.3768,86.77,0.981,0.83
14,0.25460984035792317,0.1654,94.49,0.997,0.945,0.4474,84.16,0.982,0.799
15,0.24119847813974998,0.1736,94.21,0.997,0.943,0.4107,86.15,0.982,0.837
16,0.2351359071537158,0.1595,94.6,0.998,0.946,0.4772,84.1,0.977,0.816
17,0.22202008651522753,0.1294,95.99,0.998,0.96,0.411,86.69,0.983,0.839
18,0.21478132799427996,0.1405,95.47,0.998,0.955,0.459,85.66,0.98,0.824
19,0.21261712473459995,0.1311,95.66,0.998,0.956,0.5162,84.18,0.977,0.819
20,0.20134119947163862,0.1358,95.35,0.998,0.954,0.4573,84.6,0.978,0.82
21,0.19516763215263686,0.1209,96.1,0.998,0.961,0.3256,88.99,0.987,0.858
22,0.18827287704553655,0.1165,96.14,0.999,0.961,0.4682,84.76,0.984,0.823
23,0.18157037785510435,0.1159,96.18,0.998,0.962,0.4574,85.35,0.982,0.821
24,0.17828968129250952,0.0982,96.83,0.999,0.968,0.3619,89.12,0.986,0.866
25,0.16827237098661374,0.1051,96.55,0.999,0.965,0.3288,89.93,0.988,0.876
26,0.16344810918133745,0.1061,96.71,0.999,0.967,0.4092,87.6,0.985,0.844
27,0.15504831515626455,0.1004,96.71,0.999,0.967,0.4007,87.43,0.985,0.843
28,0.1507811151631844,0.093,96.99,0.999,0.97,0.3064,90.3,0.988,0.877
29,0.14559128188184298,0.0964,96.84,0.999,0.968,0.3039,89.91,0.989,0.875
30,0.14196782549142198,0.0892,97.03,0.999,0.97,0.4388,87.13,0.982,0.844
31,0.1350872094031944,0.0924,97.0,0.999,0.97,0.2894,89.85,0.99,0.868
32,0.12789495144453314,0.0794,97.38,0.999,0.974,0.4523,85.98,0.983,0.829
33,0.12560233950454702,0.0736,97.76,0.999,0.978,0.323,89.85,0.988,0.877
34,0.11941748528364098,0.0815,97.51,0.999,0.975,0.2995,90.76,0.989,0.873
35,0.1138193716952664,0.0735,97.65,0.999,0.976,0.3628,88.09,0.986,0.851
36,0.10887158498848959,0.071,97.75,0.999,0.977,0.4134,87.87,0.984,0.853
37,0.10471438800442069,0.065,98.03,0.999,0.98,0.3428,90.92,0.985,0.885
38,0.10263314599164605,0.061,98.1,0.999,0.981,0.4206,87.97,0.984,0.86
39,0.09438439225277273,0.062,97.96,0.999,0.98,0.3317,89.85,0.988,0.873
40,0.09102196091498953,0.06,98.12,1.0,0.981,0.3627,88.95,0.986,0.865
41,0.0858089994625806,0.055,98.28,1.0,0.983,0.3299,90.72,0.987,0.883
42,0.08563726091937672,0.0522,98.4,1.0,0.984,0.2993,91.38,0.989,0.89
43,0.08050524776193937,0.0519,98.38,1.0,0.984,0.3094,91.02,0.988,0.886
44,0.07633690262133236,0.0514,98.43,1.0,0.984,0.3623,89.75,0.987,0.873
45,0.07377851310296245,0.0475,98.5,1.0,0.985,0.3176,90.94,0.988,0.884
46,0.07390830217523493,0.0483,98.5,1.0,0.985,0.3043,91.17,0.989,0.888
47,0.07116713240495666,0.0477,98.5,1.0,0.985,0.3227,90.92,0.988,0.885
48,0.07140073226931702,0.0474,98.49,1.0,0.985,0.3272,90.75,0.988,0.883
49,0.07004968192441703,0.047,98.51,1.0,0.985,0.3253,90.76,0.988,0.883
