epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,0.7170540549955915,0.6853,76.88,0.974,0.765,9.1998,34.68,0.76,0.31
1,0.9947795063577672,0.5758,78.27,0.972,0.771,2.1814,31.39,0.768,0.274
2,0.5562613118025992,0.3746,86.63,0.989,0.862,2.3402,42.68,0.813,0.313
3,0.2923534287533666,0.3105,89.67,0.993,0.892,2.4446,43.09,0.836,0.349
4,0.1856582076706019,0.2474,91.72,0.995,0.916,2.4744,45.41,0.83,0.387
5,0.2432119746068259,0.2284,91.71,0.996,0.916,3.2679,26.61,0.78,0.215
6,0.1503338456674609,0.1737,94.26,0.998,0.941,4.1138,32.95,0.75,0.293
7,0.12041126335820844,0.0968,96.99,0.999,0.97,1.78,58.09,0.851,0.517
8,0.10496549480043912,0.2982,90.86,0.996,0.907,3.5258,39.44,0.813,0.342
9,0.09466593739272873,0.2538,94.51,0.994,0.943,2.0759,57.48,0.853,0.492
10,0.08860651340742852,0.1347,96.3,0.999,0.963,4.9402,33.33,0.803,0.304
11,0.08044708761850565,0.2043,93.11,0.998,0.929,6.7482,35.12,0.776,0.299
12,0.07630420172934196,0.0719,97.69,0.999,0.977,2.4858,46.31,0.837,0.401
13,0.07206650640261376,0.225,95.91,0.995,0.958,2.4613,61.27,0.877,0.528
14,0.09410934468838103,0.6064,92.35,0.987,0.923,1.9764,70.0,0.879,0.609
15,0.07342294281795889,0.5586,85.18,0.996,0.797,5.3698,24.76,0.739,0.187
16,0.06837576499215484,0.1173,96.19,0.999,0.962,3.6902,30.74,0.759,0.266
17,0.06091916510221084,0.0713,97.62,0.999,0.976,3.8129,29.64,0.763,0.271
18,0.05709818708727063,0.4746,94.16,0.989,0.94,1.8656,65.85,0.899,0.572
19,0.056697951931853556,0.0675,97.9,0.999,0.979,2.1095,52.2,0.861,0.505
20,0.05264852293283014,0.0673,97.89,1.0,0.978,4.5711,37.19,0.821,0.334
21,0.04893749923942657,0.0489,98.51,1.0,0.985,2.8972,40.04,0.82,0.377
22,0.04758699433911445,0.0528,98.38,1.0,0.984,3.1171,42.19,0.836,0.388
23,0.04562087400272275,0.0695,97.77,0.999,0.978,2.6337,43.52,0.862,0.41
24,0.04432168738969926,0.0622,98.16,1.0,0.981,2.8527,43.6,0.838,0.409
25,0.03949854954723336,0.1446,97.06,0.998,0.97,3.9947,51.74,0.822,0.458
26,0.03783228725702318,0.4201,88.76,0.997,0.862,3.4721,37.61,0.792,0.332
27,0.035655378871413755,0.3463,90.08,0.998,0.874,2.9591,46.61,0.851,0.426
28,0.034057467578372864,0.3843,88.51,0.998,0.848,3.9031,32.26,0.813,0.293
29,0.031385317838694034,0.0641,98.13,0.999,0.981,2.872,39.84,0.822,0.384
30,0.03218140271342089,0.0405,98.79,1.0,0.988,3.5971,35.39,0.821,0.334
31,0.028032419365233204,0.0508,98.36,1.0,0.984,3.5375,42.29,0.805,0.368
32,0.02503393927095024,3.7195,93.68,0.957,0.932,3.1684,39.9,0.818,0.399
33,0.023551710195318664,0.1186,96.29,0.999,0.962,3.2548,38.84,0.818,0.371
34,0.021223657986476324,0.0399,98.8,1.0,0.988,3.9768,33.21,0.781,0.306
35,0.01983169953115151,0.548,97.55,0.989,0.974,3.8141,40.49,0.808,0.365
36,0.017090391718171616,0.0396,98.98,1.0,0.99,3.7645,40.85,0.834,0.366
37,0.01628761865051737,0.0326,98.92,1.0,0.989,5.4916,40.8,0.82,0.39
38,0.014964889205898755,0.1465,98.78,0.997,0.988,3.7588,43.27,0.829,0.395
39,0.01326905106992117,0.0271,99.22,1.0,0.992,3.4788,41.26,0.814,0.375
40,0.011749245406639191,0.0412,99.11,1.0,0.991,4.0043,40.38,0.81,0.373
41,0.0113541580866822,0.0294,99.22,1.0,0.992,3.4157,41.95,0.81,0.398
42,0.01001276387115373,0.1543,98.85,0.997,0.988,3.666,42.02,0.81,0.383
43,0.009320880868889419,0.0385,98.7,1.0,0.987,3.9781,39.11,0.798,0.359
44,0.008056247648599434,0.0213,99.34,1.0,0.993,4.3152,40.75,0.803,0.369
45,0.00756954154714034,0.0252,99.32,1.0,0.993,4.5505,39.37,0.799,0.362
46,0.007692962182238431,0.0361,99.28,1.0,0.993,4.4091,42.29,0.812,0.39
47,0.0073052364214587166,0.0288,99.3,1.0,0.993,4.2367,40.3,0.805,0.373
48,0.007268317280784516,0.0225,99.33,1.0,0.993,4.2717,38.99,0.801,0.359
49,0.007284845447494886,0.0239,99.33,1.0,0.993,4.2901,40.34,0.805,0.37
