epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3928660169297222,0.8841,67.53,0.94,0.655,3.3939,11.29,0.64,0.086
1,1.5074648672320936,1.6855,48.92,0.867,0.425,3.573,11.67,0.58,0.088
2,0.8723789537892974,0.8542,69.89,0.963,0.663,1.7973,44.75,0.849,0.462
3,0.45273040715725194,0.4814,81.26,0.984,0.795,2.5593,39.92,0.859,0.38
4,0.29451680941821,0.3816,87.9,0.99,0.879,3.1933,46.88,0.78,0.373
5,0.22998655913230767,0.2627,92.45,0.992,0.921,2.0879,52.22,0.884,0.484
6,0.19754923079630166,0.1539,94.95,0.998,0.949,1.3681,66.95,0.938,0.58
7,0.16343009055301708,0.1066,96.56,0.999,0.965,1.5581,64.36,0.925,0.563
8,0.14471663939215804,0.122,96.0,0.998,0.96,1.9474,59.07,0.906,0.544
9,0.13472086449544277,0.1056,96.61,0.999,0.966,1.6218,67.33,0.919,0.57
10,0.12117111984653713,0.1099,96.54,0.999,0.965,1.5932,62.77,0.926,0.553
11,0.1143190352326279,0.1291,95.94,0.998,0.959,2.5579,57.9,0.867,0.513
12,0.10821943706415567,0.0988,97.09,0.999,0.971,1.4866,67.27,0.935,0.595
13,0.10322203441426211,0.0889,97.35,0.999,0.973,1.8919,69.16,0.903,0.605
14,0.09845549749764597,0.1197,96.59,0.998,0.965,1.6171,65.2,0.919,0.579
15,0.09733361289352446,0.1959,93.19,0.998,0.926,2.3801,51.41,0.87,0.475
16,0.0920204871808142,0.1281,95.99,0.998,0.959,1.5861,68.01,0.934,0.594
17,0.08679065501858149,0.0885,97.21,0.999,0.972,1.5414,67.77,0.943,0.603
18,0.08338761690162844,0.072,97.76,0.999,0.977,1.2923,68.32,0.946,0.605
19,0.07962176062861011,0.0737,97.74,0.999,0.977,0.8661,73.3,0.959,0.704
20,0.07665311657459772,0.0752,97.79,0.999,0.978,1.0862,69.34,0.962,0.628
21,0.07340503304088522,0.0538,98.28,1.0,0.983,0.9223,76.38,0.972,0.685
22,0.07194645523751242,0.0734,97.7,0.999,0.976,0.8989,76.27,0.965,0.674
23,0.07054186372860839,0.076,97.51,0.999,0.974,0.7135,75.51,0.968,0.71
24,0.06553245138704082,0.0623,98.15,1.0,0.981,0.9893,74.99,0.959,0.667
25,0.06288584154833603,0.0559,98.27,1.0,0.983,1.1904,74.25,0.955,0.641
26,0.06186369960246387,0.0658,97.84,1.0,0.978,1.823,70.24,0.911,0.62
27,0.058254786788763,0.0428,98.67,1.0,0.987,1.4943,70.01,0.942,0.628
28,0.05525397316395809,0.0443,98.57,1.0,0.986,1.5777,65.78,0.933,0.58
29,0.05303308992950399,0.0446,98.59,1.0,0.986,0.7594,76.06,0.972,0.686
30,0.05060341542312962,0.0395,98.73,1.0,0.987,1.4966,70.98,0.927,0.626
31,0.04736857733265313,0.0369,98.74,1.0,0.987,1.3098,70.38,0.951,0.627
32,0.04568911832340035,0.0328,98.95,1.0,0.989,1.2209,68.59,0.956,0.608
33,0.04400742782186383,0.0413,98.66,1.0,0.987,1.0353,73.66,0.955,0.672
34,0.04124078642924093,0.0377,98.79,1.0,0.988,1.4293,73.77,0.939,0.656
35,0.0375427647099887,0.0362,98.84,1.0,0.988,1.1478,69.11,0.956,0.642
36,0.034880214065353396,0.0348,98.88,1.0,0.989,0.9889,75.13,0.962,0.681
37,0.031842146092177934,0.0304,99.09,1.0,0.991,1.0151,73.28,0.959,0.659
38,0.03164148343706964,0.0276,99.12,1.0,0.991,1.0537,75.78,0.963,0.68
39,0.029176918397520714,0.0347,98.83,1.0,0.988,0.7306,77.45,0.972,0.742
40,0.02707817855267702,0.0255,99.22,1.0,0.992,1.467,66.92,0.94,0.598
41,0.02474981542396289,0.026,99.13,1.0,0.991,0.7531,77.26,0.972,0.691
42,0.026015944346638672,0.0226,99.25,1.0,0.992,1.0381,73.49,0.966,0.645
43,0.022500344904266483,0.0208,99.3,1.0,0.993,1.0486,74.78,0.967,0.668
44,0.020395180133695456,0.0213,99.28,1.0,0.993,1.2425,70.47,0.953,0.627
45,0.01937908857166233,0.0218,99.28,1.0,0.993,1.1929,70.0,0.955,0.632
46,0.01974556406819692,0.0195,99.36,1.0,0.993,1.1418,72.46,0.959,0.652
47,0.018817305686720062,0.0195,99.37,1.0,0.994,1.0453,72.56,0.961,0.661
48,0.01790383139685277,0.0192,99.4,1.0,0.994,1.1249,71.42,0.957,0.645
49,0.01850135676649576,0.0195,99.36,1.0,0.994,1.1216,71.5,0.959,0.647
