epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8756572584952078,1.4065,41.25,0.86,0.37,1.9826,22.47,0.803,0.221
1,1.8092718673436017,1.5128,37.72,0.809,0.331,1.646,41.31,0.804,0.318
2,1.1382708627476914,0.7837,73.54,0.956,0.727,0.9014,69.78,0.946,0.638
3,0.7220666849164552,0.4098,84.96,0.986,0.847,0.5921,77.8,0.969,0.739
4,0.4168641981418415,0.2753,90.46,0.993,0.906,0.5005,80.33,0.975,0.755
5,0.30922776591500073,0.2728,90.6,0.992,0.905,0.5524,82.63,0.968,0.79
6,0.26087484333837757,0.1707,94.43,0.997,0.944,0.4189,86.09,0.981,0.827
7,0.22753025651458772,0.1725,94.41,0.997,0.945,0.3231,88.24,0.986,0.851
8,0.20901453054399902,0.1751,94.19,0.997,0.942,0.5131,82.79,0.977,0.796
9,0.19288782033014468,0.2022,93.19,0.996,0.931,0.5392,83.21,0.978,0.804
10,0.1806025491847146,0.1408,95.58,0.998,0.957,0.4598,84.65,0.984,0.812
11,0.17431740414044122,0.111,96.6,0.998,0.966,0.3563,88.43,0.988,0.854
12,0.1631264585107031,0.1285,95.9,0.998,0.959,0.4536,85.54,0.982,0.824
13,0.15710189274936168,0.1234,96.14,0.998,0.961,0.3252,89.17,0.985,0.87
14,0.1522943755965613,0.1228,96.08,0.998,0.961,0.3455,88.47,0.987,0.849
15,0.1460128025048309,0.1144,96.31,0.999,0.963,0.3782,88.47,0.983,0.855
16,0.14530067570427413,0.1194,96.07,0.998,0.961,0.3157,87.68,0.989,0.842
17,0.13684476348888597,0.1244,96.1,0.998,0.961,0.4381,84.34,0.985,0.81
18,0.13072098138004434,0.1009,96.89,0.999,0.969,0.3756,87.7,0.988,0.839
19,0.12757372404164952,0.1649,94.6,0.998,0.946,0.4865,86.25,0.978,0.813
20,0.12082160180801772,0.0856,97.33,0.999,0.973,0.2972,89.77,0.99,0.871
21,0.11568436842732212,0.103,96.7,0.999,0.967,0.3434,88.39,0.987,0.865
22,0.11150421154114508,0.0872,97.26,0.999,0.972,0.3872,87.15,0.987,0.833
23,0.10964178907982071,0.0754,97.64,0.999,0.976,0.3038,89.29,0.99,0.869
24,0.10362238476159699,0.0837,97.46,0.999,0.975,0.3616,88.6,0.985,0.853
25,0.0972602485902741,0.0978,96.92,0.999,0.969,0.3547,88.43,0.988,0.861
26,0.09653739470614647,0.0741,97.61,0.999,0.976,0.302,89.45,0.991,0.859
27,0.09208525961271644,0.0637,98.0,1.0,0.98,0.3799,87.73,0.99,0.844
28,0.08857793905555295,0.0677,97.78,0.999,0.978,0.3073,89.86,0.989,0.875
29,0.08445575745863086,0.0612,98.02,1.0,0.98,0.2793,90.24,0.993,0.875
30,0.08247046090836059,0.0673,97.8,1.0,0.978,0.4315,85.98,0.986,0.831
31,0.07729342354020925,0.0776,97.47,0.999,0.975,0.329,89.04,0.992,0.844
32,0.07253224728628993,0.0619,98.01,1.0,0.98,0.256,90.87,0.994,0.892
33,0.07078498334867553,0.0602,98.06,1.0,0.981,0.2776,90.4,0.994,0.887
34,0.06547100271689155,0.0502,98.48,1.0,0.985,0.2384,91.76,0.993,0.891
35,0.06375398130680178,0.0479,98.52,1.0,0.985,0.391,87.65,0.991,0.849
36,0.058688646749890404,0.0493,98.46,1.0,0.984,0.3221,89.37,0.99,0.871
37,0.055680560896099685,0.0453,98.53,1.0,0.985,0.2363,91.38,0.994,0.892
38,0.051484170289690136,0.0429,98.64,1.0,0.986,0.2779,90.3,0.993,0.88
39,0.048748647498707935,0.0412,98.65,1.0,0.986,0.2588,91.33,0.995,0.893
40,0.04610679560511183,0.0425,98.65,1.0,0.987,0.3253,89.59,0.992,0.877
41,0.044185039103298206,0.0383,98.76,1.0,0.987,0.2912,90.35,0.992,0.885
42,0.04232910494270024,0.0383,98.74,1.0,0.987,0.2744,91.16,0.994,0.898
43,0.03926378059931981,0.0374,98.79,1.0,0.988,0.2656,90.92,0.994,0.892
44,0.037368068181138525,0.0357,98.85,1.0,0.988,0.2933,90.3,0.994,0.886
45,0.034720576313194085,0.0353,98.89,1.0,0.989,0.2728,90.87,0.994,0.889
46,0.0342898374076225,0.0347,98.88,1.0,0.989,0.2747,90.81,0.994,0.889
47,0.03417604577170157,0.034,98.92,1.0,0.989,0.2758,90.95,0.993,0.891
48,0.03225344310324359,0.0342,98.94,1.0,0.989,0.2794,90.78,0.993,0.888
49,0.03437107155520108,0.0342,98.91,1.0,0.989,0.278,90.87,0.994,0.89
