epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6929187234157304,1.2625,51.89,0.895,0.491,1.85,33.3,0.796,0.324
1,1.7957566818456068,1.2028,54.96,0.89,0.516,1.4248,46.03,0.836,0.371
2,1.1848887879147751,0.6141,78.08,0.967,0.775,0.8707,70.87,0.944,0.659
3,0.6127825175882667,0.3543,87.72,0.991,0.868,0.5096,80.03,0.982,0.781
4,0.37990116426808007,0.2878,90.44,0.992,0.904,0.4275,84.32,0.984,0.817
5,0.2929974919765867,0.1937,93.45,0.996,0.935,0.3979,85.39,0.985,0.831
6,0.24853664245389695,0.2207,92.63,0.996,0.925,0.5904,83.2,0.976,0.785
7,0.2214475204387019,0.1307,95.84,0.998,0.958,0.42,87.49,0.984,0.849
8,0.1970763354291839,0.1983,93.13,0.997,0.933,0.5201,84.81,0.977,0.791
9,0.18343418942076758,0.1975,93.45,0.997,0.933,0.3854,86.56,0.986,0.817
10,0.1688470696249316,0.1005,96.87,0.999,0.969,0.3846,88.14,0.986,0.832
11,0.1616628635140623,0.1111,96.48,0.999,0.964,0.3944,87.4,0.986,0.842
12,0.15467825144075364,0.1349,95.77,0.998,0.957,0.3546,89.28,0.989,0.866
13,0.14516496306492221,0.0964,97.04,0.999,0.97,0.3316,90.64,0.984,0.878
14,0.13897653179757272,0.0924,97.02,0.999,0.969,0.4581,85.22,0.982,0.828
15,0.1326343370067443,0.0788,97.61,0.999,0.976,0.4473,87.54,0.983,0.826
16,0.1304239197483947,0.0827,97.29,0.999,0.973,0.5018,85.35,0.985,0.804
17,0.12350982878570808,0.1142,96.21,0.999,0.962,0.4367,86.83,0.983,0.829
18,0.11870826017044778,0.0829,97.4,0.999,0.974,0.3459,89.61,0.991,0.851
19,0.11740161297595843,0.0749,97.6,0.999,0.975,0.4159,88.36,0.986,0.852
20,0.11034896033465542,0.1038,96.61,0.999,0.965,0.3428,88.46,0.993,0.86
21,0.10673843314837811,0.0769,97.58,0.999,0.975,0.2596,91.52,0.991,0.891
22,0.1028906658398635,0.0747,97.65,0.999,0.976,0.2181,93.42,0.993,0.913
23,0.10162595929210759,0.0727,97.7,0.999,0.977,0.374,88.8,0.986,0.859
24,0.09787901186995128,0.0677,97.91,0.999,0.979,0.3867,87.75,0.985,0.841
25,0.09235052560459435,0.0632,97.93,1.0,0.979,0.3021,89.07,0.991,0.86
26,0.08812790667291023,0.0528,98.33,1.0,0.983,0.2621,90.67,0.994,0.882
27,0.08323003200974355,0.0512,98.36,1.0,0.984,0.2766,91.19,0.992,0.886
28,0.08070541066234417,0.0541,98.34,1.0,0.983,0.3231,89.85,0.99,0.864
29,0.07727302888268105,0.0622,98.02,1.0,0.98,0.2506,92.8,0.992,0.899
30,0.07646602962005844,0.0448,98.6,1.0,0.986,0.3406,90.79,0.983,0.884
31,0.07151502080922646,0.0535,98.34,1.0,0.983,0.253,91.13,0.992,0.893
32,0.06703900141594765,0.053,98.35,1.0,0.983,0.3192,90.72,0.988,0.878
33,0.0651516106203332,0.0453,98.59,1.0,0.986,0.252,91.28,0.992,0.887
34,0.06064184476691548,0.0442,98.65,1.0,0.986,0.3969,88.92,0.989,0.846
35,0.05848694514102673,0.0411,98.69,1.0,0.987,0.2385,92.29,0.994,0.897
36,0.05622512741702004,0.0405,98.74,1.0,0.987,0.2823,92.4,0.991,0.907
37,0.05311357145995489,0.0341,99.04,1.0,0.99,0.2502,93.54,0.992,0.912
38,0.050040704221548146,0.0355,98.92,1.0,0.989,0.2284,94.06,0.992,0.92
39,0.04651682485916441,0.0372,98.9,1.0,0.989,0.2324,92.18,0.993,0.902
40,0.04475567275558107,0.0328,99.04,1.0,0.99,0.3293,90.9,0.986,0.891
41,0.0413937909298286,0.0297,99.14,1.0,0.991,0.2621,92.45,0.99,0.902
42,0.04112539463426157,0.029,99.15,1.0,0.991,0.2278,93.13,0.993,0.914
43,0.03800780661437514,0.0289,99.14,1.0,0.991,0.2561,92.22,0.991,0.901
44,0.036117497100544876,0.0276,99.18,1.0,0.992,0.3096,91.36,0.989,0.893
45,0.03416612304039433,0.0276,99.16,1.0,0.991,0.2799,91.63,0.99,0.892
46,0.03439213244050848,0.0266,99.21,1.0,0.992,0.2634,92.47,0.991,0.903
47,0.03330037216105128,0.0264,99.23,1.0,0.992,0.269,92.22,0.99,0.901
48,0.032267336633497026,0.0262,99.22,1.0,0.992,0.2713,91.96,0.99,0.898
49,0.033399524160503916,0.0259,99.23,1.0,0.992,0.2746,92.09,0.99,0.898
