epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.15201426930325,0.7239,72.85,0.958,0.725,2.7341,17.4,0.663,0.202
1,1.7703327473560115,1.4271,46.71,0.869,0.433,2.2818,27.81,0.804,0.287
2,1.2719251355389967,1.0527,61.27,0.914,0.608,2.1319,23.61,0.776,0.223
3,0.8062852773294654,0.7529,73.65,0.964,0.727,1.4559,51.24,0.913,0.451
4,0.4316182002211557,0.3434,88.55,0.989,0.883,2.1203,46.16,0.875,0.421
5,0.2779879493098105,0.1897,94.04,0.996,0.94,1.9346,57.84,0.867,0.511
6,0.22122541977940494,0.1687,94.45,0.997,0.944,1.6282,69.6,0.904,0.607
7,0.18795559230831363,0.211,93.54,0.995,0.936,0.9957,73.46,0.939,0.637
8,0.16945042982563963,0.3535,86.23,0.994,0.843,1.6607,56.94,0.917,0.527
9,0.15783870302968556,0.1612,94.58,0.998,0.945,0.9448,72.92,0.954,0.637
10,0.14147979259410853,0.2174,92.14,0.997,0.914,1.0563,69.84,0.946,0.634
11,0.13074405686295587,0.1012,96.96,0.999,0.969,1.4735,66.78,0.923,0.591
12,0.12398903980504014,0.1096,96.7,0.999,0.966,1.1982,76.05,0.929,0.704
13,0.11774497048922658,0.1029,96.69,0.999,0.967,2.2436,60.54,0.864,0.544
14,0.11323683157289488,0.0982,96.79,0.999,0.968,0.9834,73.47,0.956,0.654
15,0.1084917875417378,0.0821,97.67,0.999,0.977,1.3893,66.94,0.928,0.582
16,0.10475497011188752,0.0934,97.03,0.999,0.97,1.2931,69.0,0.948,0.601
17,0.09800392107897869,0.0792,97.61,0.999,0.976,1.3345,69.26,0.922,0.652
18,0.09184881438597983,0.1238,96.04,0.999,0.961,0.6891,78.04,0.974,0.709
19,0.08767899512697185,0.0737,97.65,0.999,0.976,1.0254,76.55,0.953,0.715
20,0.08551993367752882,0.0821,97.51,0.999,0.975,0.8407,76.28,0.969,0.735
21,0.08220130474870778,0.0597,98.05,1.0,0.98,1.6149,64.9,0.932,0.593
22,0.077895630947164,0.0712,97.75,0.999,0.977,0.7342,80.63,0.966,0.742
23,0.07588262408370933,0.0584,98.24,1.0,0.982,0.6944,78.18,0.961,0.721
24,0.06878580721462392,0.079,97.6,0.999,0.975,1.0701,73.31,0.935,0.656
25,0.06900575693937079,0.0624,98.09,1.0,0.98,1.0583,75.92,0.959,0.65
26,0.06648774732465065,0.0602,97.98,1.0,0.979,1.1316,76.47,0.94,0.671
27,0.06269119193904289,0.0527,98.32,1.0,0.983,0.9079,76.44,0.958,0.707
28,0.0583752523490151,0.0647,98.12,0.999,0.98,1.1488,71.88,0.942,0.677
29,0.05884695040082098,0.0464,98.46,1.0,0.984,0.7709,78.53,0.965,0.726
30,0.056271891628715834,0.0518,98.37,1.0,0.984,0.7849,80.81,0.954,0.742
31,0.052773414505144924,0.0433,98.65,1.0,0.986,1.2399,73.22,0.937,0.654
32,0.047715074005520046,0.0503,98.53,1.0,0.985,1.1482,74.07,0.947,0.659
33,0.046381841021453075,0.0482,98.47,1.0,0.985,1.1947,71.39,0.943,0.665
34,0.04202121156551558,0.0349,98.9,1.0,0.989,1.0083,77.55,0.946,0.699
35,0.04193822885312701,0.037,98.79,1.0,0.988,0.8763,78.32,0.957,0.727
36,0.036855002988704005,0.0376,98.93,1.0,0.989,0.8818,79.19,0.955,0.728
37,0.03540423659667853,0.0357,98.86,1.0,0.989,1.0537,76.28,0.945,0.706
38,0.03215612748163789,0.0315,98.98,1.0,0.99,1.0016,77.85,0.952,0.699
39,0.03013815694758969,0.0327,98.99,1.0,0.99,0.7099,80.72,0.961,0.752
40,0.02857124599157482,0.029,99.12,1.0,0.991,0.9743,76.39,0.954,0.699
41,0.027296948977696,0.0283,99.1,1.0,0.991,0.837,80.86,0.952,0.752
42,0.026011458893496823,0.0269,99.16,1.0,0.991,0.7725,80.63,0.965,0.75
43,0.02335877978746983,0.0268,99.16,1.0,0.992,0.8764,79.33,0.957,0.727
44,0.021756513389728723,0.0248,99.17,1.0,0.992,0.9879,77.97,0.951,0.709
45,0.020273460200436973,0.0247,99.23,1.0,0.992,0.9081,78.34,0.955,0.723
46,0.020565168656689184,0.0237,99.25,1.0,0.992,0.8628,79.54,0.958,0.732
47,0.019291314999088913,0.0237,99.19,1.0,0.992,0.8704,79.84,0.953,0.737
48,0.018121045743746143,0.0231,99.27,1.0,0.993,0.9178,78.62,0.951,0.724
49,0.018847031552197687,0.0232,99.25,1.0,0.992,0.9387,78.4,0.951,0.722
