epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3174129287615473,1.0806,59.12,0.934,0.553,2.4289,28.03,0.722,0.307
1,1.6043319179806659,1.1198,54.03,0.906,0.516,2.3146,30.71,0.777,0.306
2,0.9477207699129658,0.66,75.38,0.971,0.736,2.027,47.61,0.869,0.466
3,0.5392699339376983,0.4166,85.12,0.989,0.839,2.1313,57.98,0.918,0.53
4,0.34092100811154186,0.1908,93.9,0.996,0.938,0.6967,77.59,0.972,0.712
5,0.2633351623264265,0.1592,94.79,0.997,0.947,0.423,85.46,0.98,0.801
6,0.2180400198879635,0.1694,94.5,0.997,0.943,0.5523,83.15,0.978,0.773
7,0.18988994540359597,0.1247,96.09,0.998,0.961,0.3634,88.5,0.988,0.833
8,0.1748916881966762,0.1883,94.02,0.996,0.939,1.0179,75.7,0.955,0.732
9,0.1623380597627398,0.1506,95.12,0.998,0.95,1.0603,73.76,0.975,0.702
10,0.14686424276494425,0.097,96.86,0.999,0.969,0.3776,87.87,0.986,0.826
11,0.13820791847362954,0.0999,96.87,0.999,0.968,0.496,84.37,0.986,0.797
12,0.13432292302396134,0.1006,96.8,0.999,0.968,0.473,87.35,0.975,0.818
13,0.12681838406723886,0.103,96.7,0.999,0.966,0.3228,89.06,0.987,0.834
14,0.12436160336058306,0.1271,96.08,0.998,0.959,0.7953,74.18,0.977,0.712
15,0.1193329794833096,0.1129,96.39,0.999,0.964,0.4913,83.72,0.983,0.802
16,0.11372217937209059,0.0913,97.09,0.999,0.971,0.5139,86.86,0.968,0.806
17,0.1082185771863734,0.0703,97.71,0.999,0.977,0.4985,84.32,0.98,0.793
18,0.10463643541365969,0.0696,97.75,0.999,0.978,0.4602,85.9,0.979,0.799
19,0.1015966598171487,0.0726,97.69,0.999,0.977,0.3765,87.64,0.987,0.823
20,0.09786878716981699,0.1749,94.54,0.997,0.945,0.9814,76.16,0.964,0.716
21,0.09404579700241165,0.0638,98.13,1.0,0.981,0.4416,86.29,0.98,0.808
22,0.08923758621791571,0.0599,98.23,1.0,0.982,0.3738,88.6,0.986,0.826
23,0.08643424090191615,0.0595,98.04,1.0,0.98,0.5782,82.38,0.982,0.784
24,0.08391604668671085,0.0693,97.81,0.999,0.978,0.6281,81.46,0.98,0.746
25,0.07779503357513244,0.06,98.1,1.0,0.981,0.4489,85.63,0.987,0.826
26,0.0786717364791527,0.0475,98.45,1.0,0.984,0.4236,85.74,0.989,0.82
27,0.07179145068163886,0.0623,98.13,0.999,0.981,0.5644,83.14,0.979,0.784
28,0.07157654745344033,0.0613,98.02,1.0,0.98,0.5099,85.35,0.983,0.813
29,0.07057487538858821,0.0522,98.42,1.0,0.984,0.7751,80.01,0.972,0.772
30,0.06568384519194029,0.0466,98.56,1.0,0.986,0.4721,85.14,0.985,0.815
31,0.06278355980432161,0.0616,98.18,1.0,0.982,0.7535,76.19,0.978,0.738
32,0.05921592893025514,0.0552,98.48,1.0,0.985,0.7036,82.95,0.973,0.795
33,0.057649930087869526,0.0479,98.63,1.0,0.986,0.4593,86.45,0.982,0.807
34,0.05486485735416466,0.0523,98.58,1.0,0.986,0.5197,86.06,0.979,0.803
35,0.05140548349795429,0.0398,98.71,1.0,0.987,0.4829,86.34,0.983,0.81
36,0.04732550401908202,0.0334,98.93,1.0,0.989,0.4655,88.28,0.976,0.827
37,0.043896908491289105,0.0381,98.93,1.0,0.989,0.5305,82.6,0.981,0.783
38,0.043166728202907845,0.0312,99.03,1.0,0.99,0.353,89.12,0.986,0.847
39,0.04078227011687172,0.0381,98.81,1.0,0.988,0.513,83.17,0.982,0.785
40,0.038318239936878815,0.032,99.03,1.0,0.99,0.6226,82.09,0.973,0.776
41,0.035346390437468296,0.0308,99.02,1.0,0.99,0.4097,87.38,0.984,0.83
42,0.03490022919224208,0.0281,99.07,1.0,0.991,0.4519,86.93,0.985,0.817
43,0.032492196749842404,0.0285,99.07,1.0,0.991,0.4925,85.3,0.982,0.808
44,0.03157387584728259,0.0275,99.13,1.0,0.991,0.5105,85.79,0.981,0.806
45,0.029916096460341234,0.0273,99.13,1.0,0.991,0.5131,85.77,0.98,0.807
46,0.029392845145890682,0.0265,99.14,1.0,0.991,0.4487,87.29,0.984,0.826
47,0.02768710375459711,0.0263,99.16,1.0,0.992,0.4777,86.36,0.982,0.818
48,0.02791982628304952,0.0259,99.16,1.0,0.992,0.4763,86.48,0.982,0.818
49,0.027560053251376608,0.0259,99.12,1.0,0.991,0.4812,86.53,0.982,0.818
