epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.966278275922208,1.2585,59.51,0.904,0.581,1.5691,46.19,0.783,0.411
1,2.005569209975581,1.3406,49.19,0.85,0.46,1.4172,51.08,0.833,0.437
2,1.0887314534101862,0.5524,80.18,0.979,0.795,0.7912,71.67,0.944,0.623
3,0.5408302262745878,0.6284,79.25,0.978,0.785,0.5432,80.88,0.979,0.734
4,0.32872665793664996,0.2197,92.0,0.997,0.917,0.2929,88.98,0.991,0.842
5,0.2791101263308611,0.2533,90.94,0.996,0.904,0.3463,87.08,0.987,0.792
6,0.22832454919921882,0.198,93.47,0.997,0.934,0.698,75.04,0.971,0.705
7,0.20789242642647904,0.1189,96.1,0.998,0.961,0.2839,89.88,0.99,0.875
8,0.18959929274001217,0.132,95.9,0.998,0.959,0.3579,87.65,0.986,0.816
9,0.18165633417532434,0.1496,95.0,0.998,0.949,0.322,87.83,0.991,0.846
10,0.17123723614920852,0.1491,95.16,0.998,0.952,0.4769,84.94,0.978,0.797
11,0.16258603124795848,0.1327,95.77,0.998,0.958,0.472,85.13,0.982,0.811
12,0.1586245381303372,0.1255,96.05,0.998,0.96,0.467,84.23,0.987,0.818
13,0.14911525410776924,0.1034,96.83,0.999,0.968,0.2907,91.19,0.991,0.879
14,0.1440509004938987,0.1784,94.15,0.997,0.942,0.4764,84.73,0.983,0.814
15,0.14021567867795093,0.1453,95.28,0.998,0.95,0.3428,89.26,0.99,0.858
16,0.13440413966668122,0.0824,97.31,0.999,0.973,0.3378,88.33,0.99,0.844
17,0.12848097483851148,0.0989,96.94,0.999,0.969,0.6095,82.9,0.976,0.808
18,0.12023374030039409,0.0975,96.97,0.999,0.97,0.2816,90.45,0.993,0.881
19,0.12339765679318204,0.1352,95.45,0.998,0.954,0.2937,89.22,0.99,0.835
20,0.11639999973464184,0.1053,96.43,0.999,0.964,0.3807,86.72,0.991,0.838
21,0.11298865603289723,0.0738,97.67,0.999,0.976,0.3975,88.43,0.986,0.85
22,0.10711971530857693,0.0649,98.0,0.999,0.98,0.2177,92.82,0.995,0.906
23,0.10241426016441062,0.0706,97.75,0.999,0.977,0.3166,89.58,0.992,0.873
24,0.1007795562286691,0.0656,97.97,0.999,0.979,0.5022,84.83,0.979,0.792
25,0.09304355561239211,0.1294,95.8,0.998,0.958,0.4939,85.93,0.981,0.81
26,0.09493520627913189,0.07,97.65,0.999,0.976,0.2542,91.0,0.994,0.882
27,0.08814866601332595,0.0572,98.26,1.0,0.982,0.2833,90.94,0.993,0.879
28,0.08631436079974189,0.0624,98.03,1.0,0.98,0.3426,90.65,0.988,0.862
29,0.08210716457990763,0.0478,98.54,1.0,0.985,0.24,92.29,0.994,0.894
30,0.08360181505521459,0.0522,98.36,1.0,0.983,0.4423,86.25,0.987,0.823
31,0.07587289928014668,0.05,98.41,1.0,0.984,0.4217,88.19,0.985,0.84
32,0.07150416550022887,0.0544,98.32,1.0,0.983,0.4164,88.14,0.985,0.847
33,0.06919178727006133,0.0427,98.64,1.0,0.986,0.3147,91.17,0.989,0.878
34,0.066944708860743,0.0446,98.61,1.0,0.986,0.4535,87.56,0.987,0.823
35,0.06074943885500927,0.0406,98.71,1.0,0.987,0.3408,89.66,0.989,0.869
36,0.05855962360531466,0.0416,98.7,1.0,0.987,0.3149,91.55,0.99,0.886
37,0.05847613707411781,0.0379,98.78,1.0,0.988,0.283,90.73,0.992,0.873
38,0.05389023924873988,0.0398,98.75,1.0,0.987,0.3299,90.51,0.991,0.881
39,0.048904106646816256,0.0372,98.78,1.0,0.988,0.361,90.27,0.987,0.873
40,0.04751858541301342,0.0335,98.95,1.0,0.989,0.4368,87.64,0.983,0.825
41,0.04526438499804199,0.0329,98.92,1.0,0.989,0.453,89.12,0.983,0.849
42,0.04401680183059479,0.0298,98.97,1.0,0.99,0.3558,90.0,0.989,0.87
43,0.04210319784787019,0.0309,98.96,1.0,0.99,0.3504,89.8,0.991,0.866
44,0.03774092171848568,0.0283,99.07,1.0,0.991,0.3848,89.37,0.988,0.867
45,0.03668411989866566,0.0283,99.09,1.0,0.991,0.3293,90.67,0.991,0.88
46,0.036926340234989974,0.0284,99.06,1.0,0.99,0.3478,91.05,0.99,0.883
47,0.03408577434691904,0.0292,99.12,1.0,0.991,0.3417,90.87,0.99,0.88
48,0.034790055614338664,0.0275,99.1,1.0,0.991,0.3421,90.57,0.99,0.878
49,0.034766617887002485,0.0279,99.09,1.0,0.991,0.3481,90.6,0.99,0.876
