epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.780601225446202,1.1929,59.55,0.914,0.549,1.3337,56.75,0.828,0.494
1,1.7840498119699486,1.2558,55.51,0.895,0.524,1.3946,55.0,0.879,0.527
2,0.7525423868796304,0.3487,88.39,0.99,0.881,0.6402,77.69,0.97,0.728
3,0.38180246618058944,0.4317,85.47,0.99,0.851,0.9095,70.31,0.962,0.644
4,0.24546456709504128,0.1413,95.52,0.998,0.955,0.4194,84.37,0.985,0.799
5,0.19208822041536316,0.1559,94.84,0.998,0.947,0.7111,75.08,0.965,0.722
6,0.1684000530016465,0.1178,96.42,0.999,0.963,0.5544,80.94,0.978,0.764
7,0.15669065328668735,0.1262,95.82,0.998,0.958,0.5636,83.33,0.977,0.775
8,0.14329985681400503,0.1134,96.67,0.999,0.966,0.4575,85.43,0.987,0.811
9,0.13585823832420252,0.1108,96.59,0.999,0.965,0.5324,81.6,0.977,0.775
10,0.1300395951910098,0.0933,97.13,0.999,0.971,0.4312,85.05,0.983,0.821
11,0.12275798343402404,0.0948,96.96,0.999,0.97,0.9983,73.47,0.955,0.699
12,0.1189151809928024,0.0941,96.96,0.999,0.969,0.572,82.54,0.976,0.795
13,0.11409739637914311,0.085,97.46,0.999,0.974,0.391,88.95,0.982,0.842
14,0.10960671043283837,0.0953,97.11,0.999,0.97,0.5293,82.84,0.984,0.786
15,0.1075078269206388,0.082,97.39,0.999,0.973,0.3535,87.34,0.99,0.834
16,0.10599681164228147,0.0739,97.67,0.999,0.976,0.7835,78.41,0.972,0.734
17,0.09828074109042897,0.0945,96.96,0.999,0.97,0.5735,81.16,0.974,0.773
18,0.09623697650114801,0.074,97.65,0.999,0.976,0.4838,84.62,0.979,0.805
19,0.0945509218153507,0.07,97.74,0.999,0.977,0.4649,87.32,0.975,0.829
20,0.09153612457736525,0.0819,97.39,0.999,0.973,0.513,84.4,0.974,0.8
21,0.08767005783008365,0.0661,97.94,1.0,0.979,0.4952,87.21,0.976,0.845
22,0.08358995336705424,0.082,97.45,0.999,0.974,0.5128,83.75,0.985,0.785
23,0.07986888677335768,0.0612,98.13,0.999,0.981,0.3822,86.59,0.987,0.83
24,0.07807187107642011,0.0701,97.92,0.999,0.979,0.9362,77.15,0.959,0.711
25,0.07083518458797353,0.0516,98.43,1.0,0.984,0.4898,86.06,0.985,0.805
26,0.07374825269170773,0.0583,98.15,1.0,0.981,0.4833,88.79,0.977,0.841
27,0.0693392409979763,0.0513,98.5,1.0,0.985,0.5753,86.1,0.978,0.81
28,0.06685819976552519,0.0499,98.48,1.0,0.985,0.3847,88.2,0.983,0.835
29,0.06254052300687118,0.0487,98.54,1.0,0.985,0.5053,85.65,0.978,0.821
30,0.06276896682911716,0.0443,98.67,1.0,0.987,0.4855,85.3,0.98,0.814
31,0.05768813932227725,0.0445,98.64,1.0,0.986,0.3974,87.89,0.983,0.832
32,0.055408548817412404,0.0506,98.32,1.0,0.983,0.4451,88.09,0.982,0.835
33,0.053475205464402084,0.0406,98.76,1.0,0.988,0.3856,88.38,0.984,0.837
34,0.050901610107164444,0.0385,98.86,1.0,0.988,0.4881,85.5,0.984,0.805
35,0.04746420640418286,0.0398,98.78,1.0,0.988,0.5017,85.6,0.98,0.808
36,0.0459275025770896,0.0345,98.86,1.0,0.988,0.4549,86.37,0.986,0.832
37,0.04316402307134055,0.0332,98.94,1.0,0.989,0.38,89.15,0.986,0.853
38,0.0400790915737683,0.0332,98.88,1.0,0.989,0.4728,87.57,0.978,0.826
39,0.036831029190091034,0.031,99.04,1.0,0.99,0.4293,88.17,0.982,0.845
40,0.035591311529145235,0.0268,99.18,1.0,0.992,0.5748,85.58,0.972,0.802
41,0.032970502919193664,0.0277,99.15,1.0,0.991,0.4926,88.41,0.976,0.84
42,0.03239115735843083,0.0269,99.08,1.0,0.991,0.3858,90.0,0.985,0.86
43,0.030850816601520156,0.025,99.26,1.0,0.992,0.418,89.04,0.983,0.843
44,0.028879651839854897,0.0246,99.29,1.0,0.993,0.4824,87.13,0.98,0.827
45,0.02642063042616278,0.0243,99.24,1.0,0.992,0.4891,87.83,0.978,0.834
46,0.02639626974480287,0.0239,99.3,1.0,0.993,0.472,88.38,0.98,0.839
47,0.02493275510060424,0.0233,99.32,1.0,0.993,0.4881,88.19,0.978,0.837
48,0.025994999427682183,0.023,99.3,1.0,0.993,0.4984,87.64,0.977,0.832
49,0.02475340497649966,0.0234,99.3,1.0,0.993,0.493,87.89,0.977,0.834
