epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.355508867557758,1.5908,42.77,0.823,0.378,1.7025,44.89,0.829,0.384
1,2.104431831922155,1.7183,33.21,0.751,0.29,1.3781,45.22,0.833,0.378
2,1.3196437259515126,0.8796,66.34,0.942,0.667,0.8228,73.01,0.944,0.662
3,0.8541191109192414,0.44,84.42,0.983,0.846,0.4702,82.06,0.98,0.776
4,0.5761169958926443,0.4228,84.21,0.985,0.836,0.4803,81.16,0.98,0.762
5,0.4624379321024837,0.2605,91.27,0.993,0.912,0.3796,85.46,0.983,0.82
6,0.4062698708052704,0.2628,91.07,0.993,0.91,0.3961,85.33,0.984,0.819
7,0.3666982397997892,0.2575,91.08,0.994,0.912,0.4294,84.67,0.979,0.8
8,0.32856255713649973,0.214,92.88,0.995,0.928,0.432,84.07,0.983,0.8
9,0.3047355536010958,0.2061,93.07,0.996,0.93,0.3444,86.91,0.986,0.829
10,0.2868312233291219,0.2052,93.09,0.996,0.932,0.3753,86.26,0.985,0.823
11,0.2708283093721209,0.1712,94.26,0.997,0.944,0.3636,87.53,0.986,0.828
12,0.26400034486125873,0.1629,94.58,0.997,0.945,0.3818,86.48,0.989,0.836
13,0.25032034215907895,0.1596,94.86,0.997,0.948,0.4228,86.55,0.981,0.827
14,0.24095957261580292,0.1702,94.61,0.997,0.947,0.5125,84.35,0.981,0.799
15,0.23437035422919045,0.1389,95.64,0.998,0.956,0.3236,89.22,0.989,0.861
16,0.22453096753326796,0.1402,95.42,0.998,0.954,0.4648,83.03,0.983,0.803
17,0.2141131921587879,0.188,93.51,0.998,0.936,0.5749,83.59,0.983,0.779
18,0.21074070303457185,0.1202,96.04,0.998,0.961,0.3574,88.36,0.988,0.846
19,0.20732783204391866,0.1665,94.54,0.997,0.944,0.4475,84.26,0.986,0.802
20,0.20196211276622655,0.1281,95.93,0.998,0.959,0.3113,89.23,0.99,0.862
21,0.1914977640594526,0.17,94.17,0.997,0.94,0.4033,88.41,0.984,0.842
22,0.18936703249972353,0.136,95.65,0.998,0.956,0.5441,81.16,0.983,0.784
23,0.18400382305959434,0.1279,95.78,0.998,0.958,0.3693,89.15,0.986,0.852
24,0.17947369697086488,0.125,96.0,0.998,0.96,0.3102,90.65,0.99,0.877
25,0.17325373313065925,0.108,96.28,0.999,0.963,0.2921,89.26,0.991,0.872
26,0.16943322606785324,0.1102,96.4,0.999,0.964,0.2332,91.8,0.994,0.894
27,0.15909691741790183,0.1202,95.92,0.998,0.96,0.385,86.34,0.987,0.83
28,0.1570543766716048,0.0985,96.72,0.999,0.967,0.3407,88.57,0.989,0.855
29,0.15322014051205796,0.111,96.56,0.999,0.966,0.2647,90.73,0.992,0.881
30,0.14891066032338313,0.1024,96.68,0.999,0.967,0.4394,85.87,0.984,0.831
31,0.14199020156777034,0.102,96.35,0.999,0.964,0.3071,90.38,0.989,0.881
32,0.13541000566735703,0.094,97.01,0.999,0.97,0.299,90.79,0.99,0.878
33,0.13233674108634927,0.0795,97.46,0.999,0.975,0.2502,92.31,0.992,0.899
34,0.12880614777779922,0.0892,97.25,0.999,0.973,0.3609,89.59,0.989,0.87
35,0.12175654957745237,0.0819,97.22,0.999,0.973,0.2743,91.14,0.992,0.89
36,0.12107791037942987,0.0939,96.95,0.999,0.97,0.2855,91.87,0.99,0.895
37,0.11445026395768995,0.0851,97.22,0.999,0.972,0.3278,89.91,0.989,0.874
38,0.1106017303910093,0.073,97.69,0.999,0.977,0.2442,92.14,0.993,0.9
39,0.10706462115917262,0.0799,97.27,0.999,0.973,0.2935,90.54,0.99,0.878
40,0.10103034620310136,0.0804,97.36,0.999,0.974,0.2834,90.89,0.991,0.887
41,0.09800360646886637,0.0702,97.81,0.999,0.978,0.3077,90.64,0.991,0.882
42,0.09318404157702748,0.0676,97.86,0.999,0.979,0.2981,91.17,0.99,0.891
43,0.09146124578505006,0.0768,97.5,0.999,0.975,0.3134,90.05,0.99,0.878
44,0.08771358705776673,0.0777,97.52,0.999,0.975,0.3091,90.56,0.99,0.88
45,0.08557951435326569,0.069,97.8,0.999,0.978,0.2793,91.43,0.991,0.89
46,0.08659724993497721,0.0674,97.86,0.999,0.979,0.2876,91.9,0.99,0.896
47,0.08238628748003193,0.0664,97.9,0.999,0.979,0.2833,91.41,0.991,0.892
48,0.08215378016220092,0.0677,97.83,0.999,0.978,0.3016,91.17,0.99,0.89
49,0.08169426063516287,0.0686,97.75,0.999,0.978,0.2958,91.46,0.99,0.892
