epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.514875840756201,1.8749,25.36,0.741,0.163,2.006,24.4,0.706,0.153
1,2.216630241990517,1.7471,34.44,0.738,0.241,1.5935,44.95,0.786,0.28
2,1.734606216244373,1.3126,53.29,0.871,0.512,1.2678,58.12,0.868,0.519
3,1.1349588566356235,0.7948,71.08,0.952,0.702,0.6729,77.83,0.956,0.711
4,0.7116602902237232,0.4275,84.79,0.984,0.845,0.5592,77.74,0.976,0.728
5,0.5732405434586241,0.3702,86.04,0.988,0.855,0.5252,81.49,0.975,0.765
6,0.5106153478545528,0.3012,89.4,0.991,0.895,0.4692,82.01,0.979,0.786
7,0.4675579050749433,0.2322,92.33,0.994,0.923,0.4741,82.44,0.976,0.779
8,0.4281987813051029,0.3241,88.55,0.991,0.886,0.5586,80.01,0.979,0.746
9,0.40634449349722984,0.3053,89.2,0.993,0.889,0.4484,84.73,0.981,0.792
10,0.383158460686711,0.1917,93.6,0.996,0.937,0.3315,87.1,0.987,0.84
11,0.36314385002445576,0.2061,93.18,0.996,0.932,0.3182,88.54,0.988,0.856
12,0.3504599072973788,0.1865,93.85,0.996,0.939,0.3695,86.44,0.988,0.828
13,0.33154123554199827,0.2968,90.27,0.993,0.902,0.6456,78.38,0.976,0.739
14,0.32335128800736535,0.1869,93.88,0.996,0.937,0.4546,85.33,0.984,0.817
15,0.313637662091456,0.1794,94.03,0.996,0.94,0.3084,88.19,0.991,0.852
16,0.3028782847534371,0.2009,93.17,0.996,0.931,0.382,86.55,0.986,0.834
17,0.2931480392226182,0.1731,94.18,0.997,0.942,0.4104,85.58,0.986,0.823
18,0.2844098563369457,0.1672,94.51,0.997,0.946,0.4603,85.3,0.982,0.817
19,0.2744804708333853,0.1722,94.26,0.997,0.941,0.4377,83.37,0.987,0.809
20,0.268116446298724,0.1526,94.98,0.997,0.949,0.3431,88.43,0.988,0.858
21,0.2626959171853826,0.1464,95.51,0.997,0.955,0.3651,88.13,0.985,0.847
22,0.25161480625897753,0.1341,95.58,0.998,0.956,0.2818,89.83,0.991,0.868
23,0.24647020014490278,0.1374,95.52,0.998,0.955,0.3976,86.29,0.984,0.836
24,0.24065953041810717,0.1248,96.01,0.998,0.96,0.2919,90.0,0.991,0.872
25,0.23083549655146068,0.1233,95.92,0.998,0.959,0.3577,87.6,0.99,0.844
26,0.2288798274385566,0.1125,96.4,0.998,0.964,0.2656,90.19,0.992,0.87
27,0.21889536539393087,0.1232,95.87,0.998,0.959,0.3414,87.7,0.99,0.85
28,0.2124197669460782,0.1252,95.82,0.998,0.958,0.3612,88.2,0.984,0.853
29,0.2061667764779701,0.1238,95.82,0.998,0.958,0.2563,91.3,0.992,0.89
30,0.20314862235953304,0.1239,96.01,0.998,0.961,0.4339,85.54,0.987,0.815
31,0.19488003469442808,0.0933,97.0,0.999,0.97,0.2612,90.6,0.991,0.879
32,0.187381906361456,0.1095,96.42,0.999,0.965,0.3518,88.5,0.988,0.849
33,0.18370419904910107,0.1017,96.64,0.999,0.967,0.2903,89.78,0.99,0.866
34,0.17598580014240997,0.0949,96.94,0.999,0.969,0.2981,89.74,0.992,0.873
35,0.17096809702374602,0.1086,96.44,0.999,0.965,0.4023,87.23,0.988,0.844
36,0.1670067680659153,0.0918,96.89,0.999,0.969,0.2759,90.34,0.991,0.881
37,0.16106568662095883,0.0844,97.32,0.999,0.973,0.2724,90.86,0.991,0.885
38,0.15730957438548407,0.0819,97.28,0.999,0.973,0.2543,90.97,0.992,0.889
39,0.14756740210410943,0.0802,97.32,0.999,0.973,0.2636,91.11,0.991,0.883
40,0.14622762760541344,0.0905,97.14,0.999,0.972,0.3384,89.03,0.989,0.867
41,0.1391134001581686,0.0766,97.46,0.999,0.975,0.293,89.97,0.99,0.876
42,0.1381876959155003,0.0752,97.52,0.999,0.975,0.2514,91.13,0.992,0.89
43,0.12983435603346022,0.0779,97.39,0.999,0.974,0.2703,91.0,0.991,0.887
44,0.12888561427513118,0.0752,97.47,0.999,0.975,0.2672,91.0,0.992,0.885
45,0.12521181703214684,0.0736,97.6,0.999,0.976,0.2882,90.72,0.99,0.883
46,0.12620073281842747,0.0729,97.52,0.999,0.975,0.2469,91.35,0.992,0.89
47,0.12241035813338867,0.0712,97.63,0.999,0.976,0.2572,91.13,0.991,0.888
48,0.12232165188131366,0.0721,97.61,0.999,0.976,0.2786,90.84,0.991,0.885
49,0.12323218056645018,0.073,97.64,0.999,0.977,0.2721,90.95,0.991,0.885
