epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.537556931669682,1.8266,29.86,0.744,0.245,1.8224,38.56,0.749,0.274
1,2.1740130928206742,1.679,33.29,0.773,0.232,1.5872,41.36,0.797,0.248
2,1.5678141194933854,0.8404,69.35,0.946,0.679,0.8842,68.24,0.917,0.629
3,0.8351399123348788,0.4535,83.68,0.983,0.833,0.6605,75.35,0.964,0.708
4,0.5936309118923433,0.4964,82.22,0.983,0.816,0.7091,74.65,0.954,0.689
5,0.5070114480681411,0.2981,89.69,0.992,0.895,0.5815,78.61,0.978,0.745
6,0.44767798616655824,0.2558,91.24,0.994,0.911,0.5345,78.94,0.977,0.752
7,0.40066683033817785,0.2499,91.61,0.994,0.915,0.5233,81.15,0.974,0.776
8,0.37801508189633837,0.2645,90.67,0.994,0.906,0.4462,83.02,0.978,0.794
9,0.355570672609725,0.1875,94.13,0.996,0.94,0.5578,80.94,0.981,0.764
10,0.33155837316525855,0.1673,94.6,0.997,0.945,0.3244,87.64,0.99,0.856
11,0.31422689042598917,0.1778,94.1,0.997,0.94,0.3809,86.7,0.985,0.834
12,0.30195855870443084,0.1888,93.59,0.997,0.936,0.6277,79.05,0.974,0.76
13,0.2931522513358239,0.1492,95.26,0.997,0.952,0.3873,86.52,0.988,0.831
14,0.2823968071737102,0.1757,94.16,0.998,0.94,0.5145,81.92,0.987,0.768
15,0.2699589901245557,0.1354,95.7,0.998,0.956,0.341,88.05,0.984,0.852
16,0.2610696093554147,0.1394,95.39,0.998,0.953,0.3245,87.64,0.991,0.852
17,0.2565399158432787,0.1106,96.45,0.998,0.964,0.2817,89.64,0.991,0.862
18,0.24781025818187563,0.1042,96.75,0.999,0.967,0.3178,89.0,0.989,0.861
19,0.23957581796778335,0.1079,96.53,0.999,0.965,0.3375,87.53,0.986,0.85
20,0.2302730183028791,0.1178,96.29,0.998,0.962,0.2748,90.34,0.991,0.881
21,0.22251167472232006,0.1199,96.2,0.999,0.962,0.4806,84.0,0.984,0.804
22,0.21940950505528767,0.1067,96.49,0.999,0.965,0.2499,90.53,0.992,0.879
23,0.21212374978767098,0.1161,96.26,0.999,0.963,0.3119,88.98,0.991,0.865
24,0.20605265485099475,0.0842,97.27,0.999,0.972,0.3316,88.13,0.987,0.85
25,0.19877891701001388,0.0886,97.13,0.999,0.971,0.3484,88.98,0.985,0.859
26,0.19437358044554381,0.1038,96.7,0.999,0.966,0.3303,88.84,0.988,0.861
27,0.188809407065241,0.1077,96.5,0.999,0.964,0.5157,82.35,0.981,0.803
28,0.18249614046276788,0.1051,96.78,0.999,0.968,0.4461,86.25,0.983,0.826
29,0.17886246128377634,0.0669,97.86,0.999,0.978,0.337,89.93,0.987,0.879
30,0.17455939500724266,0.0749,97.59,0.999,0.976,0.3434,89.63,0.986,0.869
31,0.16383708400355254,0.0719,97.91,0.999,0.979,0.3395,89.06,0.986,0.862
32,0.16026203707526962,0.0779,97.57,0.999,0.975,0.4082,88.7,0.987,0.862
33,0.1557256975985917,0.0704,97.75,0.999,0.977,0.4105,86.4,0.984,0.845
34,0.15033969427050758,0.0576,98.17,1.0,0.982,0.2707,90.48,0.992,0.88
35,0.14514261886664068,0.0688,97.87,0.999,0.978,0.3482,88.95,0.989,0.864
36,0.13714089316577519,0.0678,97.75,0.999,0.977,0.2546,91.14,0.992,0.895
37,0.13449499374905297,0.0601,98.13,1.0,0.981,0.3137,89.63,0.99,0.876
38,0.13274797915159484,0.0587,98.22,1.0,0.982,0.3181,90.16,0.989,0.877
39,0.12712692429373218,0.0545,98.4,1.0,0.984,0.3189,89.71,0.989,0.877
40,0.12154788126059422,0.0587,98.08,1.0,0.981,0.3306,89.16,0.988,0.869
41,0.11758069020957554,0.056,98.26,1.0,0.982,0.3746,88.13,0.987,0.861
42,0.11082880650122179,0.0512,98.44,1.0,0.984,0.3851,87.89,0.986,0.854
43,0.1090530658870509,0.0497,98.43,1.0,0.984,0.3195,89.5,0.989,0.875
44,0.10867880727622611,0.0479,98.52,1.0,0.985,0.3634,88.24,0.987,0.864
45,0.10554621331660287,0.0475,98.54,1.0,0.985,0.3489,89.25,0.987,0.874
46,0.10194851569698087,0.0461,98.57,1.0,0.985,0.3287,89.33,0.988,0.874
47,0.10118933502344785,0.0451,98.57,1.0,0.985,0.3225,89.71,0.989,0.881
48,0.09949814075394159,0.0454,98.56,1.0,0.985,0.3377,89.34,0.988,0.875
49,0.09960299565361842,0.045,98.6,1.0,0.986,0.3266,89.63,0.988,0.878
