epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.892311882801808,1.0831,67.76,0.929,0.668,1.4569,53.84,0.816,0.499
1,1.9918212518897107,1.3582,47.51,0.868,0.455,1.8102,31.5,0.752,0.279
2,1.0855773579476127,0.5027,82.14,0.982,0.814,0.4754,83.81,0.976,0.773
3,0.5495755372295242,0.3273,87.83,0.992,0.876,0.4688,83.51,0.976,0.747
4,0.35789685536135907,0.2312,91.84,0.994,0.92,0.3303,88.24,0.987,0.837
5,0.28127533111948266,0.1798,93.75,0.997,0.937,0.3125,88.63,0.989,0.825
6,0.2407743022994115,0.2498,92.09,0.997,0.917,0.5376,83.61,0.99,0.817
7,0.2185544412729988,0.1387,95.54,0.998,0.955,0.2372,91.43,0.992,0.867
8,0.1954098009641239,0.1122,96.61,0.999,0.966,0.2147,92.53,0.995,0.904
9,0.18657661263420378,0.1606,94.73,0.998,0.946,0.2359,91.47,0.996,0.882
10,0.17069511839912999,0.1065,96.7,0.999,0.967,0.2933,89.23,0.992,0.855
11,0.16126863454805693,0.1081,96.71,0.999,0.967,0.3279,88.09,0.989,0.852
12,0.1539762349378678,0.1221,96.01,0.999,0.96,0.2973,89.72,0.992,0.854
13,0.14651995138882737,0.0902,97.31,0.999,0.973,0.2045,92.66,0.993,0.897
14,0.14238396487248842,0.1011,96.87,0.999,0.969,0.209,92.93,0.996,0.909
15,0.1359581593290559,0.0953,96.81,0.999,0.968,0.2349,91.14,0.995,0.883
16,0.13273057052498435,0.1326,95.73,0.998,0.958,0.2628,91.35,0.993,0.88
17,0.12541653656510895,0.0932,97.1,0.999,0.971,0.2376,91.32,0.995,0.886
18,0.12080750237202345,0.0746,97.7,0.999,0.977,0.1935,92.39,0.995,0.897
19,0.12024175173746536,0.1141,96.27,0.999,0.962,0.4682,84.81,0.989,0.83
20,0.11332947088866144,0.0954,97.02,0.999,0.97,0.2617,91.05,0.994,0.893
21,0.1106856573359727,0.1077,96.55,0.999,0.965,0.2199,92.22,0.996,0.897
22,0.10559279791089476,0.1014,96.68,0.999,0.966,0.2816,90.15,0.996,0.866
23,0.10008488281372947,0.0668,97.85,0.999,0.978,0.2126,92.83,0.996,0.905
24,0.09807208295424191,0.0607,98.07,1.0,0.98,0.198,92.56,0.996,0.903
25,0.09092976831694177,0.0573,98.15,1.0,0.981,0.1811,93.26,0.997,0.9
26,0.08975953250742888,0.0657,97.86,1.0,0.978,0.1597,94.06,0.997,0.911
27,0.08438349078245808,0.0678,97.92,1.0,0.979,0.1753,93.73,0.997,0.915
28,0.08009283111921402,0.0633,98.05,1.0,0.98,0.2306,91.39,0.994,0.883
29,0.0795522157276403,0.0509,98.42,1.0,0.984,0.1488,94.22,0.997,0.913
30,0.07690142879202481,0.0503,98.36,1.0,0.984,0.1866,93.1,0.996,0.911
31,0.07072910368542677,0.0651,97.85,1.0,0.978,0.2204,91.87,0.996,0.883
32,0.06851578170373555,0.0523,98.28,1.0,0.983,0.1612,94.52,0.996,0.922
33,0.06585693580856193,0.0478,98.51,1.0,0.985,0.2028,93.4,0.996,0.915
34,0.06339439248672843,0.0431,98.66,1.0,0.986,0.1569,94.27,0.996,0.917
35,0.05763146148053228,0.0391,98.71,1.0,0.987,0.1541,94.52,0.997,0.924
36,0.056613510873462454,0.0457,98.75,1.0,0.988,0.1591,94.03,0.997,0.925
37,0.053414207450898636,0.0393,98.78,1.0,0.988,0.2082,92.52,0.995,0.9
38,0.04971782098053604,0.0383,98.8,1.0,0.988,0.1441,95.31,0.997,0.937
39,0.04607666945452118,0.0402,98.87,1.0,0.989,0.1362,95.41,0.998,0.939
40,0.04315224306250665,0.0452,98.9,1.0,0.989,0.1711,94.32,0.996,0.925
41,0.04232573041051466,0.0353,99.01,1.0,0.99,0.1813,94.32,0.996,0.925
42,0.04217009984564343,0.0349,99.03,1.0,0.99,0.1536,95.11,0.998,0.938
43,0.038484128849667676,0.0352,98.98,1.0,0.99,0.1529,94.68,0.997,0.929
44,0.035908850373893866,0.0321,99.06,1.0,0.99,0.187,93.54,0.996,0.918
45,0.03281765098192839,0.0327,99.09,1.0,0.991,0.1727,94.16,0.997,0.923
46,0.03423132106668473,0.0707,98.89,0.999,0.989,0.1597,94.69,0.997,0.93
47,0.03231809903971023,0.0851,98.81,0.998,0.988,0.1613,94.58,0.997,0.931
48,0.03203035083075311,0.0371,99.02,1.0,0.99,0.1605,94.41,0.997,0.926
49,0.03178039197659781,0.0331,99.08,1.0,0.991,0.1588,94.69,0.997,0.93
