epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.83144449739046,1.1013,63.02,0.919,0.618,1.2895,54.03,0.838,0.472
1,2.063092982042648,1.5262,34.41,0.832,0.268,1.7521,36.3,0.778,0.265
2,1.2624265071952643,0.7001,72.9,0.964,0.704,1.0073,63.89,0.942,0.571
3,0.6324924584144332,0.4124,84.66,0.988,0.831,0.5553,77.91,0.979,0.727
4,0.3979297701442968,0.2608,91.04,0.994,0.91,0.3789,85.0,0.984,0.811
5,0.30802736207041687,0.2062,93.58,0.996,0.935,0.3887,85.95,0.984,0.825
6,0.2675520806543289,0.2529,91.57,0.996,0.911,0.4122,85.85,0.983,0.81
7,0.23422370001166312,0.1535,95.35,0.997,0.953,0.2896,89.31,0.99,0.851
8,0.20971911392545187,0.1498,95.24,0.997,0.953,0.4654,84.56,0.982,0.811
9,0.19939927075819303,0.1663,94.06,0.998,0.94,0.2566,90.27,0.992,0.848
10,0.18312962883315634,0.1296,95.77,0.998,0.958,0.3467,89.45,0.987,0.865
11,0.17005520794660814,0.0996,96.94,0.999,0.969,0.3163,90.12,0.987,0.865
12,0.16648157377557088,0.0988,96.95,0.999,0.969,0.2901,90.34,0.991,0.88
13,0.1572138841220555,0.1061,96.65,0.999,0.966,0.2273,92.66,0.991,0.895
14,0.1511481708336261,0.1193,96.01,0.999,0.96,0.2923,89.83,0.993,0.856
15,0.14202870546729976,0.096,96.77,0.999,0.967,0.2471,91.2,0.991,0.874
16,0.14064829583249747,0.1116,96.39,0.999,0.963,0.27,90.48,0.99,0.879
17,0.12943096512654884,0.1089,96.52,0.999,0.964,0.3782,86.5,0.991,0.844
18,0.12875621022129144,0.0854,97.32,0.999,0.973,0.2623,90.84,0.99,0.879
19,0.12609310413453742,0.1224,95.84,0.999,0.958,0.3291,88.82,0.99,0.836
20,0.11911767028859653,0.0885,97.19,0.999,0.971,0.2793,89.78,0.991,0.864
21,0.11682782611579344,0.0769,97.42,0.999,0.974,0.2324,91.6,0.993,0.888
22,0.1100562931836239,0.0983,97.0,0.999,0.97,0.3678,86.55,0.991,0.827
23,0.10578309809021305,0.0653,97.96,0.999,0.98,0.245,91.66,0.993,0.888
24,0.1032089716905067,0.0663,97.98,0.999,0.979,0.2413,91.0,0.994,0.883
25,0.09642902696939139,0.0686,97.82,0.999,0.978,0.3223,89.15,0.988,0.86
26,0.09768829138542269,0.0713,97.81,0.999,0.978,0.1809,93.53,0.994,0.911
27,0.08921633785637262,0.0531,98.35,1.0,0.984,0.282,91.09,0.99,0.88
28,0.08646972686566386,0.0604,97.95,1.0,0.979,0.2347,91.85,0.991,0.885
29,0.08500160518065629,0.0586,98.04,1.0,0.98,0.2601,92.55,0.99,0.898
30,0.08293351133631069,0.0605,98.0,1.0,0.98,0.2765,92.48,0.99,0.899
31,0.07727717447151367,0.0461,98.64,1.0,0.986,0.2487,92.04,0.991,0.893
32,0.07237313439615578,0.0478,98.45,1.0,0.985,0.246,91.95,0.991,0.892
33,0.0705651414253512,0.0485,98.43,1.0,0.984,0.2047,92.85,0.993,0.902
34,0.06520797507203181,0.0454,98.54,1.0,0.985,0.2101,92.91,0.993,0.901
35,0.061790464587816736,0.0442,98.56,1.0,0.985,0.2202,92.17,0.994,0.89
36,0.06001152376240406,0.0427,98.67,1.0,0.987,0.2308,92.04,0.993,0.894
37,0.057854268529642656,0.0359,98.86,1.0,0.988,0.2075,93.24,0.994,0.905
38,0.05430083334158879,0.0355,98.84,1.0,0.988,0.1918,93.48,0.994,0.91
39,0.04933564913355642,0.0367,98.8,1.0,0.988,0.2071,92.99,0.994,0.909
40,0.047691364193462024,0.0345,98.93,1.0,0.989,0.2514,92.59,0.991,0.896
41,0.04554337832248873,0.0316,98.95,1.0,0.99,0.2466,92.5,0.992,0.9
42,0.04507041521083337,0.0292,99.07,1.0,0.991,0.2191,92.69,0.993,0.902
43,0.042279004064258385,0.0304,99.06,1.0,0.991,0.1994,93.08,0.994,0.907
44,0.03877943650715881,0.0292,99.05,1.0,0.99,0.2268,92.34,0.994,0.897
45,0.036504736737645226,0.0283,99.15,1.0,0.991,0.2095,93.02,0.994,0.906
46,0.03661895224050115,0.0279,99.14,1.0,0.991,0.2149,93.04,0.994,0.905
47,0.03397803956736213,0.0275,99.11,1.0,0.991,0.208,93.34,0.994,0.91
48,0.03452885554649443,0.0275,99.13,1.0,0.991,0.2086,93.16,0.994,0.907
49,0.034802079783238495,0.0271,99.12,1.0,0.991,0.2107,93.12,0.994,0.907
