epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.1705582541376884,1.3372,55.52,0.89,0.515,1.8036,35.24,0.779,0.307
1,1.9289262247769208,1.1824,56.16,0.894,0.54,1.1743,54.89,0.878,0.476
2,1.1083910624399835,0.5558,80.01,0.974,0.797,0.556,77.94,0.971,0.727
3,0.6142019525864646,0.4725,83.11,0.985,0.823,0.5537,80.2,0.975,0.748
4,0.4387752359005285,0.2951,89.08,0.994,0.888,0.3238,87.42,0.99,0.813
5,0.34532038854121305,0.2619,91.01,0.994,0.908,0.4461,83.53,0.981,0.8
6,0.30719350014002095,0.2331,92.75,0.995,0.929,0.456,84.08,0.981,0.802
7,0.2645233434401319,0.2236,92.03,0.996,0.919,0.3668,88.38,0.985,0.844
8,0.2371605361100807,0.1489,95.33,0.998,0.953,0.3259,88.3,0.989,0.845
9,0.22787885626904852,0.2033,92.52,0.997,0.924,0.2945,89.66,0.989,0.853
10,0.20661025346794223,0.1407,95.62,0.998,0.956,0.3244,89.61,0.987,0.859
11,0.202131167808581,0.1166,96.31,0.998,0.963,0.3151,89.42,0.989,0.857
12,0.1892316221696822,0.1233,96.14,0.998,0.961,0.4453,86.74,0.979,0.836
13,0.18385927941262936,0.1209,96.34,0.998,0.963,0.2997,91.5,0.987,0.885
14,0.1788167282204581,0.1125,96.31,0.998,0.963,0.2563,90.75,0.989,0.87
15,0.17413039851306159,0.11,96.44,0.999,0.964,0.3455,90.89,0.984,0.877
16,0.167964062383098,0.1389,95.4,0.998,0.954,0.3096,89.2,0.988,0.854
17,0.15938651015628197,0.1158,96.18,0.999,0.962,0.3945,87.95,0.984,0.839
18,0.1560312963180965,0.1006,96.78,0.999,0.967,0.2944,91.05,0.988,0.887
19,0.15616517071361824,0.1008,96.82,0.999,0.968,0.2989,90.83,0.99,0.883
20,0.14828544397801696,0.0887,97.11,0.999,0.97,0.3907,85.92,0.985,0.833
21,0.14573197586855793,0.0871,97.23,0.999,0.972,0.3158,90.59,0.988,0.877
22,0.13968351582152014,0.0931,96.94,0.999,0.969,0.4133,86.99,0.984,0.827
23,0.13605724638294575,0.0947,96.85,0.999,0.968,0.3068,90.51,0.989,0.874
24,0.1331171187702366,0.0862,97.41,0.999,0.974,0.3745,88.49,0.986,0.845
25,0.12837317924425806,0.0782,97.6,0.999,0.976,0.2801,90.65,0.991,0.879
26,0.12172351302211858,0.0752,97.67,0.999,0.976,0.346,88.46,0.989,0.846
27,0.12004387278884222,0.0791,97.37,0.999,0.974,0.3669,88.24,0.989,0.834
28,0.11713930186698727,0.0712,97.62,0.999,0.976,0.2732,90.92,0.991,0.875
29,0.11255272873760765,0.067,97.84,0.999,0.978,0.2393,92.06,0.992,0.889
30,0.10966490592981111,0.0627,97.95,1.0,0.979,0.2676,92.17,0.99,0.895
31,0.10550673910513467,0.073,97.57,0.999,0.976,0.2582,91.44,0.99,0.883
32,0.09892978735842264,0.0593,98.04,1.0,0.98,0.355,91.11,0.984,0.883
33,0.09493479977018036,0.0659,97.88,1.0,0.979,0.2299,92.52,0.992,0.894
34,0.09355933888144391,0.0598,98.14,1.0,0.981,0.2598,91.6,0.99,0.882
35,0.08852058406385149,0.0499,98.27,1.0,0.982,0.2275,92.78,0.992,0.904
36,0.08202922604410612,0.0523,98.38,1.0,0.984,0.2702,91.96,0.991,0.891
37,0.08093428619099133,0.0422,98.53,1.0,0.985,0.2471,92.26,0.991,0.895
38,0.07661764752486967,0.0459,98.49,1.0,0.985,0.2871,93.07,0.989,0.903
39,0.07229248847892528,0.0518,98.36,1.0,0.983,0.3355,91.6,0.989,0.891
40,0.06817988355854346,0.0824,98.26,0.998,0.982,0.4033,91.71,0.983,0.89
41,0.06550265323390723,0.0437,98.62,1.0,0.986,0.3235,92.23,0.988,0.894
42,0.0662248387371981,0.042,98.66,1.0,0.986,0.3271,92.17,0.989,0.893
43,0.06186758921278047,0.0405,98.69,1.0,0.987,0.3922,91.74,0.986,0.889
44,0.057828697521159406,0.0394,98.69,1.0,0.987,0.3821,91.98,0.986,0.892
45,0.05507522808908615,0.0367,98.8,1.0,0.988,0.3314,92.33,0.988,0.894
46,0.056562275198491885,0.0375,98.76,1.0,0.987,0.3401,92.36,0.988,0.894
47,0.05642724903400547,0.0369,98.77,1.0,0.988,0.3176,92.36,0.988,0.895
48,0.055288964271625524,0.0372,98.76,1.0,0.987,0.2985,92.4,0.989,0.895
49,0.05449265831961266,0.0377,98.76,1.0,0.987,0.4012,92.14,0.986,0.893
