epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8854889350552713,1.2564,56.01,0.91,0.544,1.4381,51.4,0.79,0.49
1,1.980914564542873,1.3646,48.21,0.867,0.436,2.0353,25.79,0.789,0.206
2,0.9084177808201869,0.3638,87.61,0.989,0.873,0.8981,71.64,0.954,0.659
3,0.5308204792092778,2.2775,64.36,0.901,0.644,1.1546,66.51,0.902,0.59
4,0.41802881025178457,0.2447,91.77,0.994,0.917,0.3815,86.88,0.982,0.811
5,0.3021003505662351,0.1776,94.86,0.997,0.948,0.346,88.6,0.986,0.85
6,0.2815839726224168,0.2403,92.87,0.996,0.925,0.4696,85.11,0.979,0.809
7,0.22353739790805352,0.1692,94.87,0.998,0.947,0.3366,89.26,0.987,0.853
8,0.20806945008509475,0.1431,95.48,0.998,0.955,0.4127,85.66,0.984,0.815
9,0.18749872883481364,0.1404,95.38,0.998,0.953,0.4705,83.88,0.981,0.786
10,0.18651588713102657,0.1115,96.43,0.999,0.964,0.391,88.5,0.98,0.836
11,0.17223547210109064,0.1087,96.54,0.999,0.965,0.3241,89.64,0.989,0.867
12,0.1561593257665207,0.113,96.49,0.999,0.964,0.2986,89.8,0.993,0.876
13,0.14628680022333257,0.1047,96.95,0.999,0.969,0.2474,91.57,0.993,0.887
14,0.14776372577073754,0.0933,96.98,0.999,0.969,0.3761,87.24,0.989,0.841
15,0.1364097871473827,0.0932,97.22,0.999,0.972,0.3118,89.31,0.99,0.862
16,0.13292661452111804,0.1149,96.15,0.999,0.962,0.3606,87.15,0.987,0.822
17,0.12423845812491405,0.08,97.48,0.999,0.975,0.3304,88.19,0.992,0.848
18,0.119146869300888,0.0787,97.54,0.999,0.975,0.3659,89.28,0.989,0.855
19,0.11501457730448374,0.0701,97.82,0.999,0.978,0.3497,87.9,0.989,0.843
20,0.11100056677001886,0.0763,97.64,0.999,0.976,0.2955,90.59,0.992,0.878
21,0.10815514278294365,0.0631,98.08,1.0,0.981,0.2445,91.22,0.995,0.892
22,0.10243977410351611,0.0671,97.95,0.999,0.979,0.2151,92.53,0.995,0.904
23,0.09862130062027057,0.0593,98.19,1.0,0.982,0.2827,90.23,0.992,0.869
24,0.09660191516855925,0.0649,98.12,1.0,0.981,0.2336,91.66,0.995,0.898
25,0.088961727403131,0.0586,98.26,1.0,0.982,0.3302,88.69,0.99,0.852
26,0.09183197043248616,0.0534,98.21,1.0,0.982,0.2365,90.98,0.994,0.883
27,0.08404026942921795,0.0534,98.39,1.0,0.984,0.3491,88.76,0.991,0.851
28,0.07975155267677533,0.0502,98.43,1.0,0.984,0.2922,91.14,0.993,0.884
29,0.07630526522962262,0.0708,97.74,0.999,0.977,0.3047,89.37,0.992,0.854
30,0.07678944087423731,0.0482,98.43,1.0,0.984,0.2794,89.7,0.993,0.867
31,0.070923196033351,0.0465,98.5,1.0,0.985,0.2103,93.05,0.996,0.917
32,0.066727317315543,0.0449,98.51,1.0,0.985,0.2189,92.53,0.995,0.906
33,0.06495369458237268,0.0471,98.54,1.0,0.985,0.2847,89.97,0.993,0.858
34,0.06306736256867167,0.0409,98.73,1.0,0.987,0.2234,91.8,0.995,0.889
35,0.057786129463437315,0.0391,98.77,1.0,0.988,0.2524,92.2,0.994,0.906
36,0.05477428566631076,0.038,98.78,1.0,0.988,0.3824,88.62,0.99,0.849
37,0.05205823734609617,0.0372,98.8,1.0,0.988,0.2843,90.67,0.993,0.884
38,0.04812983409451541,0.0338,98.98,1.0,0.99,0.2694,91.46,0.994,0.891
39,0.04626258992586672,0.035,98.83,1.0,0.988,0.2308,92.93,0.995,0.914
40,0.04346116640067602,0.0328,98.97,1.0,0.99,0.2898,91.58,0.993,0.902
41,0.041379589931271624,0.0323,98.96,1.0,0.989,0.2687,91.57,0.993,0.895
42,0.039720422536548644,0.0286,99.13,1.0,0.991,0.2869,91.13,0.994,0.892
43,0.038303195380382106,0.03,99.07,1.0,0.991,0.273,91.39,0.994,0.894
44,0.03537093596799987,0.0288,99.11,1.0,0.991,0.2844,91.06,0.993,0.89
45,0.03405261946688523,0.028,99.12,1.0,0.991,0.2857,91.47,0.993,0.897
46,0.034193442885740576,0.0279,99.12,1.0,0.991,0.2619,91.88,0.994,0.9
47,0.03235940865197596,0.0272,99.15,1.0,0.991,0.2732,91.46,0.994,0.894
48,0.03256875846875451,0.0274,99.13,1.0,0.991,0.2763,91.33,0.994,0.892
49,0.03155847111262888,0.0274,99.14,1.0,0.991,0.2789,91.25,0.994,0.891
