epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.522380966012196,1.9219,19.89,0.72,0.103,1.9708,28.26,0.676,0.151
1,2.163244764437385,2.6724,10.48,0.488,0.057,2.7919,15.65,0.579,0.077
2,1.8396285283095521,2.0548,28.73,0.692,0.248,1.7964,28.88,0.756,0.274
3,1.0011888697583189,0.5164,82.09,0.977,0.817,0.595,79.14,0.968,0.74
4,0.5485789501325204,0.3904,86.02,0.987,0.859,0.5564,79.46,0.97,0.737
5,0.4190396023747314,0.2974,89.3,0.993,0.888,0.3394,87.05,0.986,0.821
6,0.36036113307787954,0.248,91.7,0.994,0.917,0.4111,86.01,0.982,0.815
7,0.3207514401672134,0.2022,93.34,0.996,0.933,0.2995,89.33,0.988,0.852
8,0.28637110305729735,0.2084,92.92,0.995,0.929,0.4486,83.93,0.977,0.787
9,0.26956012160066634,0.2193,92.48,0.996,0.923,0.3385,87.48,0.987,0.834
10,0.25015871959160946,0.1808,93.8,0.996,0.939,0.4676,84.6,0.98,0.812
11,0.23556288375809628,0.1578,95.09,0.997,0.951,0.33,89.22,0.988,0.856
12,0.22796967877976357,0.1522,95.12,0.998,0.952,0.3687,88.74,0.987,0.849
13,0.21819518859027534,0.129,95.69,0.998,0.957,0.2737,90.42,0.99,0.868
14,0.21222096397190965,0.1544,95.12,0.998,0.95,0.424,84.84,0.989,0.811
15,0.20538022664232067,0.1652,94.54,0.998,0.944,0.2828,89.66,0.992,0.866
16,0.19571385882447698,0.1454,95.08,0.998,0.951,0.3401,87.9,0.987,0.839
17,0.1896077954881294,0.126,96.1,0.998,0.961,0.4064,87.86,0.983,0.835
18,0.1838664686354044,0.1197,96.13,0.998,0.962,0.389,87.6,0.987,0.832
19,0.18091183135746627,0.1236,96.0,0.999,0.959,0.332,88.25,0.989,0.851
20,0.17386788763372915,0.1043,96.71,0.999,0.967,0.3044,88.92,0.99,0.853
21,0.1672120592339919,0.1221,96.15,0.999,0.961,0.2953,89.56,0.991,0.856
22,0.16416875908558515,0.0972,96.94,0.999,0.969,0.3175,88.99,0.989,0.857
23,0.15664561004060784,0.1039,96.59,0.999,0.965,0.3592,89.48,0.988,0.865
24,0.15349885139707808,0.0909,97.19,0.999,0.972,0.2949,89.74,0.99,0.864
25,0.14916340431271916,0.0839,97.51,0.999,0.975,0.2425,91.58,0.993,0.885
26,0.14569338558635617,0.0821,97.48,0.999,0.975,0.3217,89.26,0.991,0.865
27,0.13943720666364529,0.0981,96.82,0.999,0.968,0.3703,86.06,0.985,0.813
28,0.1335176011033383,0.0813,97.51,0.999,0.975,0.2737,90.57,0.991,0.878
29,0.1317597494116821,0.077,97.63,0.999,0.976,0.2662,91.17,0.991,0.877
30,0.12822281695421664,0.0697,97.8,0.999,0.978,0.4199,87.68,0.985,0.844
31,0.1231548256411027,0.0756,97.67,0.999,0.977,0.301,89.31,0.99,0.859
32,0.11802322840431578,0.0696,97.87,0.999,0.979,0.3457,90.59,0.988,0.871
33,0.11556900366740201,0.0679,97.85,0.999,0.978,0.2942,91.63,0.989,0.886
34,0.10975232604210095,0.064,98.14,0.999,0.981,0.3211,90.53,0.989,0.865
35,0.10574982924500353,0.0588,98.21,1.0,0.982,0.312,89.82,0.989,0.855
36,0.10142186400897828,0.0602,98.17,0.999,0.981,0.3841,88.69,0.987,0.845
37,0.09915826611861747,0.0586,98.23,1.0,0.982,0.3168,90.68,0.988,0.873
38,0.09345114809931607,0.0592,98.27,1.0,0.982,0.2642,92.1,0.992,0.891
39,0.0894480753626581,0.0555,98.21,1.0,0.982,0.2929,90.86,0.991,0.883
40,0.08770109680531327,0.0514,98.41,1.0,0.984,0.3135,91.49,0.988,0.885
41,0.08175808504410756,0.0512,98.45,1.0,0.984,0.2997,91.46,0.99,0.88
42,0.0813971291660034,0.0473,98.49,1.0,0.985,0.2813,91.33,0.991,0.884
43,0.0794765418528923,0.0473,98.58,1.0,0.986,0.2847,91.66,0.99,0.888
44,0.07533729954799603,0.0469,98.51,1.0,0.985,0.3197,91.03,0.989,0.88
45,0.07018295516790722,0.0449,98.65,1.0,0.986,0.2784,92.03,0.991,0.89
46,0.07134582496024534,0.0447,98.62,1.0,0.986,0.2823,92.12,0.991,0.895
47,0.07032097419256537,0.0443,98.61,1.0,0.986,0.2904,91.69,0.99,0.889
48,0.06991047845939742,0.0436,98.64,1.0,0.986,0.2969,91.54,0.99,0.888
49,0.06891006968020859,0.0432,98.67,1.0,0.986,0.301,91.68,0.99,0.889
