epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5925190991398255,2.0752,16.17,0.599,0.037,2.1164,19.47,0.543,0.041
1,2.234585250577619,1.9824,19.89,0.664,0.097,2.0343,18.21,0.593,0.059
2,2.0714797101994997,1.7971,27.82,0.736,0.198,2.0096,18.63,0.72,0.068
3,1.8727758535347532,1.7329,37.43,0.786,0.317,1.7775,37.0,0.784,0.298
4,1.3355779694827228,0.7906,70.94,0.95,0.697,0.832,68.36,0.939,0.633
5,0.9289282928871853,0.6079,78.19,0.969,0.77,0.7701,75.21,0.954,0.696
6,0.7289870371741634,0.3629,87.35,0.988,0.874,0.5391,79.22,0.975,0.756
7,0.629391361842446,0.376,86.64,0.988,0.86,0.5187,82.28,0.973,0.764
8,0.5696851225523111,0.2945,89.71,0.991,0.895,0.4917,81.71,0.977,0.777
9,0.5244882956521059,0.3913,86.6,0.989,0.86,0.7754,75.34,0.962,0.689
10,0.48047451140846403,0.2479,91.46,0.995,0.915,0.4711,82.91,0.983,0.803
11,0.44956183962283597,0.2169,92.9,0.995,0.929,0.4793,83.59,0.98,0.801
12,0.4265433413420527,0.2088,92.96,0.996,0.93,0.4702,83.53,0.98,0.788
13,0.40617171076784,0.2111,93.13,0.996,0.931,0.4889,84.02,0.978,0.81
14,0.39382129739369115,0.2043,93.4,0.996,0.932,0.4418,84.37,0.987,0.792
15,0.37942741349286074,0.1894,93.57,0.997,0.936,0.3354,87.62,0.984,0.83
16,0.3717294703087499,0.2123,92.63,0.996,0.927,0.4362,84.53,0.981,0.797
17,0.35837121401315947,0.1668,94.42,0.997,0.944,0.4454,85.14,0.984,0.804
18,0.34934218313318,0.1715,94.55,0.997,0.944,0.4443,85.08,0.981,0.811
19,0.33961345824182676,0.1611,94.43,0.997,0.943,0.3777,86.33,0.985,0.825
20,0.3287572727728916,0.1394,95.55,0.998,0.955,0.3744,87.46,0.985,0.831
21,0.32181853923853154,0.1382,95.45,0.998,0.953,0.3555,88.13,0.987,0.849
22,0.3117443049680375,0.1388,95.51,0.998,0.954,0.3747,87.16,0.985,0.829
23,0.30958352187201116,0.1341,95.67,0.998,0.956,0.441,86.45,0.982,0.826
24,0.29823296506451874,0.1369,95.77,0.998,0.958,0.3621,88.84,0.987,0.853
25,0.28809077738647393,0.1402,95.4,0.998,0.953,0.3668,87.79,0.986,0.846
26,0.284329998303592,0.124,96.01,0.998,0.96,0.3752,87.08,0.987,0.835
27,0.2790403765589533,0.1207,96.1,0.998,0.961,0.3577,88.43,0.985,0.845
28,0.2684326549744948,0.1191,96.3,0.998,0.963,0.3247,90.19,0.988,0.866
29,0.2651970494925762,0.1096,96.54,0.999,0.965,0.3286,90.87,0.989,0.876
30,0.2607601239048879,0.1056,96.44,0.999,0.964,0.4363,87.97,0.983,0.845
31,0.2484082847726815,0.0974,96.89,0.999,0.969,0.2995,90.08,0.989,0.871
32,0.2459300450286344,0.1006,96.78,0.999,0.968,0.3531,88.57,0.985,0.851
33,0.2403915791128058,0.0897,97.14,0.999,0.971,0.3875,88.85,0.983,0.852
34,0.23408147464356116,0.0978,96.96,0.999,0.969,0.3522,88.28,0.989,0.838
35,0.22124579785171375,0.0936,97.1,0.999,0.97,0.3442,89.22,0.988,0.861
36,0.21846323580511154,0.0864,97.37,0.999,0.973,0.2864,90.79,0.99,0.879
37,0.21388356418993096,0.0805,97.48,0.999,0.974,0.3074,90.48,0.987,0.876
38,0.21198384876372994,0.0758,97.6,0.999,0.976,0.2422,91.87,0.992,0.891
39,0.20139670988885305,0.0784,97.58,0.999,0.976,0.3303,89.42,0.987,0.862
40,0.19425953019370315,0.074,97.66,0.999,0.977,0.3284,90.29,0.987,0.876
41,0.18955600989388308,0.0706,97.84,0.999,0.978,0.3195,90.27,0.988,0.875
42,0.18761717927338403,0.0697,97.89,0.999,0.979,0.273,90.86,0.99,0.877
43,0.1787540020494585,0.0677,97.93,0.999,0.979,0.3015,90.7,0.988,0.877
44,0.17790373159726033,0.0657,97.94,0.999,0.979,0.3292,90.72,0.987,0.878
45,0.1742260894975141,0.0671,97.9,0.999,0.979,0.3199,90.83,0.988,0.879
46,0.170784615260619,0.0652,97.9,0.999,0.979,0.285,90.95,0.99,0.879
47,0.16845690246711495,0.0658,97.92,0.999,0.979,0.3013,90.94,0.989,0.882
48,0.1681926843232899,0.0651,97.93,0.999,0.979,0.316,90.68,0.988,0.879
49,0.16543646646817098,0.0638,97.95,0.999,0.979,0.3126,90.86,0.988,0.879
