epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5783506473760025,1.9249,18.91,0.72,0.088,2.106,19.53,0.646,0.099
1,2.1587790443051245,1.8101,36.3,0.768,0.315,1.6674,41.45,0.794,0.328
2,1.3926685595597845,0.6537,75.92,0.963,0.758,0.7124,73.99,0.957,0.691
3,0.76638871933397,0.3875,86.22,0.986,0.863,0.5193,81.68,0.972,0.752
4,0.5586023440177296,0.3027,88.75,0.993,0.882,0.3619,86.52,0.985,0.809
5,0.47516374818740353,0.2877,89.19,0.994,0.886,0.4772,82.39,0.979,0.767
6,0.4215755768948131,0.2273,92.98,0.995,0.929,0.45,84.37,0.98,0.811
7,0.3834873671546632,0.1918,93.72,0.996,0.937,0.3566,86.22,0.983,0.813
8,0.3641393886725535,0.1887,93.77,0.996,0.938,0.3788,85.28,0.984,0.805
9,0.3406409080737808,0.2223,92.55,0.996,0.925,0.3828,86.36,0.982,0.823
10,0.32106942934481475,0.1558,94.99,0.997,0.95,0.3899,87.19,0.985,0.841
11,0.3092202679337566,0.1458,95.39,0.997,0.955,0.3998,86.83,0.985,0.824
12,0.2967989749966129,0.1614,94.91,0.997,0.949,0.3767,87.32,0.986,0.845
13,0.2843893112941882,0.1487,95.37,0.998,0.953,0.4411,85.55,0.979,0.818
14,0.27542637651752827,0.1478,95.53,0.998,0.955,0.3656,86.75,0.985,0.827
15,0.274674880381767,0.1828,93.77,0.998,0.937,0.3465,87.34,0.987,0.824
16,0.26802047694562586,0.1774,94.02,0.997,0.94,0.3432,88.05,0.987,0.843
17,0.25564443354751903,0.1433,95.34,0.998,0.954,0.4565,84.23,0.987,0.795
18,0.24961877050792872,0.1251,95.92,0.998,0.959,0.378,87.95,0.985,0.844
19,0.24341926989429313,0.1178,96.21,0.998,0.962,0.43,86.04,0.982,0.828
20,0.23645002393579398,0.1199,96.26,0.998,0.962,0.3964,86.28,0.987,0.826
21,0.2331076343426995,0.0928,97.06,0.999,0.971,0.3341,88.95,0.987,0.853
22,0.22489042208933915,0.1087,96.56,0.999,0.965,0.4816,83.85,0.981,0.796
23,0.21993437932810903,0.0968,97.08,0.999,0.971,0.4037,86.89,0.983,0.818
24,0.21292411507938497,0.1038,96.67,0.999,0.966,0.4237,85.63,0.984,0.829
25,0.20695346012364366,0.0978,96.92,0.999,0.969,0.4002,88.71,0.986,0.854
26,0.2054610869656968,0.0902,97.02,0.999,0.97,0.3685,88.47,0.984,0.857
27,0.19942827915312142,0.112,96.39,0.999,0.964,0.4191,85.44,0.984,0.799
28,0.1919540221732791,0.0902,97.19,0.999,0.972,0.3392,88.98,0.987,0.855
29,0.18968490230780777,0.0821,97.47,0.999,0.974,0.3384,88.79,0.986,0.858
30,0.18425890858081506,0.0842,97.4,0.999,0.974,0.4607,86.91,0.98,0.837
31,0.17636509345824358,0.0724,97.74,0.999,0.977,0.3876,88.05,0.983,0.853
32,0.1735874544094754,0.0801,97.5,0.999,0.975,0.3231,89.55,0.988,0.86
33,0.17019863119582548,0.0694,97.95,0.999,0.979,0.3428,89.97,0.985,0.872
34,0.1616874187450362,0.0665,98.03,0.999,0.98,0.3424,89.45,0.988,0.86
35,0.1596318155220012,0.0583,98.29,0.999,0.983,0.3709,88.24,0.988,0.846
36,0.15460097173555992,0.0667,98.08,0.999,0.981,0.3486,89.97,0.987,0.871
37,0.14799569893668416,0.0597,98.22,1.0,0.982,0.3761,88.41,0.986,0.855
38,0.144222071788217,0.0568,98.33,1.0,0.983,0.3289,90.68,0.988,0.882
39,0.13967411101905888,0.0551,98.34,1.0,0.983,0.3496,89.45,0.987,0.866
40,0.13438116283052498,0.0522,98.47,1.0,0.985,0.3413,90.08,0.986,0.868
41,0.12932791006100433,0.0534,98.43,1.0,0.984,0.3196,90.26,0.989,0.871
42,0.12745016717141675,0.0513,98.51,1.0,0.985,0.3426,89.75,0.987,0.863
43,0.1250435079124132,0.0506,98.47,1.0,0.985,0.3527,89.66,0.987,0.867
44,0.12012326900970764,0.0468,98.55,1.0,0.985,0.3699,89.5,0.986,0.866
45,0.12073874197179271,0.0478,98.55,1.0,0.985,0.3194,90.49,0.988,0.875
46,0.11487279943187177,0.0484,98.56,1.0,0.985,0.2974,90.76,0.989,0.878
47,0.11448703102740763,0.0474,98.61,1.0,0.986,0.3182,90.48,0.988,0.878
48,0.11214965116566442,0.0464,98.61,1.0,0.986,0.3348,90.24,0.987,0.875
49,0.11196450008526712,0.0459,98.63,1.0,0.986,0.3311,90.45,0.988,0.876
