epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5908350790700605,2.1328,28.06,0.699,0.157,2.0076,18.65,0.702,0.109
1,2.1846127781389435,1.8631,24.65,0.711,0.166,1.8559,32.61,0.738,0.219
2,1.4890430532262318,1.7324,41.54,0.856,0.376,1.4122,50.01,0.891,0.43
3,0.757227312493068,0.4382,83.98,0.984,0.836,0.4462,83.99,0.975,0.787
4,0.47894322813411766,0.2895,89.73,0.992,0.896,0.321,87.64,0.987,0.833
5,0.39702614359424104,0.2885,89.95,0.992,0.898,0.5125,80.17,0.977,0.77
6,0.34851875385823644,0.2255,92.55,0.995,0.924,0.5622,80.61,0.974,0.774
7,0.31515704819058005,0.2129,92.87,0.996,0.928,0.33,87.78,0.985,0.837
8,0.28815851090843103,0.1839,93.6,0.996,0.937,0.3428,88.05,0.986,0.847
9,0.27476619551205295,0.216,92.52,0.996,0.924,0.3325,88.24,0.985,0.839
10,0.2576958754610631,0.1618,94.67,0.997,0.948,0.333,89.17,0.987,0.855
11,0.24906413287832319,0.1643,94.75,0.997,0.948,0.4649,83.93,0.982,0.801
12,0.23454149062060967,0.1447,95.4,0.998,0.954,0.4235,88.03,0.985,0.853
13,0.22374586756992085,0.1629,94.76,0.997,0.947,0.4847,85.98,0.977,0.819
14,0.21894206322969928,0.1291,95.83,0.998,0.958,0.3286,89.42,0.987,0.86
15,0.21060995995250653,0.1315,95.73,0.998,0.957,0.2781,90.45,0.989,0.867
16,0.2051009510687175,0.2119,92.71,0.997,0.927,0.3696,87.59,0.984,0.826
17,0.19907696926332075,0.1437,95.28,0.998,0.951,0.294,89.67,0.99,0.858
18,0.19448208616625878,0.1269,95.94,0.998,0.959,0.3527,88.28,0.984,0.848
19,0.18882095135454635,0.1272,95.77,0.998,0.957,0.3909,86.94,0.983,0.842
20,0.18304841385947335,0.1183,96.05,0.998,0.96,0.3455,88.47,0.987,0.854
21,0.17825616136406913,0.1177,96.02,0.999,0.96,0.4133,86.14,0.98,0.82
22,0.17100579798301702,0.1538,95.02,0.998,0.949,0.6495,79.11,0.974,0.75
23,0.1655018971064612,0.1048,96.49,0.999,0.965,0.3231,88.93,0.987,0.852
24,0.15991003913504462,0.0959,97.05,0.999,0.97,0.4063,89.52,0.981,0.859
25,0.15531692941636382,0.0915,97.19,0.999,0.971,0.385,88.57,0.987,0.845
26,0.15309191423077737,0.0876,97.21,0.999,0.972,0.3674,88.93,0.986,0.854
27,0.14317135342587067,0.1107,96.29,0.999,0.963,0.4272,85.79,0.982,0.807
28,0.1457065531456556,0.0918,97.13,0.999,0.971,0.396,90.1,0.983,0.865
29,0.13565910460033512,0.0931,96.84,0.999,0.968,0.2573,90.98,0.99,0.874
30,0.13516576727685323,0.073,97.8,0.999,0.978,0.4756,87.19,0.98,0.834
31,0.1282495698928299,0.0905,97.1,0.999,0.971,0.3717,88.8,0.985,0.855
32,0.12313766212713334,0.0731,97.62,0.999,0.976,0.4596,86.03,0.986,0.823
33,0.12033433504869968,0.0736,97.7,0.999,0.977,0.3044,91.09,0.988,0.88
34,0.11463305593792042,0.0658,97.9,0.999,0.979,0.2961,91.32,0.989,0.882
35,0.11055753157410678,0.0628,98.08,1.0,0.98,0.4051,89.14,0.985,0.858
36,0.10750899083017769,0.0653,97.94,0.999,0.979,0.3043,90.49,0.989,0.875
37,0.10537382751356103,0.0563,98.34,1.0,0.983,0.3422,90.76,0.985,0.875
38,0.09778802838229898,0.0545,98.22,1.0,0.982,0.3013,91.66,0.989,0.886
39,0.09517699720398072,0.053,98.34,1.0,0.983,0.3714,88.76,0.985,0.862
40,0.09109315165655694,0.0543,98.3,1.0,0.983,0.3226,90.97,0.986,0.878
41,0.08551572084486965,0.0531,98.4,1.0,0.984,0.3474,90.84,0.986,0.876
42,0.08452035522916251,0.0476,98.52,1.0,0.985,0.3247,91.0,0.988,0.878
43,0.07915222479070547,0.0494,98.52,1.0,0.985,0.3433,90.56,0.987,0.876
44,0.07730475812649695,0.0478,98.55,1.0,0.985,0.3652,90.05,0.986,0.872
45,0.07630081941276842,0.0473,98.47,1.0,0.985,0.3421,90.75,0.987,0.878
46,0.07556379480307461,0.0455,98.57,1.0,0.986,0.3259,91.11,0.988,0.883
47,0.07239621473596461,0.046,98.53,1.0,0.985,0.3184,90.84,0.988,0.88
48,0.07385523185320866,0.0453,98.56,1.0,0.985,0.3266,90.73,0.987,0.879
49,0.07131681133121733,0.0448,98.6,1.0,0.986,0.3289,90.84,0.988,0.879
