epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.4990098100409286,1.9143,26.39,0.68,0.227,2.0666,16.61,0.629,0.153
1,2.1834848926913355,1.868,22.63,0.709,0.153,2.0374,26.81,0.675,0.147
2,1.8689760443984822,1.88,31.2,0.749,0.291,1.4759,45.9,0.807,0.345
3,1.077529471300836,0.7505,74.1,0.963,0.726,0.8608,71.66,0.946,0.665
4,0.5694820137968201,0.3271,88.92,0.99,0.888,0.4717,80.2,0.978,0.758
5,0.41040287762346234,0.2874,90.13,0.993,0.899,0.5464,80.63,0.973,0.774
6,0.3446307057868623,0.2208,92.78,0.995,0.928,0.4858,83.81,0.979,0.806
7,0.30809388849149894,0.188,93.8,0.996,0.938,0.4227,86.29,0.981,0.815
8,0.27890943603650215,0.1924,93.55,0.996,0.936,0.4326,86.18,0.979,0.816
9,0.26305498622064094,0.2452,91.43,0.995,0.912,0.3892,85.93,0.984,0.812
10,0.24651062901141824,0.1774,94.25,0.996,0.943,0.3203,88.84,0.986,0.847
11,0.23225121716818503,0.1435,95.45,0.998,0.955,0.4916,84.59,0.979,0.807
12,0.22484763050752302,0.181,94.23,0.997,0.941,0.4336,86.85,0.984,0.831
13,0.21258166818262,0.1616,94.65,0.998,0.946,0.487,85.71,0.979,0.817
14,0.20826446680238597,0.1413,95.39,0.998,0.953,0.331,88.71,0.989,0.85
15,0.201269437468821,0.1466,95.19,0.998,0.951,0.364,87.9,0.986,0.841
16,0.19398770994076164,0.1484,94.9,0.998,0.949,0.3239,87.79,0.988,0.84
17,0.18727964910555056,0.1286,95.85,0.998,0.959,0.4114,87.97,0.985,0.84
18,0.18001038566445365,0.1316,95.67,0.998,0.956,0.3953,86.89,0.986,0.829
19,0.17829883001798155,0.118,96.18,0.998,0.961,0.354,86.94,0.988,0.833
20,0.16999963950031974,0.1236,95.94,0.998,0.959,0.3877,87.6,0.983,0.845
21,0.16532904443107413,0.1025,96.66,0.999,0.967,0.3272,89.66,0.987,0.861
22,0.15724920092224007,0.1257,95.9,0.998,0.958,0.7162,82.01,0.971,0.778
23,0.1525660446881714,0.1124,96.32,0.999,0.963,0.3074,89.59,0.99,0.86
24,0.14830548048526795,0.092,97.09,0.999,0.971,0.3528,88.02,0.986,0.841
25,0.14245158966670754,0.0942,96.88,0.999,0.968,0.3549,89.28,0.988,0.856
26,0.1415180171302463,0.0822,97.39,0.999,0.974,0.337,88.84,0.988,0.85
27,0.13125102775418415,0.0884,97.31,0.999,0.973,0.3711,87.87,0.987,0.838
28,0.13403093271411448,0.0932,97.11,0.999,0.971,0.3155,90.83,0.988,0.876
29,0.12440018832523336,0.0826,97.34,0.999,0.973,0.2828,90.97,0.989,0.873
30,0.12498766125770666,0.0764,97.52,0.999,0.975,0.4266,87.07,0.983,0.836
31,0.11703115916981172,0.0702,97.8,0.999,0.978,0.3308,90.18,0.987,0.872
32,0.11290046599389832,0.0795,97.45,0.999,0.974,0.4859,87.05,0.981,0.837
33,0.1105407039888577,0.0636,97.95,0.999,0.979,0.3673,89.82,0.985,0.874
34,0.10536835235493477,0.0614,98.19,1.0,0.982,0.2737,91.71,0.991,0.885
35,0.10102876167624228,0.0573,98.24,1.0,0.982,0.3187,91.08,0.988,0.88
36,0.09872904620851027,0.0631,98.1,1.0,0.981,0.3043,90.12,0.989,0.866
37,0.09607247052894484,0.0529,98.39,1.0,0.984,0.3288,90.97,0.987,0.876
38,0.09045690338471137,0.0519,98.37,1.0,0.984,0.3226,91.02,0.989,0.876
39,0.08692391672068173,0.0508,98.46,1.0,0.984,0.3547,91.17,0.985,0.882
40,0.08389857387016644,0.0505,98.45,1.0,0.984,0.3231,90.97,0.987,0.877
41,0.0780196199160216,0.0482,98.55,1.0,0.985,0.3685,90.76,0.985,0.874
42,0.07590326538649939,0.0475,98.56,1.0,0.985,0.2989,91.62,0.989,0.885
43,0.07201780977335134,0.0455,98.6,1.0,0.986,0.3414,91.09,0.988,0.879
44,0.07056484007740586,0.0432,98.67,1.0,0.987,0.3642,90.84,0.986,0.878
45,0.06919022614309918,0.0443,98.6,1.0,0.986,0.305,91.96,0.99,0.889
46,0.06808147501320608,0.0438,98.61,1.0,0.986,0.3263,91.54,0.988,0.886
47,0.06639879203391491,0.0442,98.62,1.0,0.986,0.3255,91.43,0.988,0.885
48,0.06611558175929505,0.0431,98.66,1.0,0.986,0.3477,91.27,0.987,0.883
49,0.06422466302030189,0.0424,98.71,1.0,0.987,0.3443,91.39,0.988,0.885
