epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7277780267072835,0.8929,68.05,0.942,0.676,1.5301,43.19,0.849,0.415
1,2.0267387940464907,1.2088,53.69,0.873,0.524,1.7318,31.6,0.779,0.289
2,1.0754857517271486,0.5866,78.67,0.973,0.778,0.7964,73.68,0.917,0.658
3,0.539370956493535,0.7861,70.26,0.964,0.707,1.3662,48.62,0.915,0.438
4,0.35968765125052476,0.2758,90.56,0.993,0.906,0.7211,76.06,0.943,0.699
5,0.2829348366961257,0.1725,94.43,0.997,0.943,0.3488,88.38,0.984,0.829
6,0.24607577166890585,0.725,81.66,0.974,0.824,0.6237,81.51,0.97,0.748
7,0.21766426211296444,0.1266,96.09,0.998,0.961,0.3186,89.1,0.988,0.834
8,0.19279327412473043,0.1666,94.52,0.997,0.946,0.3698,86.7,0.986,0.824
9,0.17892265971416213,0.1277,95.87,0.998,0.958,0.2884,90.3,0.99,0.848
10,0.1635084377708561,0.1459,95.08,0.998,0.952,0.3396,88.68,0.989,0.831
11,0.15311336011282003,0.1154,96.26,0.999,0.963,0.4048,87.0,0.987,0.837
12,0.14982113963173282,0.1146,96.36,0.999,0.963,0.3918,88.55,0.983,0.843
13,0.13919612083009922,0.2216,92.2,0.997,0.923,0.4016,88.52,0.988,0.843
14,0.13550956622033136,0.1262,95.83,0.999,0.956,0.3099,88.65,0.992,0.845
15,0.12752322544507336,0.0937,97.05,0.999,0.97,0.3136,88.87,0.991,0.857
16,0.12434789216593176,0.1208,96.06,0.999,0.961,0.2939,90.07,0.991,0.873
17,0.11684501230195966,0.0929,96.91,0.999,0.969,0.434,85.41,0.987,0.812
18,0.11164363932305126,0.1083,96.42,0.999,0.964,0.3907,86.89,0.987,0.808
19,0.11025909767369323,0.0831,97.34,0.999,0.973,0.4832,86.72,0.983,0.832
20,0.10461840067913349,0.0758,97.74,0.999,0.977,0.329,88.69,0.988,0.847
21,0.10167622121591721,0.0668,97.89,0.999,0.979,0.4056,90.38,0.981,0.858
22,0.09429150097419284,0.08,97.44,0.999,0.974,0.4112,85.82,0.989,0.823
23,0.09237401416745558,0.0586,98.07,1.0,0.98,0.268,91.06,0.992,0.88
24,0.0895165689523235,0.0706,97.86,0.999,0.978,0.3794,90.05,0.983,0.865
25,0.08312972147671979,0.0605,98.18,0.999,0.981,0.3523,88.65,0.987,0.837
26,0.08231416837008516,0.0548,98.31,1.0,0.983,0.2777,90.48,0.991,0.863
27,0.07980369074824249,0.0546,98.34,1.0,0.983,0.2471,91.49,0.993,0.873
28,0.0747232764398539,0.0551,98.25,1.0,0.983,0.305,89.47,0.989,0.851
29,0.07082869706668735,0.0508,98.32,1.0,0.983,0.4187,91.17,0.973,0.865
30,0.07195545586433569,0.0498,98.46,1.0,0.984,0.2559,91.9,0.991,0.88
31,0.06548738248953362,0.0523,98.41,1.0,0.984,0.2592,90.97,0.992,0.868
32,0.06327442088795285,0.0474,98.45,1.0,0.984,0.3679,90.16,0.985,0.853
33,0.059343843500540464,0.0453,98.62,1.0,0.986,0.2779,91.6,0.99,0.868
34,0.0564326389115237,0.0467,98.47,1.0,0.985,0.2346,93.35,0.991,0.892
35,0.05189122494617243,0.0405,98.73,1.0,0.987,0.336,90.45,0.989,0.861
36,0.049832629295246254,0.0359,98.89,1.0,0.989,0.3307,90.54,0.99,0.859
37,0.048978320221119566,0.0345,98.95,1.0,0.989,0.1973,93.13,0.995,0.902
38,0.04452275432893292,0.0345,98.83,1.0,0.988,0.2869,93.0,0.988,0.889
39,0.044115860203755054,0.0342,98.99,1.0,0.99,0.2573,92.58,0.992,0.883
40,0.04089666409651652,0.0298,99.03,1.0,0.99,0.3447,91.87,0.986,0.875
41,0.037673150013972034,0.03,99.02,1.0,0.99,0.3252,91.24,0.989,0.871
42,0.03640686141120063,0.0275,99.17,1.0,0.992,0.3074,92.2,0.989,0.884
43,0.035183678910229686,0.0288,99.09,1.0,0.991,0.2851,92.85,0.99,0.887
44,0.03246553638936638,0.0271,99.18,1.0,0.992,0.3147,91.57,0.989,0.875
45,0.030163542849869603,0.0268,99.15,1.0,0.991,0.2712,92.37,0.991,0.879
46,0.030479870753289336,0.0267,99.18,1.0,0.992,0.3013,92.33,0.99,0.88
47,0.028759238792509908,0.0268,99.18,1.0,0.992,0.3016,92.42,0.99,0.882
48,0.028811194860513277,0.0262,99.19,1.0,0.992,0.2941,92.22,0.99,0.88
49,0.02810310013258436,0.0263,99.21,1.0,0.992,0.3038,92.29,0.989,0.88
