epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.068070825923728,1.2306,58.28,0.898,0.543,1.5483,47.69,0.82,0.421
1,2.145750940700586,1.7382,29.13,0.783,0.214,1.9193,25.75,0.781,0.173
2,1.5755313752372633,0.9827,63.32,0.937,0.607,0.8917,67.58,0.936,0.621
3,0.881233767155678,0.4337,84.94,0.985,0.843,0.5459,80.58,0.971,0.743
4,0.5651069575633627,0.3335,88.23,0.99,0.881,0.3883,85.36,0.983,0.814
5,0.4255004850980629,0.2871,89.76,0.994,0.895,0.3039,89.53,0.989,0.861
6,0.3511052639841179,0.2234,92.71,0.995,0.925,0.3953,85.66,0.987,0.818
7,0.31142017322735976,0.1634,94.68,0.997,0.947,0.3154,88.5,0.988,0.845
8,0.2843207449495365,0.1482,95.05,0.997,0.951,0.3536,86.5,0.985,0.812
9,0.26182993697703527,0.1429,95.21,0.998,0.952,0.2074,92.22,0.994,0.889
10,0.2508539547309226,0.1331,95.82,0.998,0.958,0.2344,90.56,0.992,0.865
11,0.23422644850814642,0.1397,95.43,0.998,0.955,0.4129,85.5,0.985,0.816
12,0.22284362638723038,0.1075,96.61,0.999,0.966,0.2911,89.78,0.992,0.873
13,0.2122528641401226,0.109,96.69,0.998,0.967,0.2892,90.6,0.989,0.87
14,0.21007350557166615,0.1031,96.76,0.999,0.967,0.2588,91.13,0.992,0.875
15,0.19920308811850446,0.1138,96.16,0.999,0.962,0.2243,92.03,0.995,0.901
16,0.19512998042995358,0.1022,96.67,0.999,0.967,0.3661,87.27,0.988,0.818
17,0.18497548144858156,0.0955,97.12,0.999,0.971,0.2978,89.06,0.991,0.855
18,0.18168066347211492,0.1144,96.21,0.999,0.962,0.2795,90.08,0.99,0.87
19,0.18116409465083086,0.0967,96.78,0.999,0.967,0.2404,91.05,0.994,0.89
20,0.1699744218085829,0.0949,97.06,0.999,0.97,0.2778,90.89,0.991,0.887
21,0.16541695473281715,0.0859,97.29,0.999,0.973,0.2844,89.28,0.991,0.863
22,0.16170111829982436,0.1126,96.51,0.999,0.965,0.3381,88.06,0.993,0.843
23,0.1543005793605761,0.0723,97.74,0.999,0.977,0.1835,92.96,0.995,0.904
24,0.1506939183613519,0.0756,97.78,0.999,0.978,0.2107,92.64,0.995,0.902
25,0.14477284809434285,0.0748,97.76,0.999,0.977,0.3039,89.56,0.992,0.864
26,0.14452518042724405,0.0628,98.11,0.999,0.981,0.2371,92.25,0.994,0.902
27,0.13738936868139065,0.0724,97.76,0.999,0.977,0.3406,88.39,0.989,0.848
28,0.13102287444616517,0.0619,98.13,0.999,0.981,0.2718,91.54,0.991,0.89
29,0.1283801792650133,0.0585,98.15,1.0,0.981,0.1791,93.75,0.994,0.913
30,0.1264729936703986,0.0589,98.1,1.0,0.981,0.2354,91.65,0.993,0.887
31,0.11968249323574232,0.0552,98.29,1.0,0.983,0.2674,91.57,0.991,0.888
32,0.11533673584300985,0.061,98.13,0.999,0.981,0.2206,92.04,0.995,0.892
33,0.11413745852153895,0.0546,98.36,1.0,0.983,0.2167,92.63,0.993,0.899
34,0.10495185785623114,0.0506,98.45,1.0,0.984,0.1793,93.45,0.995,0.911
35,0.1001656832554007,0.05,98.42,1.0,0.984,0.2484,91.28,0.994,0.879
36,0.09926523230502575,0.0448,98.67,1.0,0.987,0.1901,93.54,0.995,0.913
37,0.09607238974088408,0.0482,98.51,1.0,0.985,0.1861,93.49,0.995,0.911
38,0.09061038752143208,0.0431,98.63,1.0,0.986,0.1907,93.81,0.995,0.918
39,0.08809075531913602,0.0427,98.71,1.0,0.987,0.2306,92.89,0.993,0.906
40,0.08314429635789553,0.0417,98.73,1.0,0.987,0.2128,93.12,0.993,0.906
41,0.0779642402044227,0.039,98.79,1.0,0.988,0.1792,94.22,0.995,0.921
42,0.07791142481108827,0.0376,98.86,1.0,0.988,0.2058,93.53,0.994,0.913
43,0.07591195857005467,0.037,98.85,1.0,0.988,0.2017,93.62,0.994,0.913
44,0.07191866062461369,0.0371,98.88,1.0,0.989,0.2078,93.3,0.994,0.909
45,0.07000039005818974,0.0354,98.89,1.0,0.989,0.2085,93.26,0.994,0.908
46,0.0677492165901301,0.0352,98.95,1.0,0.989,0.204,93.64,0.994,0.913
47,0.06629791830108905,0.0344,98.95,1.0,0.989,0.211,93.53,0.994,0.912
48,0.06787753949696232,0.0345,98.96,1.0,0.989,0.2175,93.18,0.994,0.907
49,0.06635820766657217,0.0339,98.97,1.0,0.989,0.2162,93.13,0.994,0.906
