epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.104210406648643,1.1916,63.15,0.918,0.598,1.6294,39.78,0.772,0.376
1,1.9357730222859264,1.0968,59.73,0.913,0.575,1.1768,60.6,0.871,0.497
2,1.1245199956774283,0.5129,81.83,0.977,0.817,0.5998,76.73,0.968,0.714
3,0.6079169034851067,0.3101,89.04,0.992,0.885,0.3436,87.4,0.985,0.82
4,0.428458267882947,0.2324,91.93,0.995,0.918,0.3459,87.27,0.985,0.82
5,0.3564726075551416,0.1939,93.75,0.997,0.937,0.3469,87.54,0.986,0.834
6,0.32120248197334217,0.2169,93.22,0.996,0.932,0.4182,85.99,0.986,0.82
7,0.2918448524289234,0.1292,95.94,0.998,0.959,0.2906,88.76,0.989,0.836
8,0.269573334844843,0.1407,95.69,0.998,0.957,0.3263,87.4,0.989,0.827
9,0.2562490411262999,0.1291,95.94,0.998,0.959,0.2758,89.44,0.99,0.847
10,0.24572823781480072,0.1178,96.44,0.998,0.964,0.2522,90.18,0.992,0.869
11,0.23326917982069395,0.1276,95.94,0.998,0.959,0.4532,84.87,0.983,0.793
12,0.22700872477878378,0.098,96.93,0.999,0.969,0.3213,88.87,0.991,0.858
13,0.2121016102372318,0.1265,96.06,0.998,0.96,0.382,86.5,0.986,0.817
14,0.2125487169484511,0.1131,96.4,0.999,0.963,0.3367,87.83,0.992,0.837
15,0.2005012885911063,0.0977,97.08,0.999,0.97,0.2334,91.5,0.994,0.891
16,0.19623989510386647,0.1044,96.61,0.999,0.965,0.2812,89.48,0.993,0.864
17,0.1882578949494067,0.086,97.29,0.999,0.973,0.2276,92.09,0.994,0.898
18,0.1821065985507542,0.0844,97.32,0.999,0.973,0.3839,87.04,0.989,0.827
19,0.1830053128382211,0.1087,96.34,0.999,0.964,0.2883,89.34,0.992,0.852
20,0.185600525976616,0.1393,95.5,0.999,0.953,0.3536,88.19,0.991,0.845
21,0.17811792083485153,0.0819,97.36,0.999,0.973,0.293,89.36,0.991,0.857
22,0.171429561431049,0.0896,97.13,0.999,0.971,0.456,86.83,0.988,0.826
23,0.16261239757754684,0.0753,97.6,0.999,0.975,0.2793,90.16,0.992,0.856
24,0.15765723598099524,0.0665,97.9,0.999,0.979,0.2875,89.48,0.993,0.855
25,0.15033266282770583,0.0729,97.71,0.999,0.976,0.1976,92.56,0.996,0.904
26,0.14883454582623898,0.0624,97.94,1.0,0.979,0.3067,90.4,0.993,0.875
27,0.13999334316179957,0.0602,98.17,1.0,0.981,0.2775,89.99,0.992,0.872
28,0.13639913413900628,0.0635,97.89,0.999,0.979,0.2715,92.23,0.992,0.899
29,0.13282546232117334,0.0703,97.67,0.999,0.977,0.1598,94.3,0.997,0.924
30,0.1306601668103835,0.0557,98.28,1.0,0.983,0.1976,92.7,0.995,0.901
31,0.1241934088569495,0.0562,98.17,1.0,0.982,0.3228,89.5,0.99,0.86
32,0.12031191202902025,0.061,97.99,1.0,0.98,0.2658,90.43,0.993,0.872
33,0.11594399695007604,0.0495,98.49,1.0,0.985,0.2096,92.03,0.994,0.891
34,0.10925381073200788,0.0482,98.51,1.0,0.985,0.1917,93.08,0.996,0.907
35,0.1067190515211246,0.045,98.66,1.0,0.986,0.2269,91.85,0.995,0.889
36,0.1028653665856328,0.0432,98.67,1.0,0.986,0.1935,93.4,0.995,0.909
37,0.09858095536415722,0.043,98.67,1.0,0.987,0.2794,90.23,0.993,0.87
38,0.0950134998107309,0.0432,98.66,1.0,0.986,0.2003,93.27,0.995,0.911
39,0.09152560608501556,0.0408,98.78,1.0,0.988,0.1907,93.43,0.996,0.913
40,0.08635055538146727,0.0374,98.91,1.0,0.989,0.1994,92.86,0.995,0.904
41,0.08320478054337657,0.0366,98.89,1.0,0.989,0.1929,93.3,0.995,0.908
42,0.08118783062036854,0.0356,98.95,1.0,0.989,0.1931,93.12,0.996,0.905
43,0.0782493166408525,0.0365,98.86,1.0,0.989,0.2075,92.33,0.995,0.895
44,0.07527493433125558,0.0348,98.97,1.0,0.99,0.2141,92.67,0.995,0.9
45,0.07113137360208244,0.0341,99.0,1.0,0.99,0.2123,92.94,0.995,0.905
46,0.07131403568284218,0.0337,98.96,1.0,0.989,0.1968,93.29,0.996,0.908
47,0.07015099596919819,0.0328,99.05,1.0,0.99,0.194,93.35,0.996,0.91
48,0.07046357422773343,0.0329,99.06,1.0,0.99,0.2013,93.02,0.995,0.905
49,0.06863335188558345,0.0327,99.07,1.0,0.991,0.2,93.16,0.996,0.907
