epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.2973620648025186,1.6172,41.76,0.795,0.365,1.9718,42.55,0.739,0.34
1,2.164509620290503,1.8877,25.26,0.701,0.196,1.6696,44.17,0.772,0.288
2,1.326595106539333,0.7041,74.45,0.959,0.733,0.9483,71.07,0.935,0.655
3,0.6552801620362053,0.5657,81.97,0.976,0.821,0.5773,79.82,0.966,0.741
4,0.448278605270343,0.3507,87.67,0.992,0.877,0.511,80.1,0.983,0.751
5,0.37072307322721754,0.2734,90.4,0.994,0.9,0.3998,85.73,0.982,0.802
6,0.32560650571700067,0.2213,92.59,0.995,0.926,0.5035,83.44,0.976,0.807
7,0.2996291506327822,0.1995,93.48,0.996,0.935,0.3559,86.93,0.984,0.817
8,0.2780956879231451,0.1922,93.61,0.996,0.936,0.4196,85.14,0.982,0.818
9,0.2624618341098122,0.2452,91.64,0.995,0.916,0.4269,84.53,0.981,0.801
10,0.24818091611227683,0.1512,95.0,0.998,0.951,0.3029,89.93,0.988,0.867
11,0.23520416822484744,0.1408,95.54,0.998,0.956,0.3252,89.45,0.989,0.861
12,0.22983892921585336,0.1486,95.39,0.997,0.953,0.4703,85.44,0.976,0.813
13,0.21747075377105599,0.123,96.13,0.998,0.961,0.3067,90.94,0.987,0.876
14,0.214396627639891,0.1275,95.8,0.998,0.958,0.324,88.76,0.99,0.849
15,0.20789155215826086,0.1275,95.84,0.998,0.958,0.3185,88.57,0.986,0.848
16,0.19997977160958832,0.2175,92.79,0.996,0.93,0.4796,83.78,0.977,0.781
17,0.19153274044287674,0.1241,96.14,0.998,0.961,0.3499,87.21,0.989,0.835
18,0.18712930278485393,0.1099,96.38,0.999,0.963,0.3621,89.14,0.986,0.855
19,0.18469231228567792,0.1432,95.28,0.998,0.953,0.3842,85.82,0.985,0.819
20,0.1728813786019561,0.1046,96.68,0.999,0.967,0.3773,87.81,0.987,0.842
21,0.16839656347949658,0.1019,96.66,0.999,0.967,0.2568,90.89,0.991,0.878
22,0.16398355581774293,0.1161,96.29,0.999,0.963,0.4249,85.66,0.984,0.823
23,0.15832740234004128,0.0984,96.86,0.999,0.968,0.3445,88.71,0.986,0.855
24,0.15736541913081242,0.0956,96.82,0.999,0.968,0.3598,87.43,0.988,0.83
25,0.15265862118305912,0.0962,96.98,0.999,0.969,0.3242,90.32,0.99,0.869
26,0.14789427700702862,0.0875,97.23,0.999,0.972,0.2253,92.12,0.993,0.891
27,0.14477252520246958,0.0872,97.11,0.999,0.971,0.2913,89.29,0.99,0.858
28,0.13607976774561575,0.087,97.15,0.999,0.971,0.3471,88.8,0.987,0.86
29,0.13383295121986594,0.0792,97.49,0.999,0.975,0.2341,92.01,0.993,0.894
30,0.13266205841735487,0.0803,97.43,0.999,0.974,0.3393,88.77,0.989,0.854
31,0.12408193256906284,0.0849,97.25,0.999,0.973,0.2749,90.68,0.991,0.879
32,0.11902950359942345,0.0697,97.76,0.999,0.977,0.2946,91.13,0.988,0.879
33,0.11813248048025754,0.0715,97.68,0.999,0.977,0.2506,91.33,0.99,0.881
34,0.11359159062920292,0.0704,97.77,0.999,0.978,0.2288,92.48,0.992,0.893
35,0.10844385948726461,0.0637,97.97,0.999,0.98,0.263,91.71,0.991,0.886
36,0.10270491966436948,0.0612,98.13,0.999,0.981,0.2556,92.36,0.991,0.9
37,0.09755686499632388,0.053,98.26,1.0,0.982,0.2396,92.48,0.992,0.898
38,0.09339839891333628,0.0549,98.25,1.0,0.982,0.2695,92.37,0.991,0.899
39,0.0893291482855449,0.0572,98.19,1.0,0.982,0.2169,92.7,0.993,0.9
40,0.08436436718162883,0.0506,98.41,1.0,0.984,0.2556,92.89,0.99,0.903
41,0.0833346914586788,0.0524,98.36,1.0,0.983,0.2573,92.61,0.99,0.899
42,0.08184232672603006,0.0505,98.36,1.0,0.984,0.2324,92.58,0.992,0.897
43,0.07951321022244551,0.049,98.41,1.0,0.984,0.2441,91.84,0.993,0.892
44,0.07452809729022525,0.0471,98.52,1.0,0.985,0.2514,92.12,0.991,0.895
45,0.06921639177267269,0.0445,98.55,1.0,0.985,0.2244,92.75,0.993,0.902
46,0.06784040067097886,0.0453,98.55,1.0,0.985,0.2324,92.74,0.992,0.903
47,0.0673838295009134,0.0445,98.51,1.0,0.985,0.2308,92.69,0.992,0.9
48,0.06912931062675025,0.0442,98.52,1.0,0.985,0.2403,92.47,0.992,0.899
49,0.06852947376621721,0.0435,98.57,1.0,0.986,0.2353,92.58,0.992,0.899
