epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.130363325277964,1.2259,59.01,0.902,0.575,1.4296,55.52,0.83,0.491
1,1.9229943104969558,1.2542,53.83,0.878,0.516,1.3804,49.06,0.817,0.401
2,1.1761228676124285,0.8549,67.56,0.94,0.662,0.8358,68.15,0.941,0.611
3,0.7083953460378032,0.3351,88.06,0.989,0.879,0.4603,84.15,0.979,0.801
4,0.4896778602113006,0.2683,91.22,0.993,0.912,0.3696,85.13,0.986,0.801
5,0.38098264266619974,0.2393,91.44,0.995,0.911,0.496,82.96,0.98,0.783
6,0.3221271205760245,0.2141,93.42,0.995,0.933,0.4546,85.11,0.981,0.821
7,0.2950941033821593,0.1505,95.17,0.997,0.951,0.3909,87.05,0.984,0.84
8,0.26902807718910626,0.1885,94.06,0.996,0.941,0.3934,86.83,0.986,0.826
9,0.2555776861058982,0.1477,95.23,0.997,0.952,0.3379,87.02,0.989,0.82
10,0.2428334451223787,0.1236,96.27,0.998,0.963,0.332,87.19,0.987,0.831
11,0.2310283078968952,0.116,96.61,0.998,0.966,0.4575,84.76,0.983,0.798
12,0.21992728162196376,0.1371,95.69,0.998,0.957,0.3598,88.0,0.988,0.847
13,0.2143348777486432,0.1163,96.27,0.998,0.962,0.2469,90.23,0.993,0.862
14,0.2072470298898156,0.1091,96.63,0.999,0.966,0.2686,90.24,0.992,0.871
15,0.19732399622652694,0.0969,96.89,0.999,0.969,0.3134,89.64,0.987,0.865
16,0.19095265223748153,0.1268,95.73,0.999,0.958,0.2836,89.29,0.991,0.853
17,0.1864234707435079,0.0868,97.33,0.999,0.973,0.2528,90.43,0.993,0.865
18,0.1793116327895913,0.0919,97.07,0.999,0.97,0.2596,90.45,0.992,0.871
19,0.180098025248416,0.0902,97.2,0.999,0.972,0.2524,90.45,0.993,0.867
20,0.1724406605299335,0.0818,97.44,0.999,0.974,0.2998,89.82,0.99,0.865
21,0.16513967112134006,0.091,96.94,0.999,0.969,0.2558,91.14,0.993,0.88
22,0.1610909566737204,0.0841,97.42,0.999,0.974,0.299,89.5,0.991,0.859
23,0.15699015941644442,0.0729,97.7,0.999,0.977,0.2864,90.79,0.99,0.876
24,0.1533363458156372,0.0771,97.6,0.999,0.975,0.317,88.28,0.991,0.856
25,0.14391552138819916,0.0678,97.95,0.999,0.979,0.1901,93.12,0.994,0.9
26,0.14574738125914313,0.0766,97.74,0.999,0.977,0.2112,92.04,0.995,0.893
27,0.13782831595870115,0.0646,97.98,0.999,0.98,0.3595,89.44,0.99,0.853
28,0.13227279713263862,0.0702,97.89,0.999,0.978,0.2551,91.16,0.991,0.881
29,0.1315135690967776,0.059,98.21,1.0,0.982,0.2102,92.52,0.994,0.896
30,0.12649709810118948,0.0569,98.24,1.0,0.982,0.247,90.7,0.992,0.875
31,0.12171405137226146,0.0573,98.19,1.0,0.982,0.2304,91.66,0.992,0.885
32,0.115406480200562,0.0599,98.04,1.0,0.98,0.328,89.42,0.989,0.859
33,0.11230382339120926,0.0575,98.28,1.0,0.983,0.2023,92.48,0.994,0.9
34,0.10805144040481485,0.051,98.43,1.0,0.984,0.216,91.46,0.994,0.882
35,0.10473678874579595,0.0503,98.47,1.0,0.985,0.2591,90.95,0.994,0.879
36,0.09995047514089868,0.0466,98.55,1.0,0.985,0.2155,92.29,0.995,0.9
37,0.09566057113576747,0.0431,98.73,1.0,0.987,0.2849,90.86,0.991,0.876
38,0.09158308024094257,0.0448,98.61,1.0,0.986,0.2457,91.96,0.993,0.889
39,0.08675291933332933,0.0464,98.6,1.0,0.986,0.2458,92.59,0.993,0.897
40,0.08506056913725471,0.0423,98.72,1.0,0.987,0.2443,91.99,0.992,0.889
41,0.08151410104653474,0.0417,98.7,1.0,0.987,0.2216,92.85,0.993,0.902
42,0.0811289718648332,0.0397,98.8,1.0,0.988,0.2321,92.39,0.994,0.895
43,0.07889570913187438,0.0416,98.76,1.0,0.987,0.2616,91.65,0.992,0.884
44,0.0727103294747945,0.0368,98.8,1.0,0.988,0.2492,91.8,0.994,0.892
45,0.07300281389466216,0.0382,98.78,1.0,0.988,0.2262,92.39,0.994,0.895
46,0.07201299334185259,0.0416,98.75,1.0,0.987,0.234,92.23,0.994,0.893
47,0.07008624426005776,0.036,98.83,1.0,0.988,0.223,92.59,0.994,0.898
48,0.0698496307877283,0.035,98.87,1.0,0.989,0.2361,91.87,0.994,0.888
49,0.0699074164526971,0.0388,98.81,1.0,0.988,0.2343,92.44,0.994,0.896
