epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.53943293239908,1.8515,27.42,0.724,0.171,1.844,37.71,0.737,0.23
1,2.1936645755631097,1.9005,24.08,0.696,0.181,1.7366,33.43,0.753,0.224
2,1.6706117551813844,1.1916,57.94,0.891,0.568,1.1977,55.27,0.884,0.499
3,1.0230217798209105,0.5202,80.74,0.976,0.804,0.6167,78.21,0.967,0.716
4,0.6192811467421098,0.3864,86.4,0.986,0.862,0.4603,81.37,0.979,0.76
5,0.5126039109136041,0.375,86.62,0.987,0.862,0.5638,79.03,0.973,0.749
6,0.4489543875645993,0.2824,90.43,0.992,0.904,0.4486,84.71,0.98,0.807
7,0.40211830403001503,0.3019,89.67,0.994,0.898,0.411,84.73,0.984,0.798
8,0.36557318286229207,0.1985,93.53,0.995,0.936,0.2791,89.7,0.989,0.859
9,0.3415675649559626,0.2705,90.15,0.994,0.901,0.3751,86.93,0.982,0.819
10,0.31957387868114695,0.1844,94.07,0.996,0.941,0.3155,87.53,0.988,0.838
11,0.3015644560871799,0.1858,93.98,0.996,0.94,0.3818,85.71,0.986,0.817
12,0.2964198414142841,0.1741,94.44,0.997,0.945,0.3504,87.92,0.988,0.844
13,0.27758853938630834,0.166,94.63,0.997,0.946,0.3214,88.9,0.989,0.851
14,0.2672077841041977,0.146,95.33,0.997,0.953,0.2912,90.08,0.99,0.867
15,0.2576552034626084,0.1752,94.17,0.997,0.942,0.2561,90.59,0.99,0.867
16,0.2484355885735763,0.138,95.57,0.998,0.956,0.3119,88.39,0.989,0.852
17,0.23922070402879014,0.1677,94.53,0.997,0.946,0.3552,87.4,0.989,0.827
18,0.24211460015466135,0.1579,94.86,0.997,0.948,0.437,85.68,0.986,0.814
19,0.23155048785991567,0.1429,95.31,0.998,0.953,0.3673,87.72,0.988,0.843
20,0.22016882178069871,0.1298,95.65,0.998,0.956,0.3304,87.73,0.987,0.836
21,0.2100274186835067,0.1148,96.24,0.998,0.962,0.2997,89.42,0.989,0.855
22,0.20810861571768707,0.1226,96.16,0.998,0.961,0.3976,85.99,0.985,0.824
23,0.2000607689942724,0.1489,94.95,0.998,0.95,0.3324,88.47,0.99,0.85
24,0.19161914874495786,0.1091,96.54,0.998,0.965,0.2887,90.12,0.99,0.866
25,0.18655567482701338,0.0994,96.87,0.999,0.968,0.3091,90.21,0.99,0.865
26,0.1830040385018647,0.0904,97.1,0.999,0.971,0.2476,91.35,0.993,0.883
27,0.17414340011001062,0.086,97.36,0.999,0.973,0.2679,90.23,0.992,0.866
28,0.168600562305647,0.0915,97.26,0.999,0.972,0.3204,89.69,0.989,0.86
29,0.163135205859512,0.0829,97.25,0.999,0.973,0.2197,91.99,0.993,0.889
30,0.16069081519132875,0.085,97.4,0.999,0.974,0.3364,90.24,0.987,0.873
31,0.1526697875337682,0.0889,97.08,0.999,0.971,0.2595,90.57,0.991,0.875
32,0.1449059922929092,0.0742,97.66,0.999,0.977,0.2858,91.46,0.99,0.881
33,0.14351910249894237,0.0768,97.62,0.999,0.976,0.2408,92.28,0.992,0.896
34,0.13773306873109606,0.0681,97.91,0.999,0.979,0.2253,92.33,0.993,0.894
35,0.13242284565710039,0.0649,97.99,0.999,0.98,0.2189,92.56,0.993,0.896
36,0.12746462356098878,0.0609,98.13,0.999,0.981,0.2449,91.27,0.994,0.882
37,0.12299353724819571,0.0628,98.0,1.0,0.98,0.259,91.57,0.992,0.892
38,0.1169672843743129,0.0575,98.13,1.0,0.981,0.2311,92.36,0.994,0.899
39,0.11342742508377439,0.0577,98.2,1.0,0.982,0.2086,93.23,0.994,0.909
40,0.10708842616808671,0.0532,98.34,1.0,0.983,0.2142,93.04,0.994,0.908
41,0.10413783654156658,0.0544,98.36,1.0,0.983,0.2297,92.75,0.994,0.902
42,0.10146299054792758,0.0506,98.45,1.0,0.984,0.2162,92.99,0.994,0.904
43,0.09945452830163382,0.0506,98.45,1.0,0.984,0.2303,92.25,0.994,0.896
44,0.09249331162888623,0.0503,98.46,1.0,0.984,0.2257,92.26,0.994,0.895
45,0.09259615004676858,0.0476,98.51,1.0,0.985,0.2153,92.91,0.994,0.904
46,0.09109958187813827,0.0474,98.51,1.0,0.985,0.2089,93.19,0.994,0.909
47,0.08891862356788262,0.0467,98.57,1.0,0.986,0.206,93.13,0.994,0.908
48,0.08994508629137363,0.0466,98.52,1.0,0.985,0.2093,92.93,0.994,0.906
49,0.0877153090281432,0.0466,98.57,1.0,0.986,0.211,93.05,0.994,0.907
