epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.58486312241863,1.3362,47.49,0.864,0.435,1.9728,20.48,0.786,0.18
1,1.2932312467115388,0.9031,65.55,0.936,0.648,1.1707,57.15,0.904,0.529
2,0.9458619420476955,0.6276,78.0,0.972,0.77,1.2635,55.76,0.941,0.534
3,0.6854958135447056,0.6478,76.83,0.973,0.754,1.4384,55.33,0.935,0.522
4,0.5355785499802597,0.3749,86.88,0.988,0.867,0.7071,77.56,0.97,0.728
5,0.4476088688527937,0.2738,90.93,0.993,0.907,0.7969,72.19,0.968,0.672
6,0.40308865626081286,0.2689,91.25,0.993,0.911,0.7888,71.92,0.973,0.687
7,0.3471964093849813,0.2339,91.87,0.996,0.917,0.7741,73.66,0.98,0.717
8,0.3054668744690984,0.2364,91.85,0.996,0.916,0.8061,72.49,0.978,0.713
9,0.2754936323320265,0.2161,92.51,0.996,0.924,0.7194,76.76,0.978,0.74
10,0.25056078011612243,0.2053,93.04,0.997,0.928,0.7857,73.54,0.977,0.732
11,0.23665721392888817,0.1599,94.6,0.998,0.945,0.6845,77.07,0.98,0.718
12,0.21743737686452247,0.1524,95.11,0.998,0.95,0.6003,81.67,0.984,0.798
13,0.20944355299575723,0.1565,94.93,0.998,0.948,0.7929,74.51,0.975,0.718
14,0.19491420225273792,0.1608,94.71,0.998,0.945,0.7149,78.1,0.982,0.746
15,0.18864802919703422,0.1338,95.59,0.998,0.955,0.8023,73.05,0.981,0.699
16,0.17691925800532746,0.121,95.98,0.999,0.959,0.7392,77.21,0.977,0.74
17,0.1686524756306367,0.1193,95.96,0.999,0.958,0.7094,77.72,0.987,0.761
18,0.1616046358998731,0.1081,96.48,0.999,0.964,0.6433,81.21,0.984,0.771
19,0.15313214546056103,0.1012,96.43,0.999,0.964,0.779,76.6,0.981,0.734
20,0.14697763972359595,0.0988,96.73,0.999,0.967,0.7314,78.4,0.978,0.748
21,0.1396326363193903,0.0875,97.23,0.999,0.972,0.8173,74.58,0.981,0.708
22,0.134850614469686,0.0966,96.91,0.999,0.969,0.6683,79.8,0.981,0.771
23,0.1259373333171117,0.0884,97.1,0.999,0.971,0.8534,74.25,0.977,0.709
24,0.1254415506724831,0.083,97.24,0.999,0.972,0.8146,78.54,0.979,0.748
25,0.11846662505710726,0.0818,97.29,0.999,0.972,0.6765,78.92,0.983,0.752
26,0.11078382390651771,0.0879,97.09,0.999,0.97,0.9441,72.13,0.975,0.687
27,0.1102069007138983,0.0803,97.45,0.999,0.974,0.9325,72.89,0.973,0.691
28,0.10118223533784743,0.0707,97.79,0.999,0.978,0.9803,75.48,0.974,0.728
29,0.09998010945834702,0.0731,97.6,0.999,0.976,0.8578,76.85,0.973,0.735
30,0.09403101025189427,0.0716,97.67,0.999,0.976,0.9195,74.62,0.974,0.722
31,0.09324043943620414,0.0711,97.67,0.999,0.976,0.6765,80.45,0.983,0.771
32,0.08611897017351157,0.0581,98.04,1.0,0.98,1.075,72.19,0.965,0.695
33,0.08463322507927744,0.0596,98.07,1.0,0.98,0.8416,77.56,0.975,0.741
34,0.0789121141483029,0.0571,98.15,1.0,0.981,0.8174,78.0,0.977,0.749
35,0.07457978782250727,0.0554,98.24,1.0,0.982,1.0355,75.4,0.968,0.715
36,0.07008176221907568,0.051,98.27,1.0,0.982,0.7591,80.15,0.979,0.762
37,0.0667039246144269,0.052,98.28,1.0,0.982,1.1675,70.57,0.967,0.677
38,0.06328412795291959,0.0502,98.41,1.0,0.984,1.0837,73.01,0.967,0.699
39,0.06203365600634393,0.0473,98.45,1.0,0.984,1.1558,71.94,0.967,0.682
40,0.058616266110174946,0.0456,98.42,1.0,0.984,0.8725,78.27,0.974,0.751
41,0.054229551899454574,0.0444,98.52,1.0,0.985,0.8711,78.97,0.974,0.763
42,0.053329907129887194,0.0463,98.45,1.0,0.984,0.9691,76.27,0.968,0.736
43,0.05150453700757713,0.0452,98.52,1.0,0.985,1.0524,74.88,0.966,0.72
44,0.04716923438923822,0.0411,98.61,1.0,0.986,0.9911,76.46,0.971,0.733
45,0.046844011789067184,0.0417,98.66,1.0,0.986,0.9774,76.39,0.972,0.736
46,0.04619737658247673,0.0412,98.59,1.0,0.986,1.0829,74.02,0.968,0.712
47,0.04433267239293606,0.0402,98.7,1.0,0.987,1.0596,75.23,0.969,0.72
48,0.04428030054667871,0.0401,98.66,1.0,0.986,1.0642,74.86,0.969,0.718
49,0.04451947326926019,0.04,98.67,1.0,0.987,1.0559,75.11,0.969,0.72
