epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5149717437750978,1.1211,58.71,0.908,0.549,1.4175,46.3,0.851,0.386
1,1.6645922252781502,1.0402,61.69,0.922,0.593,1.414,40.55,0.859,0.395
2,1.0788950278126639,0.6166,78.29,0.97,0.772,0.7841,70.35,0.948,0.639
3,0.7954009018277609,0.5517,78.47,0.979,0.771,0.74,70.87,0.956,0.655
4,0.6367778390859617,0.4213,84.89,0.987,0.841,0.8108,71.5,0.96,0.639
5,0.543143651711898,0.3945,86.18,0.987,0.858,0.8014,72.3,0.961,0.655
6,0.47449886702722116,0.2882,90.13,0.993,0.899,0.6017,78.59,0.974,0.756
7,0.43408461091338946,0.2393,91.75,0.995,0.914,0.5248,82.0,0.977,0.776
8,0.39472991575263305,0.2183,92.85,0.996,0.925,0.4267,85.17,0.984,0.81
9,0.36967944874558395,0.2344,92.35,0.995,0.92,0.504,81.54,0.981,0.778
10,0.3431335534352983,0.214,92.9,0.996,0.926,0.398,85.87,0.987,0.818
11,0.3287175682016171,0.1829,94.08,0.996,0.939,0.4302,86.34,0.984,0.821
12,0.31373582142121476,0.1766,94.23,0.997,0.94,0.4351,84.86,0.987,0.804
13,0.3052949385190096,0.1994,93.34,0.996,0.931,0.3733,86.44,0.989,0.835
14,0.29527125625093353,0.1611,94.93,0.997,0.948,0.377,86.94,0.99,0.837
15,0.28702551531054643,0.1736,94.44,0.997,0.943,0.3342,88.6,0.989,0.85
16,0.27609545328924734,0.1787,94.27,0.997,0.941,0.425,86.63,0.986,0.828
17,0.27390468076512375,0.163,94.66,0.997,0.945,0.3609,88.06,0.989,0.845
18,0.26209238143537633,0.1673,94.41,0.997,0.942,0.3947,86.39,0.988,0.826
19,0.2572561736789442,0.153,95.28,0.997,0.952,0.4399,84.05,0.987,0.803
20,0.2502743220858036,0.158,94.88,0.998,0.947,0.3457,88.57,0.99,0.843
21,0.24380574490220744,0.1413,95.45,0.998,0.953,0.4599,84.11,0.988,0.796
22,0.2390333665768519,0.1464,95.02,0.998,0.949,0.5795,80.47,0.979,0.772
23,0.23089116859820583,0.1493,94.95,0.998,0.948,0.4678,83.8,0.984,0.802
24,0.22561380499473183,0.1504,95.17,0.998,0.95,0.5,82.9,0.987,0.796
25,0.2174572740618046,0.1348,95.61,0.998,0.955,0.4015,86.66,0.986,0.827
26,0.21706367599173687,0.1373,95.47,0.998,0.953,0.3628,87.67,0.99,0.841
27,0.20770265256792414,0.1475,95.41,0.998,0.953,0.5452,83.34,0.982,0.786
28,0.2026653821216262,0.1364,95.75,0.998,0.957,0.3476,89.15,0.989,0.861
29,0.19769210125383083,0.1225,96.01,0.999,0.959,0.3375,89.45,0.989,0.859
30,0.195598357413832,0.1147,96.38,0.998,0.963,0.3821,87.21,0.989,0.831
31,0.1897380580344508,0.1373,95.59,0.998,0.954,0.5513,82.28,0.986,0.787
32,0.18424010163299925,0.1147,96.35,0.999,0.962,0.3699,88.3,0.988,0.842
33,0.17850200881961212,0.1083,96.62,0.999,0.965,0.4834,84.87,0.987,0.805
34,0.17164690874009578,0.1075,96.68,0.999,0.966,0.4149,86.47,0.988,0.819
35,0.16842136433928884,0.1121,96.4,0.999,0.963,0.5649,81.87,0.982,0.783
36,0.16170163446616742,0.1062,96.61,0.999,0.965,0.4278,86.03,0.989,0.824
37,0.1585594303905964,0.0971,96.97,0.999,0.969,0.4173,86.12,0.988,0.824
38,0.15361708176979882,0.094,97.15,0.999,0.971,0.3631,88.38,0.989,0.848
39,0.15052780909563906,0.0967,96.95,0.999,0.969,0.4981,83.86,0.987,0.799
40,0.14535039761454188,0.0944,97.0,0.999,0.969,0.5264,83.1,0.986,0.791
41,0.14345040723120653,0.0891,97.21,0.999,0.971,0.4861,84.29,0.987,0.81
42,0.1356230371274508,0.084,97.38,0.999,0.973,0.4343,87.0,0.988,0.831
43,0.13401457322193944,0.0835,97.29,0.999,0.972,0.3585,88.79,0.99,0.851
44,0.1326314629252506,0.0844,97.34,0.999,0.973,0.3976,87.64,0.988,0.839
45,0.12981621671374555,0.0807,97.39,0.999,0.973,0.4007,87.46,0.989,0.837
46,0.130027474381537,0.0837,97.43,0.999,0.974,0.4219,86.72,0.989,0.831
47,0.12776541273947473,0.0808,97.45,0.999,0.974,0.3924,88.08,0.989,0.845
48,0.12583965985738677,0.081,97.46,0.999,0.974,0.3962,87.89,0.989,0.843
49,0.12534066084705586,0.0804,97.46,0.999,0.974,0.4,87.76,0.989,0.842
