epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9668576110648426,1.7307,34.21,0.741,0.277,1.6417,36.79,0.738,0.257
1,2.1061034749485685,2.075,12.2,0.538,0.045,2.1766,17.13,0.486,0.048
2,2.0542474972304476,2.0231,19.16,0.575,0.092,1.9758,24.89,0.615,0.109
3,1.9265387852986653,1.5283,38.31,0.8,0.294,1.5157,41.47,0.771,0.279
4,1.6200865432353002,1.4531,44.66,0.825,0.401,1.4908,46.01,0.803,0.348
5,1.4971630152408368,1.3554,50.03,0.856,0.493,1.3248,50.34,0.85,0.417
6,1.4021846613576334,1.1439,55.87,0.898,0.524,1.2833,56.53,0.859,0.471
7,1.2851249097068678,1.067,59.54,0.92,0.574,1.0722,58.96,0.905,0.529
8,1.2013291634325485,0.918,63.36,0.939,0.595,1.0531,64.8,0.917,0.581
9,1.1318113812408994,0.8627,67.07,0.948,0.658,0.9654,62.1,0.933,0.58
10,1.0718937813167504,0.7726,71.24,0.956,0.705,0.9312,66.02,0.935,0.612
11,1.033339015365074,0.7715,72.19,0.955,0.701,1.0196,68.23,0.925,0.625
12,0.9886643620588447,0.6414,75.86,0.968,0.743,0.7918,74.67,0.949,0.702
13,0.9629064059172052,0.6608,75.57,0.967,0.737,0.7684,74.34,0.951,0.69
14,0.927396000286157,0.5844,78.32,0.973,0.772,0.7759,74.25,0.955,0.709
15,0.9098596414784804,0.6105,78.1,0.971,0.775,0.7481,73.84,0.956,0.699
16,0.8884470416867177,0.5348,80.73,0.978,0.799,0.6387,77.56,0.963,0.751
17,0.8655488558353917,0.5242,80.78,0.978,0.799,0.6991,76.08,0.956,0.732
18,0.8470133750242145,0.5394,80.47,0.976,0.797,0.6069,79.76,0.965,0.771
19,0.8328993403783409,0.493,81.69,0.98,0.809,0.6579,78.48,0.962,0.76
20,0.815055997461401,0.4522,83.58,0.983,0.828,0.6568,77.37,0.967,0.738
21,0.8068805928725923,0.4423,83.99,0.983,0.833,0.5939,78.34,0.969,0.754
22,0.7878812745907828,0.4339,84.47,0.984,0.838,0.6184,77.64,0.969,0.743
23,0.7727795810468735,0.4424,84.57,0.984,0.839,0.7145,75.13,0.964,0.728
24,0.7601200815383679,0.4351,84.6,0.984,0.84,0.7243,74.58,0.963,0.723
25,0.7469711589984142,0.4343,83.99,0.986,0.83,0.7441,74.81,0.959,0.715
26,0.7295323043634387,0.4154,85.41,0.985,0.85,0.7735,72.35,0.955,0.69
27,0.7280365229721137,0.386,86.55,0.987,0.863,0.7456,73.93,0.96,0.719
28,0.7068841328116728,0.3794,86.57,0.987,0.864,0.5964,78.46,0.974,0.755
29,0.6990391848121492,0.3365,88.36,0.99,0.882,0.6425,77.33,0.968,0.747
30,0.6870503033040672,0.3482,87.76,0.989,0.872,0.5545,80.39,0.973,0.78
31,0.6812811548885052,0.3611,87.55,0.988,0.872,0.7222,75.62,0.961,0.729
32,0.6672933554563898,0.3773,86.49,0.988,0.861,0.6574,77.03,0.968,0.735
33,0.6585422457332679,0.3202,88.74,0.991,0.884,0.5082,82.05,0.978,0.791
34,0.6456132621961682,0.3311,88.44,0.99,0.881,0.6412,77.2,0.968,0.749
35,0.6328108321915391,0.3307,88.34,0.99,0.88,0.6663,77.01,0.965,0.753
36,0.620361106637131,0.3418,88.08,0.99,0.877,0.6525,77.44,0.97,0.748
37,0.6138764278542611,0.3269,88.56,0.991,0.882,0.6945,75.89,0.966,0.727
38,0.6066053900667416,0.3097,89.19,0.991,0.89,0.6639,76.17,0.967,0.735
39,0.5969235623609208,0.3033,89.38,0.991,0.89,0.6269,77.88,0.969,0.754
40,0.5791505632861969,0.3016,89.38,0.992,0.891,0.6457,78.13,0.968,0.759
41,0.5762440120554312,0.2991,89.59,0.992,0.894,0.5919,79.58,0.973,0.766
42,0.5647986778542132,0.2779,90.33,0.993,0.901,0.6261,78.27,0.971,0.757
43,0.5614230895021056,0.2788,90.6,0.993,0.903,0.5756,79.66,0.973,0.768
44,0.5539329175346641,0.2757,90.6,0.993,0.903,0.5484,81.0,0.974,0.781
45,0.5460143447135939,0.2732,90.71,0.993,0.905,0.553,80.75,0.974,0.783
46,0.5497329157099502,0.2757,90.63,0.993,0.904,0.5788,79.99,0.973,0.772
47,0.5406940358300363,0.2726,90.7,0.993,0.904,0.5511,80.66,0.975,0.779
48,0.5369667341418591,0.2694,90.82,0.993,0.906,0.5541,80.88,0.974,0.783
49,0.5391114904248159,0.2705,90.77,0.993,0.905,0.5626,80.56,0.974,0.779
