epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.183349638534107,0.9048,68.08,0.946,0.663,1.797,34.36,0.736,0.296
1,0.8050155965544337,0.4715,82.43,0.98,0.813,1.9155,44.15,0.802,0.372
2,0.5230938841541894,0.337,87.68,0.99,0.873,2.0424,41.53,0.818,0.344
3,0.3532070391040912,0.3223,89.18,0.991,0.888,2.1944,49.87,0.832,0.416
4,0.26754284001511636,0.2074,93.2,0.996,0.931,1.9743,49.36,0.859,0.428
5,0.2231133489085616,0.2027,92.94,0.996,0.927,2.4085,42.27,0.838,0.374
6,0.17670268002602693,0.1515,94.8,0.997,0.947,1.9574,51.51,0.849,0.483
7,0.14845738259794042,0.127,95.81,0.998,0.957,2.2385,44.64,0.847,0.442
8,0.1326932843854959,0.1329,95.62,0.998,0.956,2.5987,42.19,0.836,0.376
9,0.1175688609695263,0.1302,95.58,0.998,0.955,2.1223,53.61,0.845,0.493
10,0.11435810728467626,0.115,96.15,0.999,0.961,2.0456,53.01,0.863,0.468
11,0.09924947172939348,0.1076,96.78,0.999,0.968,2.4375,48.71,0.833,0.432
12,0.0908388308376717,0.1329,95.54,0.998,0.955,2.1935,53.43,0.854,0.454
13,0.08991394593990107,0.1071,96.42,0.999,0.964,2.7079,43.57,0.804,0.387
14,0.08036759074964969,0.096,96.86,0.999,0.968,2.6652,48.54,0.828,0.431
15,0.07186202112612107,0.0944,96.93,0.999,0.969,2.9218,41.18,0.787,0.389
16,0.06947115351774281,0.0866,97.16,0.999,0.971,3.0094,44.56,0.805,0.404
17,0.06429335839456791,0.1097,96.47,0.999,0.964,2.1665,57.1,0.863,0.509
18,0.06254663619902923,0.0708,97.61,0.999,0.976,3.0073,47.75,0.807,0.447
19,0.0553093134901292,0.0673,97.93,0.999,0.979,2.8023,48.4,0.828,0.433
20,0.05042029893119558,0.0643,97.97,1.0,0.98,2.9288,52.53,0.826,0.44
21,0.047902040424750006,0.0648,97.89,1.0,0.979,2.7613,50.07,0.833,0.471
22,0.04879181856195704,0.0687,97.84,1.0,0.978,3.5607,43.58,0.807,0.402
23,0.040259056637505834,0.0614,98.03,1.0,0.98,2.8746,46.61,0.826,0.437
24,0.03428202604861568,0.0692,97.54,1.0,0.975,2.7974,47.97,0.822,0.443
25,0.03480582862502808,0.06,98.0,1.0,0.98,2.7863,54.35,0.836,0.486
26,0.03091987938010435,0.0624,98.1,1.0,0.981,3.4193,46.77,0.798,0.427
27,0.029311127618973632,0.0647,98.05,1.0,0.98,3.2893,50.54,0.791,0.433
28,0.02302257999737593,0.0578,98.18,1.0,0.982,4.3015,37.0,0.733,0.347
29,0.02262073772014688,0.053,98.42,1.0,0.984,3.2303,47.73,0.813,0.423
30,0.019603468447575254,0.0584,98.21,1.0,0.982,2.6554,54.67,0.842,0.498
31,0.01692052093575702,0.0581,98.21,1.0,0.982,3.21,47.5,0.819,0.446
32,0.013677990203053296,0.0583,98.33,1.0,0.983,3.6857,44.18,0.809,0.426
33,0.012812529745840018,0.0557,98.42,1.0,0.984,3.2231,50.23,0.816,0.434
34,0.009396218951027706,0.0543,98.54,1.0,0.985,3.3828,48.6,0.8,0.439
35,0.006188245012806796,0.0512,98.61,1.0,0.986,3.5401,49.11,0.813,0.448
36,0.006488203873402245,0.0525,98.59,1.0,0.986,3.6214,51.19,0.806,0.446
37,0.0045111397442093,0.0477,98.8,1.0,0.988,4.1031,46.94,0.776,0.419
38,0.003528753650649417,0.0524,98.74,1.0,0.987,4.1646,46.8,0.771,0.414
39,0.0029103070742068746,0.0532,98.83,1.0,0.988,3.8896,50.37,0.791,0.439
40,0.0011487428346823017,0.051,98.86,1.0,0.988,4.2456,45.62,0.774,0.412
41,0.0009322659742328331,0.0517,98.83,1.0,0.988,4.517,44.28,0.76,0.397
42,0.0008478864689069472,0.0511,98.85,1.0,0.988,4.2681,46.74,0.776,0.418
43,0.0006154906892438801,0.0527,98.85,1.0,0.988,4.3031,47.1,0.775,0.418
44,0.0005340697444814572,0.0522,98.88,1.0,0.989,4.3398,46.44,0.774,0.415
45,0.0004969157693947819,0.0519,98.89,1.0,0.989,4.2759,47.36,0.777,0.423
46,0.0003734434998373119,0.0518,98.93,1.0,0.989,4.274,47.36,0.778,0.424
47,0.0003827017021747373,0.0521,98.91,1.0,0.989,4.2811,47.1,0.778,0.422
48,0.0003664499540685964,0.0525,98.9,1.0,0.989,4.2928,47.01,0.778,0.421
49,0.00036079010410274535,0.0524,98.9,1.0,0.989,4.2908,47.1,0.778,0.422
