epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3513483572349274,1.0703,61.01,0.917,0.556,2.3346,14.4,0.648,0.111
1,1.0785765647888184,0.6501,75.67,0.966,0.745,1.8035,37.6,0.791,0.369
2,0.6604904944090535,0.4806,82.15,0.983,0.815,1.4232,55.36,0.87,0.517
3,0.5256090509376937,0.3408,88.26,0.989,0.878,1.7204,50.45,0.845,0.478
4,0.41737551183151683,0.326,88.53,0.992,0.882,1.2273,62.06,0.882,0.544
5,0.35315224581913984,0.2365,91.98,0.995,0.919,1.6634,47.23,0.865,0.436
6,0.29895953030037364,0.2065,92.88,0.996,0.927,1.5279,55.58,0.886,0.517
7,0.2632966157343748,0.1733,94.16,0.997,0.94,1.3088,62.88,0.904,0.568
8,0.23463685392475814,0.1602,94.67,0.997,0.945,1.4575,62.5,0.905,0.581
9,0.21302996779517305,0.1668,94.38,0.997,0.942,1.7065,51.95,0.889,0.51
10,0.19745044495990807,0.1214,95.92,0.998,0.959,1.3834,62.02,0.919,0.57
11,0.18239181204665478,0.1409,95.3,0.998,0.952,1.7209,57.67,0.896,0.497
12,0.16626737620547521,0.1226,95.96,0.998,0.959,1.1886,67.88,0.939,0.66
13,0.1577980921422835,0.115,96.28,0.999,0.962,1.4578,63.35,0.925,0.583
14,0.1491126231581187,0.112,96.32,0.999,0.962,1.4647,66.82,0.916,0.623
15,0.13596411719382237,0.0957,96.92,0.999,0.969,1.218,71.47,0.931,0.67
16,0.13385543296877428,0.1128,96.3,0.999,0.962,1.6392,59.72,0.914,0.544
17,0.12130510045898904,0.0856,97.25,0.999,0.972,1.2397,70.14,0.937,0.667
18,0.11585003432395646,0.0865,97.19,0.999,0.971,1.3816,66.71,0.917,0.613
19,0.11384171424366588,0.0827,97.3,0.999,0.973,1.3833,65.92,0.928,0.612
20,0.10585564179278964,0.0748,97.6,0.999,0.976,1.3416,68.94,0.919,0.634
21,0.10466589092565097,0.0782,97.51,0.999,0.975,1.3463,68.67,0.92,0.644
22,0.09358820597902476,0.0793,97.42,0.999,0.974,1.0233,75.0,0.936,0.698
23,0.09480672142059683,0.0712,97.69,0.999,0.977,1.5335,62.85,0.925,0.559
24,0.09251904479569668,0.0712,97.69,0.999,0.977,1.2113,72.04,0.932,0.664
25,0.08597389798906209,0.0656,97.87,0.999,0.978,1.7574,61.36,0.923,0.546
26,0.07608923983338067,0.0671,97.77,1.0,0.978,1.4332,68.23,0.928,0.609
27,0.0760360561150441,0.0596,97.98,1.0,0.98,1.2989,69.4,0.931,0.643
28,0.07198720763055541,0.0637,97.87,1.0,0.979,1.6158,66.15,0.91,0.594
29,0.06946175624515942,0.0586,98.16,1.0,0.981,1.2788,68.39,0.92,0.635
30,0.06582855486826932,0.0553,98.26,1.0,0.982,1.3974,65.77,0.916,0.607
31,0.060316004167250595,0.0542,98.31,1.0,0.983,1.3787,66.37,0.924,0.626
32,0.05963720133353909,0.0532,98.35,1.0,0.983,1.6335,65.64,0.914,0.6
33,0.056134825049758814,0.0444,98.57,1.0,0.985,1.5956,66.11,0.912,0.595
34,0.05211677609962954,0.0452,98.57,1.0,0.985,1.5895,63.63,0.916,0.584
35,0.046815278785799046,0.0463,98.51,1.0,0.985,1.3748,69.7,0.932,0.64
36,0.045390499568135616,0.0427,98.62,1.0,0.986,1.7726,62.26,0.9,0.574
37,0.04214026624832651,0.0418,98.7,1.0,0.987,2.4711,54.21,0.876,0.483
38,0.04148352317002823,0.0462,98.57,1.0,0.985,1.721,63.35,0.908,0.595
39,0.03740543173291057,0.0362,98.84,1.0,0.988,1.7268,65.1,0.91,0.584
40,0.03570642067025677,0.0374,98.83,1.0,0.988,1.9135,61.22,0.904,0.556
41,0.03302792106627775,0.0343,98.9,1.0,0.989,1.6885,66.16,0.91,0.598
42,0.030220708163227323,0.0368,98.84,1.0,0.988,2.0522,59.96,0.893,0.525
43,0.028827177548258424,0.0347,98.85,1.0,0.988,1.9539,61.03,0.897,0.558
44,0.028204244574893723,0.0364,98.85,1.0,0.988,2.0171,60.29,0.89,0.55
45,0.026757044811471762,0.0339,98.92,1.0,0.989,2.0076,61.31,0.896,0.556
46,0.0245823547739884,0.033,98.94,1.0,0.989,1.9742,61.71,0.899,0.562
47,0.025468314435038206,0.0331,98.93,1.0,0.989,2.0139,61.31,0.895,0.556
48,0.024456641603288032,0.0332,98.91,1.0,0.989,1.9782,61.71,0.897,0.562
49,0.0246546651611922,0.033,98.93,1.0,0.989,2.005,61.8,0.896,0.56
