epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7447399201152993,1.4028,52.92,0.876,0.41,1.6243,50.67,0.802,0.361
1,1.514083152194675,1.1967,53.68,0.896,0.499,1.6153,39.4,0.805,0.326
2,1.1581625209437858,0.9222,65.88,0.943,0.644,1.2641,54.41,0.888,0.463
3,0.9717928171157837,0.6524,76.43,0.969,0.749,1.0825,60.13,0.927,0.538
4,0.7877533195687713,0.4748,83.66,0.983,0.831,0.8275,67.93,0.957,0.65
5,0.6548814717814219,0.4188,85.58,0.986,0.848,0.6929,75.21,0.966,0.71
6,0.5678961066890964,0.356,87.78,0.99,0.875,0.6352,78.08,0.98,0.752
7,0.5135889102657922,0.3144,89.04,0.993,0.886,0.8631,70.39,0.971,0.634
8,0.46699415822680906,0.2609,91.03,0.994,0.909,0.5053,82.66,0.985,0.799
9,0.4265060471973831,0.279,90.3,0.994,0.903,0.5722,80.45,0.984,0.763
10,0.4007157775566732,0.2647,90.86,0.994,0.908,0.5545,80.72,0.982,0.772
11,0.3802555953855995,0.2267,92.5,0.996,0.923,0.593,78.97,0.979,0.752
12,0.35372264243715956,0.2696,91.12,0.994,0.91,0.6974,76.28,0.976,0.724
13,0.3391639335121182,0.2239,92.41,0.996,0.92,0.4689,83.74,0.985,0.798
14,0.3139890070013005,0.2033,93.18,0.996,0.931,0.7596,75.54,0.977,0.724
15,0.30618580071617374,0.1796,94.19,0.997,0.941,0.6561,79.93,0.981,0.752
16,0.29412122821207526,0.1954,93.4,0.997,0.932,0.5589,80.83,0.986,0.757
17,0.2853961047723139,0.1852,93.61,0.997,0.934,0.5779,81.35,0.985,0.782
18,0.26775765772774923,0.146,95.14,0.998,0.95,0.5427,81.87,0.986,0.788
19,0.2619298017925496,0.1427,95.13,0.998,0.95,0.4235,85.5,0.988,0.815
20,0.24354841125954826,0.1473,95.14,0.998,0.951,0.5242,83.48,0.984,0.799
21,0.2430451738534214,0.144,95.14,0.998,0.95,0.6386,77.81,0.98,0.753
22,0.23229762504426696,0.1476,95.13,0.998,0.95,0.4519,85.52,0.985,0.817
23,0.23209611031648925,0.134,95.64,0.998,0.956,0.5531,83.06,0.984,0.793
24,0.21720869335339224,0.1432,95.3,0.998,0.953,0.5665,83.81,0.984,0.796
25,0.21272350568994344,0.1247,95.83,0.998,0.958,0.5028,85.63,0.986,0.815
26,0.20677491111292257,0.1384,95.27,0.998,0.951,0.7512,77.12,0.98,0.74
27,0.1956986833176167,0.1101,96.38,0.999,0.963,0.4667,84.34,0.987,0.811
28,0.19384473540800082,0.1316,95.62,0.998,0.955,0.693,79.84,0.984,0.767
29,0.18036741516787372,0.1206,96.11,0.999,0.961,0.6362,79.98,0.979,0.766
30,0.18238580569946508,0.0986,96.8,0.999,0.968,0.4069,86.89,0.988,0.831
31,0.17325180699284987,0.1171,96.23,0.999,0.962,0.4836,85.54,0.987,0.823
32,0.17192425600273145,0.1141,96.41,0.999,0.964,0.513,85.08,0.987,0.811
33,0.16489330791740966,0.1074,96.63,0.999,0.966,0.5081,85.09,0.986,0.814
34,0.1592450732057043,0.1089,96.49,0.999,0.965,0.6868,82.0,0.981,0.789
35,0.15455475374520253,0.0895,97.09,0.999,0.971,0.5245,84.27,0.985,0.807
36,0.1466975928746539,0.088,97.15,0.999,0.971,0.6192,83.72,0.986,0.803
37,0.1420210382278017,0.0968,96.82,0.999,0.968,0.5817,83.18,0.986,0.8
38,0.14006596240851518,0.0963,96.83,0.999,0.968,0.6875,82.13,0.984,0.787
39,0.13460501637175787,0.0804,97.39,0.999,0.974,0.6163,83.29,0.985,0.798
40,0.13049044208132105,0.0942,96.92,0.999,0.969,0.6241,82.95,0.985,0.793
41,0.12539389000522147,0.0845,97.3,0.999,0.973,0.6138,83.03,0.985,0.798
42,0.12248907570573066,0.0844,97.27,0.999,0.973,0.6204,82.99,0.984,0.796
43,0.12116424825122889,0.0848,97.27,0.999,0.973,0.6311,83.09,0.984,0.794
44,0.11585667064721636,0.0818,97.39,0.999,0.974,0.5578,84.35,0.986,0.809
45,0.11612766938243839,0.0829,97.33,0.999,0.973,0.5638,84.75,0.986,0.811
46,0.11660140323981964,0.0819,97.34,0.999,0.973,0.5768,84.23,0.986,0.806
47,0.11440857537358785,0.0831,97.32,0.999,0.973,0.5565,84.7,0.986,0.81
48,0.11294253752064362,0.0825,97.33,0.999,0.973,0.5778,84.21,0.986,0.805
49,0.10951762180105387,0.081,97.39,0.999,0.974,0.5777,84.16,0.986,0.804
